cell_id,Myiarchus swainsoni,Myiarchus swainsoni phaeonotus,Myiarchus swainsoni [swainsoni Group]
825f0ffffffffff,7.0,0.0,0.0
825f1ffffffffff,2.0,0.0,0.0
825f27fffffffff,13.0,0.0,0.0
825f2ffffffffff,46.0,0.0,0.0
825f47fffffffff,3.0,0.0,0.0
825f6ffffffffff,12.0,0.0,0.0
825f77fffffffff,35.0,0.0,0.0
826647fffffffff,253.0,0.0,0.0
82664ffffffffff,6.0,0.0,0.0
82665ffffffffff,45.0,0.0,0.0
826667fffffffff,2.0,0.0,0.0
82666ffffffffff,9.0,0.0,0.0
8266c7fffffffff,38.0,0.0,0.0
8266cffffffffff,1.0,0.0,0.0
8266effffffffff,139.0,0.0,0.0
826747fffffffff,1.0,0.0,0.0
82675ffffffffff,1.0,0.0,0.0
828007fffffffff,4.0,0.0,0.0
82800ffffffffff,5.0,0.0,0.0
828017fffffffff,14.0,0.0,0.0
828027fffffffff,6.0,0.0,0.0
828037fffffffff,20.0,0.0,0.0
828047fffffffff,3.0,0.0,0.0
82804ffffffffff,1.0,0.0,0.0
828057fffffffff,7.0,0.0,0.0
82806ffffffffff,5.0,0.0,0.0
828107fffffffff,51.0,0.0,0.0
82810ffffffffff,3.0,0.0,0.0
828117fffffffff,12.0,0.0,0.0
82811ffffffffff,3.0,0.0,0.0
828127fffffffff,122.0,0.0,0.0
82812ffffffffff,4.0,0.0,0.0
828137fffffffff,43.0,0.0,0.0
828147fffffffff,19.0,0.0,0.0
82814ffffffffff,13.0,0.0,0.0
828157fffffffff,3.0,0.0,0.0
82815ffffffffff,4.0,0.0,0.0
828167fffffffff,11.0,0.0,0.0
828177fffffffff,77.0,0.0,0.0
828187fffffffff,3.0,0.0,0.0
82818ffffffffff,2.0,0.0,0.0
8281affffffffff,17.0,0.0,0.0
828a07fffffffff,4.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828a47fffffffff,16.0,0.0,0.0
828a6ffffffffff,27.0,0.0,0.0
828a8ffffffffff,2.0,0.0,0.0
828a9ffffffffff,6.0,0.0,0.0
828aaffffffffff,11.0,0.0,0.0
828adffffffffff,13.0,0.0,0.0
828af7fffffffff,46.0,18.0,0.0
828b07fffffffff,2.0,0.0,0.0
828b0ffffffffff,25.0,0.0,0.0
828b17fffffffff,4.0,0.0,0.0
828b1ffffffffff,1.0,0.0,0.0
828b27fffffffff,79.0,0.0,0.0
828b2ffffffffff,19.0,0.0,0.0
828b37fffffffff,58.0,0.0,0.0
828b47fffffffff,168.0,0.0,0.0
828b57fffffffff,11.0,0.0,0.0
828b5ffffffffff,3.0,0.0,0.0
828b67fffffffff,46.0,0.0,0.0
828b6ffffffffff,30.0,0.0,0.0
828b77fffffffff,17.0,0.0,0.0
828b87fffffffff,3.0,0.0,0.0
828b9ffffffffff,40.0,0.0,0.0
828ba7fffffffff,21.0,0.0,0.0
828bb7fffffffff,87.0,0.0,0.0
828f47fffffffff,13.0,0.0,0.0
828f4ffffffffff,33.0,0.0,0.0
828f5ffffffffff,2.0,0.0,0.0
828f77fffffffff,5.0,0.0,0.0
82a597fffffffff,2.0,0.0,0.0
82a807fffffffff,637.0,0.0,76.0
82a80ffffffffff,19.0,0.0,0.0
82a817fffffffff,1805.0,0.0,47.0
82a81ffffffffff,677.0,0.0,0.0
82a827fffffffff,217.0,0.0,0.0
82a82ffffffffff,34.0,0.0,0.0
82a837fffffffff,175.0,0.0,0.0
82a847fffffffff,35.0,0.0,0.0
82a84ffffffffff,1.0,0.0,0.0
82a857fffffffff,11.0,0.0,0.0
82a85ffffffffff,171.0,0.0,0.0
82a867fffffffff,20.0,0.0,0.0
82a86ffffffffff,5.0,0.0,0.0
82a877fffffffff,5.0,0.0,0.0
82a887fffffffff,291.0,0.0,0.0
82a88ffffffffff,101.0,0.0,0.0
82a897fffffffff,10.0,0.0,0.0
82a89ffffffffff,4.0,0.0,0.0
82a8a7fffffffff,437.0,0.0,2.0
82a8affffffffff,340.0,0.0,0.0
82a8b7fffffffff,2.0,0.0,0.0
82a8c7fffffffff,54.0,0.0,0.0
82a8cffffffffff,1.0,0.0,0.0
82a8d7fffffffff,60.0,0.0,0.0
82a8dffffffffff,71.0,0.0,0.0
82a8e7fffffffff,13.0,0.0,0.0
