cell_id,Saucerottia cyanocephala,Saucerottia cyanocephala cyanocephala,Saucerottia cyanocephala chlorostephana
8445053ffffffff,2.0,0.0,0.0
8445059ffffffff,4.0,0.0,0.0
844505bffffffff,28.0,0.0,0.0
8445201ffffffff,8.0,0.0,0.0
8445205ffffffff,14.0,0.0,0.0
8445209ffffffff,116.0,0.0,0.0
844520dffffffff,55.0,0.0,0.0
8445221ffffffff,2.0,0.0,0.0
8445225ffffffff,20.0,0.0,0.0
8445229ffffffff,4.0,0.0,0.0
844522dffffffff,7.0,0.0,0.0
8445233ffffffff,48.0,0.0,0.0
844523bffffffff,59.0,0.0,0.0
8445241ffffffff,83.0,0.0,0.0
8445243ffffffff,492.0,0.0,0.0
8445245ffffffff,295.0,0.0,0.0
8445247ffffffff,460.0,7.0,0.0
8445249ffffffff,2.0,0.0,0.0
844524bffffffff,135.0,0.0,0.0
844524dffffffff,3.0,1.0,0.0
8445251ffffffff,25.0,7.0,0.0
8445253ffffffff,15.0,13.0,0.0
8445255ffffffff,130.0,0.0,0.0
8445257ffffffff,66.0,11.0,0.0
8445259ffffffff,1.0,0.0,0.0
844525bffffffff,78.0,22.0,0.0
844525dffffffff,36.0,5.0,0.0
8445261ffffffff,41.0,0.0,0.0
8445263ffffffff,128.0,0.0,0.0
8445267ffffffff,16.0,0.0,0.0
8445269ffffffff,51.0,0.0,0.0
844526bffffffff,171.0,0.0,0.0
844526dffffffff,85.0,0.0,0.0
84452a9ffffffff,8.0,0.0,0.0
84452adffffffff,159.0,3.0,0.0
84452e1ffffffff,1839.0,53.0,0.0
84452e3ffffffff,8.0,0.0,0.0
84452e5ffffffff,138.0,22.0,0.0
84452e7ffffffff,36.0,1.0,0.0
84452e9ffffffff,26.0,2.0,0.0
84452edffffffff,226.0,0.0,0.0
8445309ffffffff,30.0,0.0,0.0
844530dffffffff,2.0,0.0,0.0
8445343ffffffff,14.0,0.0,0.0
8445347ffffffff,3.0,0.0,0.0
8445351ffffffff,136.0,0.0,0.0
8445353ffffffff,18.0,0.0,0.0
8445355ffffffff,52.0,0.0,0.0
8445357ffffffff,3.0,0.0,0.0
8445359ffffffff,4.0,0.0,0.0
844535bffffffff,2.0,0.0,0.0
8445365ffffffff,59.0,0.0,0.0
8445367ffffffff,10.0,0.0,0.0
8445649ffffffff,9.0,5.0,0.0
8449901ffffffff,28.0,0.0,0.0
8449903ffffffff,15.0,0.0,0.0
8449905ffffffff,8.0,0.0,0.0
844990bffffffff,8.0,0.0,0.0
844990dffffffff,4.0,0.0,0.0
8449911ffffffff,2.0,0.0,0.0
8449913ffffffff,5.0,0.0,0.0
8449917ffffffff,4.0,0.0,0.0
8449919ffffffff,2.0,0.0,0.0
844991bffffffff,2.0,0.0,0.0
844991dffffffff,12.0,0.0,0.0
844993bffffffff,2.0,2.0,0.0
8449961ffffffff,420.0,46.0,0.0
8449963ffffffff,2476.0,927.0,0.0
8449965ffffffff,6.0,0.0,0.0
8449967ffffffff,22.0,0.0,0.0
8449969ffffffff,307.0,2.0,0.0
844996bffffffff,180.0,8.0,0.0
844996dffffffff,6.0,0.0,0.0
8449981ffffffff,14.0,0.0,0.0
8449983ffffffff,2.0,1.0,0.0
8449987ffffffff,134.0,3.0,0.0
84499c5ffffffff,22.0,0.0,0.0
84499cdffffffff,7.0,0.0,0.0
84499dbffffffff,1.0,0.0,0.0
8467909ffffffff,3.0,0.0,3.0
846790dffffffff,38.0,0.0,23.0
8467949ffffffff,8.0,0.0,8.0
846794bffffffff,2.0,0.0,2.0
846794dffffffff,3.0,0.0,3.0
8467961ffffffff,2.0,0.0,0.0
8467b27ffffffff,17.0,0.0,6.0
846d049ffffffff,29.0,7.0,0.0
846d04bffffffff,14.0,0.0,0.0
846d04dffffffff,39.0,0.0,0.0
846d059ffffffff,52.0,4.0,0.0
846d05bffffffff,26.0,8.0,0.0
846d207ffffffff,53.0,0.0,0.0
846d211ffffffff,9.0,4.0,0.0
846d217ffffffff,6.0,0.0,0.0
846d21bffffffff,17.0,4.0,0.0
846d223ffffffff,4.0,0.0,0.0
846d227ffffffff,5.0,0.0,0.0
846d231ffffffff,56.0,5.0,0.0
846d237ffffffff,4.0,0.0,0.0
846d239ffffffff,146.0,44.0,0.0
846d23bffffffff,113.0,3.0,0.0
846d23dffffffff,118.0,22.0,0.0
846d281ffffffff,54.0,9.0,0.0
