cell_id,Anthus correndera,Anthus correndera [correndera Group],Anthus correndera grayi
848b2c1ffffffff,2.0,0.0,0.0
848b2c9ffffffff,3.0,0.0,0.0
848b6cdffffffff,6.0,0.0,0.0
848b759ffffffff,1.0,0.0,0.0
848e60bffffffff,2.0,0.0,0.0
848e60dffffffff,1.0,0.0,0.0
848e645ffffffff,9.0,0.0,0.0
848e647ffffffff,15.0,0.0,0.0
848e649ffffffff,1.0,0.0,0.0
848e663ffffffff,2.0,0.0,0.0
848e66bffffffff,50.0,0.0,0.0
848f5b9ffffffff,9.0,0.0,0.0
84a901dffffffff,4.0,0.0,0.0
84a9051ffffffff,264.0,0.0,0.0
84a9053ffffffff,2.0,0.0,0.0
84a9057ffffffff,10.0,0.0,0.0
84a90e5ffffffff,2.0,0.0,0.0
84a9213ffffffff,23.0,0.0,0.0
84a9217ffffffff,1.0,0.0,0.0
84a921bffffffff,1.0,0.0,0.0
84a92c5ffffffff,1.0,0.0,0.0
84a92cbffffffff,2.0,0.0,0.0
84a92e1ffffffff,2.0,0.0,0.0
84a92e9ffffffff,35.0,0.0,0.0
84a92ebffffffff,2.0,0.0,0.0
84b2001ffffffff,2.0,0.0,0.0
84b2007ffffffff,56.0,0.0,0.0
84b2099ffffffff,4.0,0.0,0.0
84b20b7ffffffff,2.0,0.0,0.0
84b2191ffffffff,441.0,0.0,0.0
84b2197ffffffff,153.0,0.0,0.0
84b21bbffffffff,115.0,0.0,0.0
84b21d7ffffffff,56.0,0.0,0.0
84b21ddffffffff,23.0,0.0,0.0
84b2259ffffffff,2.0,0.0,0.0
84b2261ffffffff,1.0,0.0,0.0
84b2263ffffffff,1.0,0.0,0.0
84b2269ffffffff,4.0,0.0,0.0
84b226bffffffff,15.0,0.0,0.0
84b2289ffffffff,2.0,0.0,0.0
84b228bffffffff,2.0,0.0,0.0
84b22adffffffff,1.0,0.0,0.0
84b22b5ffffffff,1.0,0.0,0.0
84b2413ffffffff,117.0,0.0,0.0
84b2419ffffffff,7.0,0.0,0.0
84b244dffffffff,1.0,0.0,0.0
84b2453ffffffff,42.0,0.0,0.0
84b245dffffffff,2.0,0.0,0.0
84b24a3ffffffff,7.0,0.0,0.0
84b24a9ffffffff,2.0,0.0,0.0
84b24b7ffffffff,2.0,0.0,0.0
84b24c5ffffffff,4.0,0.0,0.0
84b24cdffffffff,40.0,0.0,0.0
84b24d7ffffffff,1.0,0.0,0.0
84b24dbffffffff,2.0,0.0,0.0
84b24e5ffffffff,3.0,0.0,0.0
84b2581ffffffff,2.0,0.0,0.0
84b2583ffffffff,4.0,0.0,0.0
84b2585ffffffff,2.0,0.0,0.0
84b2587ffffffff,6.0,0.0,0.0
84b2589ffffffff,7.0,0.0,0.0
84b2595ffffffff,11.0,0.0,0.0
84b2599ffffffff,2.0,0.0,0.0
84b259bffffffff,4.0,0.0,0.0
84b259dffffffff,2.0,0.0,0.0
84b25b9ffffffff,22.0,0.0,0.0
84b25cbffffffff,6.0,0.0,0.0
84b25cdffffffff,3.0,0.0,0.0
84b25d1ffffffff,7.0,0.0,0.0
84b25d3ffffffff,3.0,0.0,0.0
84b25d5ffffffff,6.0,0.0,0.0
84b2665ffffffff,1.0,0.0,0.0
84b268bffffffff,23.0,0.0,0.0
84b2691ffffffff,4.0,0.0,0.0
84b2693ffffffff,2.0,0.0,0.0
84b26a1ffffffff,3.0,0.0,0.0
84b26a5ffffffff,10.0,0.0,0.0
84b26adffffffff,4.0,0.0,0.0
84b26ddffffffff,6.0,0.0,0.0
84b26e7ffffffff,4.0,0.0,0.0
84b275bffffffff,14.0,0.0,0.0
84b275dffffffff,8.0,0.0,0.0
84b2c03ffffffff,2.0,0.0,0.0
84b2c05ffffffff,27.0,0.0,0.0
84b2c09ffffffff,8.0,0.0,0.0
84b2c0bffffffff,27.0,0.0,0.0
84b2c0dffffffff,1135.0,0.0,0.0
84b2c15ffffffff,34.0,0.0,0.0
84b2c2bffffffff,127.0,0.0,0.0
84b2c33ffffffff,2.0,0.0,0.0
84b2c35ffffffff,162.0,0.0,0.0
84b2c3bffffffff,5.0,0.0,0.0
84b2c3dffffffff,64.0,0.0,0.0
84b2c41ffffffff,577.0,0.0,0.0
84b2c43ffffffff,4.0,0.0,0.0
84b2c47ffffffff,111.0,0.0,0.0
84b2c49ffffffff,13.0,0.0,0.0
84b2c4dffffffff,105.0,0.0,0.0
84b2c51ffffffff,16.0,0.0,0.0
84b2c53ffffffff,86.0,0.0,0.0
84b2c55ffffffff,81.0,15.0,0.0
84b2c59ffffffff,4.0,0.0,0.0
84b2c5dffffffff,1702.0,57.0,0.0
84b2c81ffffffff,1.0,0.0,0.0
84b2c83ffffffff,5.0,0.0,0.0
84b2c8bffffffff,17.0,0.0,0.0
84b2ca7ffffffff,6.0,0.0,0.0
84b2ca9ffffffff,3.0,0.0,0.0
84b2cc7ffffffff,2.0,0.0,0.0
84b2cddffffffff,1.0,0.0,0.0
84b2ce1ffffffff,1.0,0.0,0.0
84b2ce3ffffffff,5.0,0.0,0.0
84b2cebffffffff,3.0,0.0,0.0
84b2d81ffffffff,22.0,0.0,0.0
84b2d87ffffffff,265.0,0.0,0.0
84b2d89ffffffff,2.0,0.0,0.0
84b2d97ffffffff,2.0,0.0,0.0
84b2d9dffffffff,3.0,0.0,0.0
84b2da3ffffffff,105.0,0.0,0.0
84b2dabffffffff,31.0,0.0,0.0
84b2db3ffffffff,2.0,0.0,0.0
84b2db9ffffffff,2.0,0.0,0.0
84b2dbdffffffff,4.0,0.0,0.0
84b2dc1ffffffff,2.0,0.0,0.0
84b2dc3ffffffff,51.0,0.0,0.0
84b2dcbffffffff,100.0,0.0,0.0
84b2dd9ffffffff,8.0,0.0,0.0
84b2ddbffffffff,4.0,0.0,0.0
84b2e17ffffffff,3.0,0.0,0.0
84b2e21ffffffff,13.0,0.0,0.0
84b2e27ffffffff,259.0,0.0,0.0
84b2e2dffffffff,168.0,0.0,0.0
84b2e33ffffffff,2.0,0.0,0.0
84b2e3dffffffff,3.0,0.0,0.0
84b2e65ffffffff,19.0,0.0,0.0
84b2e6dffffffff,47.0,0.0,0.0
84b2e85ffffffff,31.0,0.0,0.0
84b2e8dffffffff,3.0,0.0,0.0
84b2e99ffffffff,2.0,0.0,0.0
84b2ea7ffffffff,1.0,0.0,0.0
84b2ea9ffffffff,2.0,0.0,0.0
84b2ec5ffffffff,12.0,0.0,0.0
84b2ec7ffffffff,8.0,0.0,0.0
84b2ecdffffffff,2.0,0.0,0.0
84b2ee1ffffffff,4.0,0.0,0.0
84b2ee9ffffffff,1.0,0.0,0.0
84b2eebffffffff,15.0,0.0,0.0
84b3059ffffffff,3.0,0.0,0.0
84b3081ffffffff,1.0,0.0,0.0
84b3083ffffffff,2.0,0.0,0.0
84b3091ffffffff,2.0,0.0,0.0
84b30b1ffffffff,2.0,0.0,0.0
84b30b3ffffffff,6.0,0.0,0.0
84b30bbffffffff,10.0,0.0,0.0
84b30bdffffffff,20.0,0.0,0.0
84b30c5ffffffff,1.0,0.0,0.0
84b30d7ffffffff,1.0,0.0,0.0
84b3201ffffffff,1.0,0.0,0.0
84b320bffffffff,11.0,0.0,0.0
84b320dffffffff,2.0,0.0,0.0
84b3217ffffffff,1.0,0.0,0.0
84b3253ffffffff,2.0,0.0,0.0
84b3257ffffffff,4.0,0.0,0.0
84b3261ffffffff,10.0,0.0,0.0
84b3289ffffffff,1.0,0.0,0.0
84b32c3ffffffff,1.0,0.0,0.0
84b32c5ffffffff,7.0,0.0,0.0
84b334bffffffff,1.0,0.0,0.0
84b3355ffffffff,1.0,0.0,0.0
84b335dffffffff,2.0,0.0,0.0
84b346dffffffff,4.0,0.0,0.0
84b3515ffffffff,4.0,0.0,0.0
84b353bffffffff,7.0,0.0,0.0
84b355dffffffff,4.0,0.0,0.0
84b3563ffffffff,2.0,0.0,0.0
84b3565ffffffff,3.0,0.0,0.0
84b35c7ffffffff,1.0,0.0,0.0
84b35e1ffffffff,11.0,0.0,0.0
84b370dffffffff,1.0,0.0,0.0
84c2031ffffffff,2.0,0.0,0.0
84c203bffffffff,2.0,0.0,0.0
84c2053ffffffff,5.0,0.0,0.0
84c205bffffffff,49.0,0.0,0.0
84c2183ffffffff,14.0,0.0,0.0
84c218bffffffff,17.0,0.0,0.0
84c2195ffffffff,2.0,0.0,0.0
84c2197ffffffff,5.0,0.0,0.0
84c219dffffffff,4.0,0.0,0.0
84c21b1ffffffff,10.0,0.0,0.0
84c21b3ffffffff,156.0,0.0,0.0
84c21b9ffffffff,1.0,0.0,0.0
84c21bbffffffff,305.0,0.0,0.0
84c21d1ffffffff,80.0,0.0,0.0
84c21d5ffffffff,28.0,0.0,0.0
84c21d9ffffffff,12.0,0.0,0.0
84c21ddffffffff,62.0,0.0,0.0
84c2213ffffffff,5.0,0.0,0.0
84c2217ffffffff,16.0,0.0,0.0
84c2281ffffffff,2.0,0.0,0.0
84c228bffffffff,2.0,0.0,0.0
84c229bffffffff,2.0,0.0,0.0
84c22a5ffffffff,13.0,0.0,0.0
84c22a9ffffffff,7.0,0.0,0.0
84c22abffffffff,4.0,0.0,0.0
84c22adffffffff,8.0,0.0,0.0
84c22c1ffffffff,2.0,0.0,0.0
84c22c3ffffffff,1.0,0.0,0.0
84c22e1ffffffff,10.0,0.0,0.0
84c22e5ffffffff,13.0,0.0,0.0
84c22e7ffffffff,11.0,0.0,0.0
84c22ebffffffff,2.0,0.0,0.0
84c2893ffffffff,1.0,0.0,0.0
84c2c17ffffffff,2.0,0.0,0.0
84c2c1dffffffff,7.0,0.0,0.0
84c2c53ffffffff,145.0,0.0,0.0
84c2c57ffffffff,3.0,0.0,0.0
84c2c5bffffffff,37.0,0.0,0.0
84c2c91ffffffff,3.0,0.0,0.0
84c2ccbffffffff,2.0,0.0,0.0
84c2cd3ffffffff,9.0,0.0,0.0
84c2cdbffffffff,1.0,0.0,0.0
84c2d09ffffffff,5.0,0.0,0.0
