cell_id,Rhynchocyclus aequinoctialis,Rhynchocyclus aequinoctialis [aequinoctialis Group],Rhynchocyclus aequinoctialis cryptus
825f4ffffffffff,7.0,0.0,0.0
826607fffffffff,11.0,0.0,0.0
82660ffffffffff,82.0,0.0,0.0
826617fffffffff,717.0,0.0,0.0
82661ffffffffff,658.0,0.0,0.0
826627fffffffff,68.0,0.0,0.0
82662ffffffffff,17.0,0.0,0.0
8266a7fffffffff,2718.0,0.0,0.0
8266c7fffffffff,23.0,0.0,0.0
8266cffffffffff,9.0,0.0,0.0
8266d7fffffffff,13.0,0.0,0.0
8266dffffffffff,145.0,0.0,0.0
8266e7fffffffff,100.0,0.0,0.0
8266effffffffff,18.0,0.0,0.0
826747fffffffff,3.0,0.0,0.0
82674ffffffffff,31.0,0.0,0.0
826757fffffffff,21.0,0.0,0.0
82675ffffffffff,12.0,0.0,0.0
828a47fffffffff,20.0,0.0,0.0
828a6ffffffffff,53.0,0.0,0.0
828b27fffffffff,4.0,0.0,0.0
828b47fffffffff,49.0,0.0,0.0
828b4ffffffffff,1.0,0.0,0.0
828b67fffffffff,30.0,0.0,0.0
828b6ffffffffff,2.0,0.0,0.0
828b77fffffffff,10.0,0.0,0.0
828e67fffffffff,2.0,0.0,0.0
828f47fffffffff,58.0,0.0,0.0
828f4ffffffffff,10.0,0.0,0.0
828f5ffffffffff,13.0,0.0,0.0
828f67fffffffff,40.0,0.0,0.0
828f77fffffffff,29.0,0.0,0.0
