cell_id,Anisognathus igniventris,Anisognathus igniventris [lunulatus Group],Anisognathus igniventris igniventris
836608fffffffff,149.0,0.0,0.0
836609fffffffff,143.0,0.0,0.0
83660bfffffffff,846.0,7.0,0.0
83660cfffffffff,285.0,3.0,0.0
83660dfffffffff,36.0,2.0,0.0
836618fffffffff,3.0,0.0,0.0
836619fffffffff,34.0,0.0,0.0
83661bfffffffff,13.0,2.0,0.0
83661dfffffffff,2.0,0.0,0.0
8366c2fffffffff,145.0,4.0,0.0
8366c6fffffffff,295.0,0.0,0.0
8366d1fffffffff,145.0,0.0,0.0
8366d3fffffffff,2751.0,194.0,0.0
8366d5fffffffff,25.0,0.0,0.0
8366dafffffffff,3.0,0.0,0.0
8366defffffffff,1454.0,145.0,0.0
8366e0fffffffff,1657.0,29.0,0.0
8366e2fffffffff,146.0,0.0,0.0
8366e4fffffffff,3807.0,56.0,0.0
8366e5fffffffff,714.0,8.0,0.0
8366e6fffffffff,4646.0,164.0,0.0
8366f1fffffffff,87.0,0.0,0.0
8366f5fffffffff,204.0,0.0,0.0
838b20fffffffff,9.0,0.0,0.0
838b21fffffffff,22.0,0.0,0.0
838b2cfffffffff,237.0,0.0,0.0
838b60fffffffff,3.0,0.0,0.0
838b61fffffffff,1453.0,0.0,113.0
838b66fffffffff,3.0,0.0,0.0
838b6cfffffffff,542.0,0.0,60.0
838b75fffffffff,17.0,0.0,0.0
838e60fffffffff,2.0,0.0,0.0
838e61fffffffff,25.0,0.0,0.0
838e64fffffffff,13.0,0.0,0.0
838e65fffffffff,205.0,0.0,0.0
838e6cfffffffff,10.0,0.0,0.0
838e6dfffffffff,99.0,0.0,5.0
838f29fffffffff,21.0,0.0,0.0
838f2dfffffffff,50.0,0.0,0.0
838f42fffffffff,59.0,4.0,0.0
838f46fffffffff,7.0,0.0,0.0
838f4afffffffff,39.0,2.0,0.0
838f51fffffffff,27.0,0.0,0.0
838f54fffffffff,45.0,0.0,0.0
838f55fffffffff,422.0,3.0,0.0
838f59fffffffff,283.0,32.0,0.0
838f5cfffffffff,35.0,0.0,0.0
838f5dfffffffff,14.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0
838f72fffffffff,201.0,20.0,0.0
838f74fffffffff,8.0,0.0,0.0
838f76fffffffff,696.0,45.0,0.0
83b321fffffffff,48.0,0.0,0.0
83b325fffffffff,182.0,0.0,0.0
