cell_id,Hafferia zeledoni,Hafferia zeledoni zeledoni,Hafferia zeledoni berlepschi
8466113ffffffff,6.0,0.0,2.0
8466117ffffffff,12.0,0.0,0.0
8466131ffffffff,21.0,4.0,0.0
8466137ffffffff,1.0,0.0,0.0
8466139ffffffff,43.0,8.0,0.0
8466181ffffffff,2.0,0.0,0.0
8466185ffffffff,3.0,0.0,0.0
84661a5ffffffff,1.0,0.0,0.0
84661a7ffffffff,2.0,0.0,0.0
84661adffffffff,9.0,0.0,2.0
84661b1ffffffff,733.0,0.0,223.0
84661b3ffffffff,3.0,0.0,0.0
84661b7ffffffff,1.0,0.0,0.0
84661b9ffffffff,15.0,0.0,0.0
84661bdffffffff,13.0,0.0,0.0
84661c9ffffffff,1.0,0.0,0.0
84661d1ffffffff,1.0,0.0,0.0
84661ebffffffff,32.0,0.0,2.0
8466a01ffffffff,10.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0
8466a2dffffffff,26.0,0.0,0.0
8466a9bffffffff,2.0,0.0,0.0
8466b41ffffffff,5.0,0.0,0.0
8466b45ffffffff,14.0,0.0,0.0
8466b47ffffffff,18.0,0.0,0.0
8466b49ffffffff,519.0,0.0,0.0
8466b4dffffffff,1154.0,0.0,0.0
8466b5bffffffff,101.0,15.0,0.0
8466d01ffffffff,8.0,0.0,3.0
8466d03ffffffff,9.0,0.0,0.0
8466d07ffffffff,49.0,0.0,21.0
8466d0bffffffff,1121.0,0.0,106.0
8466d23ffffffff,26.0,0.0,9.0
8466d27ffffffff,8.0,0.0,2.0
8466d31ffffffff,1880.0,0.0,425.0
8466d35ffffffff,616.0,0.0,182.0
8466d37ffffffff,50.0,0.0,5.0
8466d39ffffffff,7.0,0.0,0.0
8466d3dffffffff,33.0,0.0,0.0
8466f03ffffffff,321.0,0.0,39.0
8466f0bffffffff,332.0,0.0,44.0
8466f1dffffffff,92.0,0.0,18.0
8466f35ffffffff,3.0,0.0,0.0
8466f57ffffffff,9.0,0.0,0.0
84679a7ffffffff,11.0,0.0,0.0
846d681ffffffff,14.0,0.0,0.0
846d68bffffffff,87.0,0.0,0.0
846d68dffffffff,7.0,0.0,0.0
846d691ffffffff,145.0,0.0,0.0
846d693ffffffff,4.0,0.0,0.0
846d699ffffffff,6.0,0.0,0.0
846d69bffffffff,402.0,0.0,0.0
846d69dffffffff,1266.0,0.0,0.0
848f0dbffffffff,167.0,0.0,21.0
848f291ffffffff,11.0,0.0,0.0
848f295ffffffff,18.0,0.0,0.0
848f297ffffffff,3.0,0.0,0.0
848f2abffffffff,5.0,0.0,0.0
848f2bbffffffff,15.0,0.0,0.0
848f2c9ffffffff,1.0,0.0,0.0
848f2cbffffffff,5.0,0.0,0.0
848f2cdffffffff,11.0,0.0,2.0
848f2d5ffffffff,2.0,0.0,0.0
