cell_id,Cygnus columbianus,Cygnus columbianus columbianus,Cygnus columbianus bewickii,Cygnus columbianus columbianus x bewickii
84025cbffffffff,2.0,0.0,0.0,0.0
8402c03ffffffff,1.0,0.0,0.0,0.0
8402c23ffffffff,2.0,0.0,0.0,0.0
8402c87ffffffff,1.0,0.0,0.0,0.0
8402c99ffffffff,2.0,0.0,0.0,0.0
8402c9bffffffff,1.0,0.0,0.0,0.0
8402ca7ffffffff,1.0,0.0,0.0,0.0
8402cabffffffff,2.0,0.0,0.0,0.0
8402cadffffffff,256.0,0.0,0.0,0.0
8402cd3ffffffff,2.0,0.0,0.0,0.0
8402ce5ffffffff,2.0,0.0,0.0,0.0
8402ce7ffffffff,4.0,0.0,0.0,0.0
8402d63ffffffff,5.0,0.0,0.0,0.0
8402dc5ffffffff,2.0,0.0,0.0,0.0
8402de1ffffffff,2.0,0.0,0.0,0.0
84041abffffffff,18.0,0.0,18.0,0.0
8404ccbffffffff,4.0,0.0,2.0,0.0
8404cddffffffff,53.0,0.0,11.0,0.0
8404eb1ffffffff,7.0,0.0,0.0,0.0
84058c7ffffffff,19.0,0.0,19.0,0.0
84058cbffffffff,22.0,0.0,22.0,0.0
8408855ffffffff,2.0,0.0,0.0,0.0
8408861ffffffff,1.0,0.0,0.0,0.0
8408867ffffffff,4.0,0.0,0.0,0.0
840886bffffffff,1.0,0.0,1.0,0.0
84088a9ffffffff,2.0,0.0,0.0,0.0
84088e3ffffffff,1.0,0.0,1.0,0.0
8408937ffffffff,9.0,0.0,0.0,0.0
8408959ffffffff,2.0,0.0,2.0,0.0
8408965ffffffff,2.0,0.0,0.0,0.0
8408985ffffffff,13.0,0.0,3.0,0.0
8408991ffffffff,2.0,0.0,0.0,0.0
8408995ffffffff,3.0,0.0,0.0,0.0
840899dffffffff,1.0,0.0,1.0,0.0
84089a9ffffffff,57.0,0.0,6.0,0.0
84089abffffffff,7.0,0.0,2.0,0.0
84089adffffffff,4.0,0.0,2.0,0.0
84089b1ffffffff,2.0,0.0,0.0,0.0
84089bbffffffff,2.0,0.0,0.0,0.0
84089d3ffffffff,10.0,0.0,0.0,0.0
84089e3ffffffff,13.0,0.0,0.0,0.0
84089e7ffffffff,7.0,0.0,3.0,0.0
84089edffffffff,2.0,0.0,0.0,0.0
8408b0dffffffff,3.0,0.0,0.0,0.0
8408b33ffffffff,3.0,0.0,0.0,0.0
8408d07ffffffff,2.0,0.0,0.0,0.0
8408d55ffffffff,2.0,0.0,0.0,0.0
840991bffffffff,1.0,0.0,0.0,0.0
840c015ffffffff,2.0,2.0,0.0,0.0
840c02dffffffff,2.0,0.0,0.0,0.0
840c033ffffffff,6.0,0.0,0.0,0.0
840c03bffffffff,2.0,2.0,0.0,0.0
840c061ffffffff,3.0,0.0,0.0,0.0
840c063ffffffff,2.0,0.0,0.0,0.0
840c067ffffffff,2.0,0.0,0.0,0.0
840c141ffffffff,110.0,0.0,0.0,0.0
840c143ffffffff,2057.0,0.0,0.0,0.0
840c145ffffffff,102.0,0.0,0.0,0.0
840c147ffffffff,816.0,0.0,0.0,0.0
840c149ffffffff,228.0,0.0,0.0,0.0
840c14bffffffff,91.0,0.0,0.0,0.0
840c14dffffffff,28.0,0.0,0.0,0.0
840c15dffffffff,34.0,0.0,0.0,0.0
840c1b1ffffffff,11.0,0.0,0.0,0.0
840c1b5ffffffff,5.0,0.0,0.0,0.0
840c1e1ffffffff,65.0,0.0,0.0,0.0
840c231ffffffff,4.0,0.0,0.0,0.0
840c2cdffffffff,5.0,0.0,0.0,0.0
840c309ffffffff,42.0,0.0,0.0,0.0
840c335ffffffff,50.0,0.0,0.0,0.0
840c341ffffffff,4.0,0.0,0.0,0.0
840c347ffffffff,4.0,0.0,0.0,0.0
840c357ffffffff,3.0,0.0,0.0,0.0
840c415ffffffff,4.0,0.0,0.0,0.0
840c42dffffffff,15.0,0.0,0.0,0.0
840c465ffffffff,1.0,0.0,0.0,0.0
840c503ffffffff,1.0,0.0,0.0,0.0
840c51dffffffff,10.0,0.0,0.0,0.0
840c527ffffffff,4.0,0.0,0.0,0.0
840c54bffffffff,4.0,0.0,0.0,0.0
840c5a1ffffffff,3.0,0.0,0.0,0.0
840c5a5ffffffff,186.0,0.0,0.0,0.0
840c5a7ffffffff,6.0,0.0,0.0,0.0
840c5adffffffff,36.0,0.0,0.0,0.0
840c609ffffffff,3.0,0.0,0.0,0.0
840c621ffffffff,2.0,0.0,0.0,0.0
840c625ffffffff,2.0,0.0,0.0,0.0
840c639ffffffff,3.0,0.0,0.0,0.0
840c63dffffffff,2.0,0.0,0.0,0.0
840c641ffffffff,1.0,0.0,0.0,0.0
840c645ffffffff,3.0,0.0,0.0,0.0
840c647ffffffff,4.0,0.0,0.0,0.0
840c64bffffffff,2.0,0.0,0.0,0.0
840c65bffffffff,6.0,0.0,0.0,0.0
840c65dffffffff,1.0,0.0,0.0,0.0
840c661ffffffff,2.0,0.0,0.0,0.0
840c665ffffffff,67.0,4.0,0.0,0.0
840c71bffffffff,37.0,0.0,0.0,0.0
840c733ffffffff,35.0,0.0,0.0,0.0
840c735ffffffff,2.0,0.0,0.0,0.0
840c73bffffffff,8.0,0.0,0.0,0.0
840c741ffffffff,26.0,6.0,0.0,0.0
840c745ffffffff,1.0,0.0,0.0,0.0
840c74bffffffff,13.0,0.0,0.0,0.0
840c74dffffffff,26.0,15.0,0.0,0.0
840c759ffffffff,36.0,3.0,0.0,0.0
840c75dffffffff,27.0,5.0,0.0,0.0
840c769ffffffff,2.0,0.0,0.0,0.0
840c809ffffffff,7.0,0.0,0.0,0.0
840ca43ffffffff,393.0,0.0,0.0,0.0
840ca91ffffffff,2.0,0.0,0.0,0.0
840ca99ffffffff,12.0,0.0,0.0,0.0
840ca9bffffffff,2.0,0.0,0.0,0.0
840cad3ffffffff,2.0,0.0,0.0,0.0
840cad7ffffffff,2.0,0.0,0.0,0.0
840cadbffffffff,2.0,0.0,0.0,0.0
840caddffffffff,2.0,0.0,0.0,0.0
840cc11ffffffff,2.0,0.0,0.0,0.0
840cc15ffffffff,2.0,0.0,0.0,0.0
840cc19ffffffff,2.0,0.0,0.0,0.0
840cc3bffffffff,1.0,0.0,0.0,0.0
840cc53ffffffff,2.0,0.0,0.0,0.0
840cc5bffffffff,2.0,0.0,0.0,0.0
840ccd1ffffffff,2.0,0.0,0.0,0.0
840cd8dffffffff,161.0,0.0,0.0,0.0
840cdcbffffffff,2.0,0.0,0.0,0.0
840cdebffffffff,6.0,0.0,0.0,0.0
840ce17ffffffff,46.0,0.0,0.0,0.0
840ce1bffffffff,9.0,0.0,0.0,0.0
840ce33ffffffff,8.0,0.0,0.0,0.0
840cec5ffffffff,5.0,0.0,0.0,0.0
840cec9ffffffff,2.0,0.0,0.0,0.0
840ced1ffffffff,1.0,0.0,0.0,0.0
840ceddffffffff,3.0,0.0,0.0,0.0
840cee5ffffffff,10.0,0.0,0.0,0.0
840cee7ffffffff,4.0,0.0,0.0,0.0
840cee9ffffffff,16.0,0.0,0.0,0.0
840ceedffffffff,2.0,0.0,0.0,0.0
840cf45ffffffff,2.0,0.0,0.0,0.0
840cf4bffffffff,2.0,0.0,0.0,0.0
840d039ffffffff,2400.0,407.0,0.0,0.0
840d093ffffffff,47.0,0.0,0.0,0.0
840d09bffffffff,12.0,0.0,0.0,0.0
840d0b3ffffffff,4.0,0.0,0.0,0.0
840d0c3ffffffff,227.0,0.0,0.0,0.0
840d0c5ffffffff,1.0,0.0,0.0,0.0
840d0d1ffffffff,21.0,3.0,0.0,0.0
840d0d3ffffffff,17.0,2.0,0.0,0.0
840d0d9ffffffff,217.0,17.0,0.0,0.0
840d0e5ffffffff,17.0,0.0,0.0,0.0
840d0ebffffffff,1.0,1.0,0.0,0.0
840d0edffffffff,1.0,0.0,0.0,0.0
840d443ffffffff,2.0,0.0,0.0,0.0
840d449ffffffff,2.0,0.0,0.0,0.0
840d44dffffffff,21.0,0.0,0.0,0.0
840d483ffffffff,1.0,0.0,0.0,0.0
840d49dffffffff,2.0,0.0,0.0,0.0
840d4c3ffffffff,5.0,0.0,0.0,0.0
840d4d5ffffffff,38.0,0.0,0.0,0.0
840d529ffffffff,2.0,0.0,0.0,0.0
840d537ffffffff,2.0,0.0,0.0,0.0
