cell_id,Rhinopomastus castaneiceps,Rhinopomastus castaneiceps castaneiceps,Rhinopomastus castaneiceps brunneiceps
836ac1fffffffff,3.0,0.0,0.0
836ac3fffffffff,1.0,0.0,0.0
836ac8fffffffff,2.0,0.0,2.0
836accfffffffff,1.0,0.0,0.0
836acdfffffffff,85.0,0.0,11.0
836acefffffffff,2.0,0.0,0.0
836adcfffffffff,1.0,0.0,0.0
836adefffffffff,2.0,0.0,0.0
837508fffffffff,7.0,0.0,0.0
83750dfffffffff,82.0,11.0,0.0
837520fffffffff,1.0,0.0,0.0
837529fffffffff,37.0,8.0,0.0
83752afffffffff,58.0,3.0,0.0
83752bfffffffff,16.0,6.0,0.0
83752efffffffff,1.0,0.0,0.0
83758cfffffffff,1.0,0.0,0.0
8375a5fffffffff,2.0,0.0,0.0
8375a8fffffffff,2.0,0.0,0.0
8375a9fffffffff,1.0,0.0,0.0
8375abfffffffff,1.0,0.0,0.0
838290fffffffff,1.0,0.0,0.0
8382b1fffffffff,2.0,0.0,0.0
8382d3fffffffff,1.0,0.0,0.0
838392fffffffff,1.0,0.0,0.0
