cell_id,Phaethornis longirostris,Phaethornis longirostris [longirostris Group],Phaethornis longirostris baroni
834505fffffffff,54.0,2.0,0.0
834520fffffffff,836.0,0.0,0.0
834521fffffffff,1522.0,47.0,0.0
834522fffffffff,1750.0,0.0,0.0
834523fffffffff,1078.0,64.0,0.0
834525fffffffff,171.0,0.0,0.0
834526fffffffff,470.0,0.0,0.0
834528fffffffff,53.0,0.0,0.0
83452afffffffff,194.0,21.0,0.0
83452cfffffffff,350.0,44.0,0.0
83452dfffffffff,223.0,57.0,0.0
83452efffffffff,5584.0,266.0,0.0
834530fffffffff,40.0,0.0,0.0
834531fffffffff,81.0,0.0,0.0
834532fffffffff,83.0,0.0,0.0
834534fffffffff,71.0,0.0,0.0
834535fffffffff,41.0,0.0,0.0
834536fffffffff,115.0,0.0,0.0
834564fffffffff,34.0,5.0,0.0
834996fffffffff,4.0,4.0,0.0
836602fffffffff,10.0,0.0,0.0
836603fffffffff,5.0,0.0,0.0
836604fffffffff,5.0,0.0,0.0
836606fffffffff,5.0,0.0,0.0
836608fffffffff,87.0,2.0,0.0
83660afffffffff,349.0,9.0,0.0
83660cfffffffff,13.0,0.0,0.0
83660efffffffff,13.0,0.0,0.0
836610fffffffff,248.0,16.0,0.0
836611fffffffff,128.0,0.0,0.0
836612fffffffff,30.0,3.0,0.0
836613fffffffff,337.0,31.0,0.0
836615fffffffff,4.0,0.0,0.0
836616fffffffff,540.0,87.0,0.0
836619fffffffff,488.0,8.0,0.0
83661afffffffff,203.0,2.0,0.0
83661bfffffffff,7.0,0.0,0.0
83661cfffffffff,97.0,0.0,0.0
83661dfffffffff,19.0,0.0,0.0
83661efffffffff,108.0,0.0,0.0
836620fffffffff,589.0,31.0,0.0
836621fffffffff,18.0,0.0,0.0
836622fffffffff,98.0,6.0,0.0
836623fffffffff,3.0,0.0,0.0
83662efffffffff,26.0,0.0,0.0
836631fffffffff,8.0,0.0,0.0
8366a0fffffffff,264.0,12.0,0.0
8366a1fffffffff,4.0,0.0,0.0
8366a2fffffffff,12.0,0.0,0.0
8366a3fffffffff,50.0,3.0,0.0
8366a5fffffffff,5312.0,559.0,0.0
8366a6fffffffff,45.0,7.0,0.0
8366a9fffffffff,2.0,0.0,0.0
8366adfffffffff,1.0,0.0,0.0
8366b0fffffffff,2180.0,0.0,0.0
8366b1fffffffff,23.0,1.0,0.0
8366b4fffffffff,1700.0,0.0,0.0
8366b5fffffffff,1371.0,22.0,0.0
8366b6fffffffff,91.0,0.0,0.0
8366d0fffffffff,5.0,0.0,1.0
8366d2fffffffff,15.0,0.0,2.0
8366d3fffffffff,20.0,0.0,0.0
8366e0fffffffff,5.0,0.0,0.0
8366e2fffffffff,15.0,0.0,0.0
8366e4fffffffff,40.0,0.0,0.0
8366e6fffffffff,16.0,0.0,0.0
83678bfffffffff,10.0,0.0,0.0
836790fffffffff,2.0,0.0,0.0
836791fffffffff,1.0,0.0,0.0
836792fffffffff,12.0,0.0,0.0
836793fffffffff,22.0,0.0,0.0
836794fffffffff,14.0,0.0,0.0
836796fffffffff,192.0,0.0,0.0
83679afffffffff,4390.0,0.0,0.0
83679bfffffffff,1402.0,0.0,0.0
8367b2fffffffff,3.0,0.0,0.0
836d20fffffffff,96.0,0.0,0.0
836d21fffffffff,345.0,51.0,0.0
836d22fffffffff,28.0,4.0,0.0
836d23fffffffff,94.0,16.0,0.0
836d25fffffffff,3.0,0.0,0.0
836d2cfffffffff,578.0,117.0,0.0
836d2dfffffffff,269.0,0.0,0.0
836d2efffffffff,2.0,0.0,0.0
836d30fffffffff,97.0,11.0,0.0
836d31fffffffff,86.0,35.0,0.0
836d34fffffffff,10.0,0.0,0.0
836d35fffffffff,175.0,3.0,0.0
836d36fffffffff,9.0,0.0,0.0
836d61fffffffff,4.0,0.0,0.0
836d64fffffffff,8.0,0.0,0.0
836d65fffffffff,1828.0,27.0,0.0
836d68fffffffff,1287.0,0.0,0.0
836d69fffffffff,5927.0,0.0,0.0
836d6dfffffffff,500.0,0.0,0.0
838f08fffffffff,2.0,0.0,0.0
838f0dfffffffff,186.0,0.0,74.0
838f28fffffffff,90.0,0.0,36.0
838f29fffffffff,203.0,0.0,119.0
838f2afffffffff,276.0,0.0,108.0
838f2bfffffffff,323.0,0.0,174.0
838f2cfffffffff,300.0,0.0,43.0
838f2efffffffff,10.0,0.0,3.0
838f54fffffffff,3.0,0.0,0.0
838f72fffffffff,6.0,0.0,6.0
838f76fffffffff,4.0,0.0,4.0
