cell_id,Alauda arvensis,Alauda arvensis [arvensis Group],Alauda arvensis [pekinensis Group],Alauda arvensis japonica/intermedia
820767fffffffff,1.0,0.0,0.0,0.0
820777fffffffff,3.0,0.0,0.0,0.0
82089ffffffffff,7.0,0.0,0.0,0.0
820a97fffffffff,2.0,0.0,2.0,0.0
820c47fffffffff,1.0,0.0,0.0,0.0
820c57fffffffff,5.0,0.0,0.0,0.0
820ca7fffffffff,51.0,0.0,5.0,0.0
821297fffffffff,3.0,0.0,0.0,0.0
821597fffffffff,14.0,0.0,0.0,0.0
8215b7fffffffff,2.0,0.0,0.0,0.0
821657fffffffff,1.0,0.0,0.0,0.0
82182ffffffffff,6.0,0.0,0.0,0.0
82184ffffffffff,26.0,0.0,0.0,0.0
82185ffffffffff,145.0,2.0,0.0,0.0
821867fffffffff,4.0,0.0,0.0,0.0
82186ffffffffff,1.0,0.0,0.0,0.0
821927fffffffff,1.0,0.0,0.0,0.0
82192ffffffffff,9.0,7.0,0.0,0.0
821947fffffffff,39.0,9.0,0.0,0.0
82194ffffffffff,2.0,0.0,0.0,0.0
821957fffffffff,3.0,3.0,0.0,0.0
82195ffffffffff,8.0,7.0,0.0,0.0
821e07fffffffff,35.0,1.0,0.0,0.0
821e0ffffffffff,4.0,0.0,0.0,0.0
821e27fffffffff,12.0,0.0,0.0,0.0
821e2ffffffffff,2.0,0.0,0.0,0.0
821e37fffffffff,44.0,3.0,0.0,0.0
821e5ffffffffff,10.0,0.0,0.0,0.0
821e77fffffffff,3.0,0.0,0.0,0.0
821ea7fffffffff,12.0,6.0,0.0,0.0
821ec7fffffffff,17.0,3.0,0.0,0.0
821ecffffffffff,4.0,0.0,0.0,0.0
821edffffffffff,2.0,0.0,0.0,0.0
821eeffffffffff,3.0,1.0,0.0,0.0
821f07fffffffff,1.0,0.0,0.0,0.0
821f0ffffffffff,12.0,2.0,0.0,0.0
821f17fffffffff,5.0,0.0,0.0,0.0
821f1ffffffffff,6.0,4.0,0.0,0.0
821f2ffffffffff,1.0,0.0,0.0,0.0
821f37fffffffff,2.0,0.0,0.0,0.0
821f57fffffffff,1.0,1.0,0.0,0.0
821f5ffffffffff,2.0,2.0,0.0,0.0
821f77fffffffff,19.0,0.0,0.0,0.0
821f87fffffffff,11.0,2.0,0.0,0.0
821f97fffffffff,2.0,0.0,0.0,0.0
821f9ffffffffff,2.0,0.0,0.0,0.0
821fa7fffffffff,3.0,0.0,0.0,0.0
821faffffffffff,50.0,41.0,0.0,0.0
822017fffffffff,2.0,0.0,2.0,0.0
82201ffffffffff,4.0,0.0,4.0,0.0
8220e7fffffffff,14.0,0.0,14.0,0.0
822157fffffffff,3.0,0.0,0.0,0.0
8222dffffffffff,138.0,0.0,0.0,0.0
8222effffffffff,1.0,0.0,0.0,0.0
82240ffffffffff,1.0,0.0,0.0,0.0
822427fffffffff,4.0,0.0,0.0,0.0
82242ffffffffff,6.0,0.0,0.0,0.0
822467fffffffff,16.0,0.0,0.0,0.0
82246ffffffffff,8.0,0.0,0.0,0.0
8224c7fffffffff,4.0,0.0,0.0,0.0
822517fffffffff,7.0,0.0,7.0,0.0
822557fffffffff,1.0,0.0,0.0,0.0
822807fffffffff,10.0,0.0,0.0,0.0
82281ffffffffff,33.0,0.0,8.0,0.0
822837fffffffff,12.0,0.0,0.0,0.0
8228c7fffffffff,41.0,0.0,1.0,0.0
8228d7fffffffff,11.0,0.0,0.0,0.0
8228dffffffffff,2.0,0.0,0.0,0.0
8228f7fffffffff,10.0,0.0,0.0,0.0
822b87fffffffff,11.0,1.0,0.0,0.0
822c07fffffffff,4.0,0.0,0.0,0.0
822c0ffffffffff,101.0,2.0,0.0,0.0
822c2ffffffffff,12.0,10.0,0.0,0.0
822c4ffffffffff,1.0,0.0,0.0,0.0
822c97fffffffff,1.0,0.0,0.0,0.0
822caffffffffff,1.0,0.0,0.0,0.0
822ce7fffffffff,16.0,0.0,0.0,0.0
822cf7fffffffff,3.0,0.0,0.0,0.0
822d07fffffffff,2.0,2.0,0.0,0.0
822d17fffffffff,1.0,1.0,0.0,0.0
822d37fffffffff,6.0,1.0,0.0,0.0
822d67fffffffff,8.0,0.0,0.0,0.0
822da7fffffffff,3.0,0.0,0.0,0.0
822db7fffffffff,35.0,7.0,0.0,0.0
822e17fffffffff,4.0,0.0,0.0,0.0
822eaffffffffff,2.0,0.0,0.0,0.0
822f5ffffffffff,2.0,0.0,0.0,0.0
823037fffffffff,3.0,0.0,3.0,0.0
82309ffffffffff,8.0,0.0,2.0,0.0
823127fffffffff,8.0,0.0,1.0,0.0
823137fffffffff,6.0,0.0,0.0,0.0
823187fffffffff,27.0,0.0,13.0,0.0
82318ffffffffff,2.0,0.0,0.0,0.0
823197fffffffff,4.0,0.0,0.0,0.0
8231affffffffff,5.0,0.0,0.0,0.0
823427fffffffff,3.0,0.0,0.0,0.0
823447fffffffff,1.0,0.0,0.0,0.0
82346ffffffffff,2.0,0.0,0.0,0.0
82351ffffffffff,1.0,0.0,0.0,0.0
823837fffffffff,2.0,2.0,0.0,0.0
823867fffffffff,7.0,0.0,0.0,0.0
823877fffffffff,25.0,0.0,0.0,0.0
823907fffffffff,190.0,93.0,0.0,0.0
82390ffffffffff,29.0,15.0,0.0,0.0
823917fffffffff,107.0,0.0,0.0,0.0
82391ffffffffff,78.0,4.0,0.0,0.0
823927fffffffff,59.0,0.0,0.0,0.0
82392ffffffffff,67.0,19.0,0.0,0.0
823937fffffffff,34.0,0.0,0.0,0.0
823947fffffffff,10.0,0.0,0.0,0.0
823957fffffffff,13.0,0.0,0.0,0.0
82395ffffffffff,6.0,0.0,0.0,0.0
823967fffffffff,4.0,4.0,0.0,0.0
823977fffffffff,210.0,30.0,0.0,0.0
823d07fffffffff,72.0,0.0,0.0,0.0
823d17fffffffff,2.0,0.0,0.0,0.0
823d27fffffffff,10.0,0.0,0.0,0.0
823d37fffffffff,34.0,0.0,1.0,0.0
823da7fffffffff,5.0,0.0,0.0,0.0
823daffffffffff,1.0,0.0,0.0,0.0
823e6ffffffffff,1.0,0.0,0.0,0.0
823f4ffffffffff,1.0,0.0,0.0,0.0
82411ffffffffff,17.0,0.0,0.0,0.0
8241a7fffffffff,28.0,0.0,2.0,0.0
82425ffffffffff,2.0,0.0,0.0,0.0
824367fffffffff,2.0,0.0,0.0,0.0
82464ffffffffff,13.0,0.0,0.0,0.0
8247a7fffffffff,2.0,0.0,0.0,0.0
824b67fffffffff,1.0,0.0,0.0,0.0
824b77fffffffff,2.0,0.0,0.0,0.0
824b97fffffffff,11.0,0.0,0.0,0.0
824b9ffffffffff,9.0,0.0,0.0,0.0
824ba7fffffffff,5.0,0.0,2.0,0.0
8253a7fffffffff,2.0,0.0,0.0,0.0
825d17fffffffff,14.0,0.0,0.0,0.0
826527fffffffff,8.0,0.0,0.0,0.0
826807fffffffff,12.0,0.0,0.0,0.0
82bb0ffffffffff,4.0,0.0,0.0,0.0
82bb37fffffffff,2.0,0.0,0.0,0.0
82be0ffffffffff,21.0,0.0,0.0,0.0
82be47fffffffff,15.0,0.0,0.0,0.0
82be67fffffffff,74.0,63.0,0.0,0.0
82be6ffffffffff,8.0,3.0,0.0,0.0
82be77fffffffff,6.0,0.0,0.0,0.0
82bf4ffffffffff,4.0,1.0,0.0,0.0
82da87fffffffff,29.0,0.0,0.0,0.0
82da97fffffffff,8.0,0.0,0.0,0.0
