cell_id,Ploceus rubiginosus,Ploceus rubiginosus trothae,Ploceus rubiginosus rubiginosus
84528edffffffff,2.0,0.0,0.0
845299bffffffff,5.0,0.0,0.0
84529b9ffffffff,2.0,0.0,0.0
84529bbffffffff,1.0,0.0,0.0
84529dbffffffff,2.0,0.0,0.0
8452d33ffffffff,13.0,0.0,0.0
846a4a3ffffffff,1.0,0.0,0.0
846a4b3ffffffff,4.0,0.0,0.0
846a581ffffffff,10.0,0.0,0.0
846a5a9ffffffff,4.0,0.0,0.0
846a653ffffffff,4.0,0.0,0.0
846adc1ffffffff,2.0,0.0,0.0
847a401ffffffff,47.0,0.0,0.0
847a403ffffffff,28.0,0.0,0.0
847a405ffffffff,41.0,0.0,0.0
847a407ffffffff,127.0,0.0,0.0
847a40bffffffff,12.0,0.0,0.0
847a40dffffffff,27.0,0.0,0.0
847a413ffffffff,101.0,0.0,0.0
847a415ffffffff,2.0,0.0,0.0
847a41bffffffff,13.0,0.0,0.0
847a41dffffffff,3.0,0.0,0.0
847a439ffffffff,1.0,0.0,0.0
847a44bffffffff,3.0,0.0,0.0
847a457ffffffff,1.0,0.0,0.0
847a459ffffffff,11.0,0.0,0.0
847a45dffffffff,10.0,0.0,0.0
847a481ffffffff,11.0,0.0,0.0
847a483ffffffff,5.0,0.0,0.0
847a489ffffffff,2.0,0.0,0.0
847a4a9ffffffff,1.0,0.0,0.0
847a4b1ffffffff,8.0,0.0,0.0
847a4b7ffffffff,1.0,0.0,0.0
847a4c5ffffffff,1.0,0.0,0.0
847a4cdffffffff,6.0,0.0,2.0
847a4e3ffffffff,8.0,0.0,0.0
847a4e9ffffffff,1.0,0.0,0.0
847a5e1ffffffff,2.0,0.0,0.0
847a5e5ffffffff,2.0,0.0,0.0
847a601ffffffff,13.0,0.0,0.0
847a603ffffffff,4.0,0.0,0.0
847a609ffffffff,113.0,0.0,0.0
847a60bffffffff,19.0,0.0,0.0
847a611ffffffff,25.0,0.0,0.0
847a615ffffffff,15.0,0.0,0.0
847a619ffffffff,9.0,0.0,0.0
847a61bffffffff,3.0,0.0,0.0
847a61dffffffff,62.0,0.0,0.0
847a631ffffffff,1.0,0.0,0.0
847a637ffffffff,2.0,0.0,0.0
847a641ffffffff,28.0,0.0,0.0
847a643ffffffff,7.0,0.0,0.0
847a645ffffffff,2.0,0.0,0.0
847a647ffffffff,9.0,0.0,0.0
847a651ffffffff,7.0,0.0,0.0
847a653ffffffff,40.0,0.0,0.0
847a655ffffffff,2.0,0.0,0.0
847a657ffffffff,82.0,0.0,0.0
847a659ffffffff,24.0,0.0,0.0
847a65bffffffff,12.0,0.0,0.0
847a65dffffffff,7.0,0.0,0.0
847a685ffffffff,7.0,0.0,0.0
847a6a1ffffffff,11.0,0.0,0.0
847a6a5ffffffff,5.0,0.0,0.0
847a6a7ffffffff,7.0,0.0,0.0
847a6adffffffff,2.0,0.0,0.0
847a6c7ffffffff,2.0,0.0,0.0
847a6d1ffffffff,13.0,0.0,0.0
847a6d3ffffffff,3.0,0.0,0.0
847a6d9ffffffff,7.0,0.0,0.0
847a6dbffffffff,2.0,0.0,0.0
847a6e1ffffffff,16.0,0.0,0.0
847a6e5ffffffff,39.0,0.0,0.0
847a6e7ffffffff,1.0,0.0,0.0
847a6ebffffffff,18.0,0.0,0.0
847a6edffffffff,2.0,0.0,0.0
847ac15ffffffff,2.0,0.0,0.0
847ac81ffffffff,18.0,0.0,0.0
847ac87ffffffff,7.0,0.0,5.0
847ac8bffffffff,22.0,0.0,4.0
847aca1ffffffff,6.0,0.0,0.0
847aca3ffffffff,12.0,0.0,0.0
847acb5ffffffff,2.0,0.0,0.0
847acd5ffffffff,3.0,0.0,0.0
847acd7ffffffff,1.0,0.0,0.0
847ad93ffffffff,22.0,0.0,2.0
847ad95ffffffff,6.0,0.0,0.0
847ad97ffffffff,2.0,0.0,2.0
847ad99ffffffff,50.0,0.0,18.0
847ad9dffffffff,2.0,0.0,0.0
847ae81ffffffff,14.0,0.0,0.0
847ae85ffffffff,10.0,0.0,4.0
847ae87ffffffff,8.0,0.0,0.0
847ae95ffffffff,2.0,0.0,0.0
847ae9bffffffff,2.0,0.0,0.0
847ae9dffffffff,2.0,0.0,0.0
847aea3ffffffff,4.0,0.0,2.0
847aea7ffffffff,1.0,0.0,0.0
847aed7ffffffff,1.0,0.0,0.0
847b4b3ffffffff,2.0,0.0,0.0
847b4b7ffffffff,6.0,0.0,0.0
847b4bbffffffff,2.0,0.0,0.0
8496901ffffffff,5.0,0.0,0.0
8496905ffffffff,6.0,0.0,0.0
8496907ffffffff,29.0,0.0,0.0
8496921ffffffff,40.0,0.0,0.0
8496923ffffffff,11.0,0.0,0.0
8496925ffffffff,61.0,0.0,0.0
849692bffffffff,17.0,0.0,5.0
849692dffffffff,88.0,0.0,0.0
8496933ffffffff,4.0,0.0,0.0
8496935ffffffff,1.0,0.0,1.0
8496937ffffffff,1.0,0.0,0.0
849693dffffffff,41.0,0.0,0.0
8496947ffffffff,2.0,0.0,0.0
84969a5ffffffff,5.0,0.0,0.0
8496b19ffffffff,2.0,0.0,0.0
8496b1bffffffff,1.0,0.0,0.0
84ac801ffffffff,26.0,0.0,0.0
84ac805ffffffff,2.0,0.0,0.0
84ac807ffffffff,1.0,0.0,0.0
84ac80bffffffff,3.0,0.0,0.0
84ac819ffffffff,10.0,0.0,0.0
84ac81bffffffff,60.0,1.0,0.0
84ac841ffffffff,2.0,0.0,0.0
84ac851ffffffff,7.0,0.0,0.0
84ac853ffffffff,14.0,0.0,0.0
84ac855ffffffff,2.0,0.0,0.0
84ac863ffffffff,8.0,0.0,0.0
84ac867ffffffff,24.0,0.0,0.0
84ac8a9ffffffff,24.0,6.0,0.0
84ac8cdffffffff,2.0,0.0,0.0
84ac8e3ffffffff,2.0,0.0,0.0
84ac8e7ffffffff,5.0,0.0,0.0
84ac95bffffffff,2.0,0.0,0.0
84ac9dbffffffff,1.0,0.0,0.0
84aca15ffffffff,3.0,0.0,0.0
84aca27ffffffff,9.0,0.0,0.0
84aca2bffffffff,3.0,3.0,0.0
84aca39ffffffff,6.0,1.0,0.0
84aca3bffffffff,2.0,0.0,0.0
84aca3dffffffff,84.0,43.0,0.0
84aca41ffffffff,2.0,0.0,0.0
84aca4bffffffff,2.0,0.0,0.0
84aca5dffffffff,4.0,0.0,0.0
84aca61ffffffff,7.0,0.0,0.0
84aca6bffffffff,17.0,0.0,0.0
84acaa5ffffffff,5.0,0.0,0.0
84acaedffffffff,4.0,0.0,0.0
84acb11ffffffff,2.0,0.0,0.0
84acb1bffffffff,1.0,0.0,0.0
84acb35ffffffff,4.0,0.0,0.0
84acb3bffffffff,2.0,0.0,0.0
