cell_id,Aethopyga nipalensis,Aethopyga nipalensis [nipalensis Group],Aethopyga nipalensis angkanensis
833c02fffffffff,7.0,3.0,0.0
833c0afffffffff,21.0,2.0,0.0
833c19fffffffff,1.0,0.0,0.0
833c1dfffffffff,12.0,2.0,0.0
833c33fffffffff,4.0,4.0,0.0
833c43fffffffff,2.0,2.0,0.0
833c52fffffffff,17.0,4.0,0.0
833c56fffffffff,4.0,4.0,0.0
833c58fffffffff,4.0,0.0,0.0
833c5bfffffffff,38.0,0.0,0.0
833c5cfffffffff,2.0,2.0,0.0
833cc0fffffffff,4.0,0.0,0.0
833cc3fffffffff,4.0,0.0,0.0
833cddfffffffff,2.0,0.0,0.0
833ce4fffffffff,13.0,0.0,0.0
833ce8fffffffff,2.0,0.0,0.0
833d10fffffffff,4.0,0.0,0.0
833d13fffffffff,9.0,0.0,0.0
833d1efffffffff,1.0,1.0,0.0
833dadfffffffff,4.0,0.0,0.0
83404cfffffffff,7.0,4.0,0.0
836434fffffffff,2.0,1.0,0.0
836482fffffffff,63.0,0.0,46.0
8364a3fffffffff,1.0,1.0,0.0
