cell_id,Swynnertonia swynnertoni,Swynnertonia swynnertoni rodgersi,Swynnertonia swynnertoni swynnertoni
827b4ffffffffff,2.0,0.0,0.0
8296b7fffffffff,18.0,0.0,0.0
829707fffffffff,96.0,0.0,21.0
82971ffffffffff,14.0,0.0,2.0
