cell_id,Vireo pallens,Vireo pallens paluster,Vireo pallens [semiflavus Group],Vireo pallens approximans,Vireo pallens [pallens Group]
834424fffffffff,318.0,0.0,8.0,0.0,0.0
834501fffffffff,643.0,0.0,32.0,0.0,0.0
834505fffffffff,793.0,0.0,44.0,0.0,0.0
834508fffffffff,627.0,0.0,0.0,0.0,0.0
834509fffffffff,2248.0,0.0,0.0,0.0,0.0
83450afffffffff,1350.0,0.0,87.0,0.0,0.0
83450bfffffffff,1057.0,0.0,0.0,0.0,0.0
83450cfffffffff,181.0,0.0,8.0,0.0,0.0
83450dfffffffff,280.0,0.0,0.0,0.0,0.0
83450efffffffff,416.0,0.0,26.0,0.0,0.0
834519fffffffff,47.0,0.0,9.0,0.0,0.0
834520fffffffff,23.0,0.0,0.0,0.0,0.0
834521fffffffff,1746.0,0.0,65.0,0.0,0.0
834522fffffffff,37.0,0.0,0.0,0.0,0.0
834523fffffffff,711.0,0.0,18.0,0.0,0.0
834528fffffffff,552.0,0.0,23.0,0.0,0.0
834529fffffffff,1.0,0.0,0.0,0.0,0.0
83452afffffffff,3455.0,0.0,376.0,0.0,0.0
83452bfffffffff,158.0,0.0,8.0,0.0,0.0
83452cfffffffff,452.0,0.0,35.0,0.0,0.0
83452dfffffffff,4.0,0.0,0.0,0.0,0.0
83452efffffffff,2229.0,0.0,175.0,0.0,0.0
834531fffffffff,870.0,0.0,0.0,0.0,0.0
834532fffffffff,36.0,0.0,0.0,0.0,0.0
834554fffffffff,6.0,0.0,0.0,0.0,0.0
834572fffffffff,1197.0,0.0,7.0,0.0,0.0
834574fffffffff,12.0,0.0,2.0,0.0,0.0
834576fffffffff,27.0,0.0,0.0,0.0,0.0
834801fffffffff,4.0,0.0,0.0,0.0,0.0
83480efffffffff,3.0,0.0,0.0,0.0,0.0
834830fffffffff,10.0,0.0,0.0,0.0,0.0
834832fffffffff,2.0,0.0,0.0,0.0,0.0
834833fffffffff,2.0,0.0,0.0,0.0,0.0
834836fffffffff,187.0,7.0,0.0,0.0,0.0
8349a9fffffffff,5.0,0.0,0.0,0.0,0.0
8366b6fffffffff,2.0,0.0,0.0,0.0,0.0
836780fffffffff,73.0,0.0,0.0,13.0,0.0
836791fffffffff,5.0,0.0,0.0,0.0,0.0
836793fffffffff,4.0,0.0,0.0,0.0,0.0
836794fffffffff,4.0,0.0,0.0,0.0,0.0
836795fffffffff,6.0,0.0,0.0,0.0,0.0
836796fffffffff,4.0,0.0,0.0,0.0,0.0
83679afffffffff,5.0,0.0,0.0,0.0,0.0
83679efffffffff,3.0,0.0,0.0,0.0,0.0
8367b2fffffffff,2.0,0.0,0.0,0.0,0.0
836d04fffffffff,14.0,0.0,0.0,0.0,0.0
836d05fffffffff,77.0,0.0,22.0,0.0,0.0
836d24fffffffff,32.0,0.0,0.0,0.0,0.0
836d25fffffffff,78.0,0.0,0.0,0.0,0.0
836d2afffffffff,105.0,0.0,3.0,0.0,0.0
836d2bfffffffff,123.0,0.0,0.0,0.0,0.0
836d60fffffffff,137.0,0.0,0.0,0.0,0.0
836d61fffffffff,2.0,0.0,0.0,0.0,0.0
836d63fffffffff,2.0,0.0,0.0,0.0,0.0
836d66fffffffff,92.0,0.0,0.0,0.0,0.0
836d68fffffffff,88.0,0.0,0.0,0.0,0.0
836d69fffffffff,1473.0,0.0,0.0,0.0,0.0
836d6afffffffff,13.0,0.0,0.0,0.0,0.0
836d6bfffffffff,253.0,0.0,0.0,0.0,0.0
836d74fffffffff,76.0,0.0,0.0,0.0,0.0
836d75fffffffff,121.0,0.0,0.0,0.0,0.0
836d76fffffffff,69.0,0.0,0.0,0.0,0.0
