cell_id,Phoeniculus damarensis,Phoeniculus damarensis damarensis,Phoeniculus damarensis granti
847a401ffffffff,58.0,0.0,13.0
847a403ffffffff,13.0,0.0,3.0
847a405ffffffff,25.0,0.0,10.0
847a407ffffffff,52.0,0.0,16.0
847a40dffffffff,4.0,0.0,0.0
847a41dffffffff,3.0,0.0,0.0
847a439ffffffff,1.0,0.0,0.0
847a45dffffffff,5.0,0.0,0.0
847a469ffffffff,1.0,0.0,0.0
847a601ffffffff,4.0,0.0,0.0
847a609ffffffff,7.0,0.0,0.0
847a60bffffffff,5.0,0.0,0.0
847a641ffffffff,9.0,0.0,0.0
847a643ffffffff,1.0,0.0,0.0
847a647ffffffff,1.0,0.0,0.0
847a65dffffffff,2.0,0.0,0.0
847a6e5ffffffff,44.0,0.0,0.0
847a6e9ffffffff,1.0,0.0,0.0
847a6edffffffff,7.0,0.0,0.0
847a715ffffffff,2.0,0.0,0.0
847b485ffffffff,2.0,0.0,0.0
847b487ffffffff,2.0,0.0,0.0
84ac801ffffffff,6.0,2.0,0.0
84ac805ffffffff,8.0,2.0,0.0
84ac807ffffffff,1.0,1.0,0.0
84ac809ffffffff,1.0,0.0,0.0
84ac81bffffffff,14.0,2.0,0.0
84ac829ffffffff,2.0,2.0,0.0
84ac82dffffffff,2.0,0.0,0.0
84ac853ffffffff,2.0,0.0,0.0
84ac857ffffffff,2.0,1.0,0.0
84ac85dffffffff,2.0,0.0,0.0
84ac863ffffffff,166.0,56.0,0.0
84ac867ffffffff,17.0,1.0,0.0
84ac8a3ffffffff,1.0,0.0,0.0
84ac8a9ffffffff,33.0,9.0,0.0
84ac8e7ffffffff,7.0,1.0,0.0
84ac995ffffffff,1.0,0.0,0.0
84aca03ffffffff,1.0,0.0,0.0
84aca07ffffffff,13.0,4.0,0.0
84aca15ffffffff,1.0,0.0,0.0
84aca19ffffffff,1.0,0.0,0.0
84aca1dffffffff,1.0,0.0,0.0
84aca27ffffffff,2.0,0.0,0.0
84aca2bffffffff,5.0,5.0,0.0
84aca31ffffffff,1.0,1.0,0.0
84aca35ffffffff,1.0,0.0,0.0
84aca39ffffffff,5.0,2.0,0.0
84aca3bffffffff,11.0,7.0,0.0
84aca3dffffffff,57.0,14.0,0.0
84aca45ffffffff,8.0,8.0,0.0
84aca63ffffffff,3.0,0.0,0.0
84acaa5ffffffff,4.0,0.0,0.0
84acae5ffffffff,3.0,0.0,0.0
84acaedffffffff,21.0,7.0,0.0
84acb11ffffffff,15.0,1.0,0.0
84acb1bffffffff,12.0,2.0,0.0
84acb35ffffffff,1.0,1.0,0.0
84ad8b5ffffffff,2.0,0.0,0.0
