cell_id,Foudia eminentissima,Foudia eminentissima consobrina,Foudia eminentissima [eminentissima Group]
82a307fffffffff,23.0,0.0,0.0
82a327fffffffff,6.0,0.0,0.0
82a337fffffffff,56.0,0.0,0.0
