cell_id,Rallus obsoletus,Rallus obsoletus obsoletus,Rallus obsoletus levipes,Rallus obsoletus beldingi,Rallus obsoletus yumanensis
832830fffffffff,3092.0,496.0,0.0,0.0,0.0
832831fffffffff,2.0,0.0,0.0,0.0,0.0
832834fffffffff,1022.0,260.0,0.0,0.0,0.0
832912fffffffff,25.0,0.0,15.0,0.0,0.0
832986fffffffff,9.0,0.0,0.0,0.0,0.0
8329a4fffffffff,3525.0,0.0,693.0,0.0,0.0
8329a5fffffffff,1981.0,0.0,442.0,0.0,0.0
8329a6fffffffff,1500.0,0.0,0.0,0.0,125.0
8329b0fffffffff,140.0,0.0,0.0,0.0,50.0
8329b1fffffffff,126.0,0.0,0.0,0.0,0.0
8329b5fffffffff,24.0,0.0,0.0,0.0,6.0
834801fffffffff,81.0,0.0,0.0,0.0,0.0
834802fffffffff,8.0,0.0,0.0,0.0,0.0
834803fffffffff,2.0,0.0,0.0,0.0,0.0
834806fffffffff,5.0,0.0,0.0,0.0,0.0
834809fffffffff,59.0,0.0,0.0,0.0,2.0
83480bfffffffff,2.0,0.0,0.0,0.0,0.0
83480dfffffffff,2.0,0.0,0.0,0.0,0.0
83480efffffffff,32.0,0.0,0.0,0.0,0.0
834823fffffffff,3.0,0.0,0.0,1.0,0.0
834828fffffffff,3.0,0.0,0.0,0.0,0.0
834829fffffffff,23.0,0.0,0.0,2.0,0.0
83482afffffffff,84.0,0.0,0.0,7.0,0.0
83482bfffffffff,8.0,0.0,0.0,1.0,0.0
83482efffffffff,2.0,0.0,0.0,0.0,0.0
834830fffffffff,2.0,0.0,0.0,0.0,0.0
834832fffffffff,1.0,0.0,0.0,0.0,0.0
834833fffffffff,52.0,0.0,0.0,0.0,0.0
834836fffffffff,311.0,0.0,0.0,0.0,5.0
834843fffffffff,37.0,0.0,0.0,0.0,0.0
83484afffffffff,237.0,0.0,9.0,0.0,0.0
834850fffffffff,11.0,0.0,0.0,0.0,1.0
834856fffffffff,48.0,0.0,0.0,0.0,1.0
834858fffffffff,31.0,0.0,0.0,0.0,2.0
834859fffffffff,5.0,0.0,0.0,0.0,2.0
83485bfffffffff,387.0,0.0,0.0,0.0,174.0
83485dfffffffff,4.0,0.0,0.0,0.0,0.0
834870fffffffff,14.0,0.0,0.0,0.0,0.0
834871fffffffff,3.0,0.0,0.0,0.0,0.0
834872fffffffff,21.0,0.0,0.0,1.0,0.0
834873fffffffff,13.0,0.0,0.0,0.0,0.0
8349a8fffffffff,8.0,0.0,0.0,0.0,0.0
