cell_id,Anthus gustavi,Anthus gustavi gustavi/stejnegeri,Anthus gustavi menzbieri
82082ffffffffff,1.0,0.0,0.0
820987fffffffff,2.0,0.0,0.0
820997fffffffff,1.0,0.0,0.0
8209a7fffffffff,16.0,0.0,0.0
820ca7fffffffff,67.0,0.0,0.0
8214affffffffff,1.0,0.0,1.0
821657fffffffff,4.0,0.0,0.0
821877fffffffff,4.0,0.0,0.0
82192ffffffffff,6.0,0.0,0.0
8222dffffffffff,7.0,0.0,0.0
823087fffffffff,2.0,2.0,0.0
82309ffffffffff,13.0,3.0,0.0
82312ffffffffff,1.0,0.0,0.0
824107fffffffff,1.0,0.0,0.0
82411ffffffffff,1.0,0.0,0.0
824197fffffffff,2.0,0.0,0.0
8241a7fffffffff,2.0,1.0,0.0
8241b7fffffffff,6.0,5.0,0.0
824b37fffffffff,1.0,0.0,0.0
824b87fffffffff,16.0,10.0,0.0
824ba7fffffffff,31.0,13.0,0.0
824bb7fffffffff,14.0,4.0,0.0
826807fffffffff,18.0,0.0,0.0
826947fffffffff,7.0,0.0,0.0
82694ffffffffff,8.0,0.0,0.0
829417fffffffff,2.0,0.0,0.0
82942ffffffffff,1.0,0.0,0.0
