cell_id,Pternistis castaneicollis,Pternistis castaneicollis castaneicollis,Pternistis castaneicollis atrifrons
845280dffffffff,4.0,3.0,0.0
8452863ffffffff,2.0,2.0,0.0
84529b7ffffffff,1.0,0.0,0.0
846a49dffffffff,1.0,0.0,0.0
846a4d1ffffffff,1.0,0.0,0.0
847a5adffffffff,28.0,0.0,28.0
847a807ffffffff,1.0,1.0,0.0
847ac15ffffffff,4.0,4.0,0.0
847ac8bffffffff,1.0,1.0,0.0
847acc3ffffffff,4.0,4.0,0.0
847acc5ffffffff,303.0,251.0,2.0
847accdffffffff,31.0,24.0,0.0
847acd1ffffffff,1.0,1.0,0.0
847acd5ffffffff,2.0,0.0,0.0
847acd7ffffffff,2.0,2.0,0.0
847ace9ffffffff,1.0,1.0,0.0
847acedffffffff,3.0,3.0,0.0
847ad93ffffffff,4.0,4.0,0.0
847ad99ffffffff,2.0,2.0,0.0
847ae87ffffffff,2.0,2.0,0.0
847aeabffffffff,1.0,0.0,0.0
847aedbffffffff,2.0,0.0,2.0
