cell_id,Oenanthe oenanthe,Oenanthe oenanthe leucorhoa,Oenanthe oenanthe oenanthe/libanotica
840120dffffffff,2.0,0.0,0.0
8401225ffffffff,3.0,0.0,0.0
840123dffffffff,1.0,0.0,0.0
840125dffffffff,2.0,0.0,2.0
8401261ffffffff,12.0,0.0,4.0
8401265ffffffff,14.0,0.0,3.0
8401269ffffffff,4.0,0.0,0.0
840126bffffffff,1.0,0.0,0.0
840126dffffffff,4.0,0.0,0.0
840130bffffffff,232.0,0.0,8.0
8401319ffffffff,35.0,0.0,0.0
840131dffffffff,36.0,0.0,0.0
8401351ffffffff,123.0,0.0,8.0
8401353ffffffff,100.0,0.0,9.0
8401355ffffffff,128.0,0.0,4.0
8401357ffffffff,20.0,0.0,0.0
8401359ffffffff,2.0,0.0,0.0
840135bffffffff,19.0,0.0,0.0
8402599ffffffff,2.0,0.0,0.0
84025cbffffffff,5.0,0.0,0.0
84041abffffffff,2.0,0.0,0.0
8404cddffffffff,2.0,0.0,0.0
8404eb1ffffffff,1.0,0.0,0.0
84058c7ffffffff,3.0,0.0,0.0
84058cbffffffff,9.0,0.0,0.0
840604dffffffff,2.0,0.0,0.0
8406227ffffffff,1.0,0.0,0.0
840626bffffffff,4.0,2.0,0.0
84062cbffffffff,1.0,0.0,0.0
8406313ffffffff,2.0,0.0,0.0
8406353ffffffff,2.0,0.0,0.0
8406361ffffffff,2.0,0.0,0.0
8406369ffffffff,1.0,0.0,0.0
8406565ffffffff,10.0,0.0,0.0
8406891ffffffff,1.0,0.0,0.0
840689bffffffff,18.0,10.0,0.0
84068d3ffffffff,4.0,0.0,0.0
84068d5ffffffff,3.0,1.0,0.0
8406c95ffffffff,2.0,0.0,0.0
8406d11ffffffff,3.0,0.0,0.0
8406d13ffffffff,1.0,0.0,0.0
8406d1dffffffff,34.0,14.0,0.0
8406d53ffffffff,14.0,12.0,0.0
8406d57ffffffff,6.0,6.0,0.0
8406d5bffffffff,22.0,9.0,0.0
8406d69ffffffff,1.0,0.0,0.0
8406dcdffffffff,2.0,0.0,0.0
8406dd1ffffffff,3.0,1.0,0.0
8406e67ffffffff,1.0,0.0,0.0
8407403ffffffff,1.0,0.0,0.0
840740bffffffff,2.0,0.0,0.0
8407411ffffffff,22.0,9.0,0.0
8407415ffffffff,1.0,0.0,0.0
8407417ffffffff,11.0,3.0,0.0
8407419ffffffff,3.0,1.0,0.0
840741dffffffff,3.0,0.0,0.0
8407421ffffffff,4.0,2.0,0.0
8407425ffffffff,9.0,4.0,0.0
840742bffffffff,6.0,1.0,0.0
840742dffffffff,3.0,3.0,0.0
8407431ffffffff,22.0,4.0,0.0
8407433ffffffff,97.0,8.0,0.0
8407437ffffffff,28.0,4.0,0.0
8407439ffffffff,9.0,6.0,0.0
840743bffffffff,6.0,0.0,0.0
8407445ffffffff,3.0,0.0,0.0
840744bffffffff,11.0,5.0,0.0
8407451ffffffff,10.0,4.0,0.0
8407455ffffffff,17.0,2.0,0.0
840745dffffffff,16.0,5.0,0.0
8407461ffffffff,36.0,10.0,0.0
8407465ffffffff,35.0,11.0,0.0
8407467ffffffff,4.0,2.0,0.0
840746bffffffff,2.0,2.0,0.0
840746dffffffff,21.0,0.0,0.0
84074e9ffffffff,33.0,19.0,0.0
84074edffffffff,104.0,58.0,0.0
8407513ffffffff,9.0,0.0,0.0
8407517ffffffff,3.0,0.0,0.0
8407519ffffffff,2.0,2.0,0.0
840751bffffffff,17.0,0.0,0.0
840753bffffffff,28.0,0.0,0.0
8407553ffffffff,5.0,5.0,0.0
8407559ffffffff,7.0,2.0,0.0
840755bffffffff,8.0,4.0,0.0
840755dffffffff,11.0,7.0,0.0
8407581ffffffff,123.0,15.0,0.0
8407589ffffffff,53.0,12.0,0.0
840758dffffffff,30.0,5.0,0.0
84075a9ffffffff,68.0,25.0,0.0
84075c1ffffffff,10.0,2.0,0.0
84075c3ffffffff,12.0,0.0,0.0
84075c5ffffffff,7.0,0.0,0.0
84075c7ffffffff,49.0,7.0,0.0
84075cbffffffff,7.0,2.0,0.0
84075cdffffffff,5.0,2.0,0.0
84075d1ffffffff,297.0,74.0,0.0
84075d9ffffffff,35.0,4.0,0.0
84075ddffffffff,58.0,4.0,0.0
84075e1ffffffff,16.0,0.0,0.0
84075e3ffffffff,20.0,2.0,0.0
84075e7ffffffff,21.0,4.0,0.0
84075e9ffffffff,1.0,0.0,0.0
84075ebffffffff,26.0,6.0,0.0
84075edffffffff,42.0,5.0,0.0
8407621ffffffff,26.0,14.0,0.0
8407623ffffffff,24.0,17.0,0.0
8407625ffffffff,8.0,2.0,0.0
8407627ffffffff,2.0,2.0,0.0
8407635ffffffff,56.0,21.0,0.0
8407703ffffffff,42.0,35.0,0.0
8407713ffffffff,3.0,0.0,0.0
8407715ffffffff,13.0,11.0,0.0
8407719ffffffff,1.0,0.0,0.0
840771dffffffff,4.0,0.0,0.0
8407731ffffffff,108.0,68.0,0.0
8407733ffffffff,94.0,47.0,0.0
8407739ffffffff,31.0,19.0,0.0
840773bffffffff,13.0,11.0,0.0
8407753ffffffff,12.0,7.0,0.0
8407a99ffffffff,2.0,0.0,0.0
840802dffffffff,4.0,0.0,0.0
8408057ffffffff,2.0,0.0,0.0
8408065ffffffff,7.0,0.0,0.0
8408103ffffffff,3.0,0.0,0.0
8408107ffffffff,23.0,0.0,0.0
8408121ffffffff,2.0,0.0,0.0
8408123ffffffff,2.0,0.0,0.0
8408129ffffffff,38.0,0.0,2.0
840812dffffffff,5.0,0.0,0.0
8408141ffffffff,8.0,0.0,0.0
840814dffffffff,20.0,0.0,0.0
8408151ffffffff,3.0,0.0,0.0
8408159ffffffff,5.0,0.0,0.0
840815bffffffff,4.0,0.0,0.0
840816bffffffff,2.0,0.0,0.0
8408183ffffffff,2.0,0.0,0.0
8408193ffffffff,21.0,0.0,0.0
840819bffffffff,2.0,0.0,0.0
840819dffffffff,3.0,0.0,0.0
84081d5ffffffff,7.0,0.0,0.0
8408287ffffffff,2.0,0.0,0.0
84082dbffffffff,2.0,0.0,0.0
8408317ffffffff,1.0,0.0,0.0
8408327ffffffff,2.0,0.0,0.0
840832dffffffff,1.0,0.0,0.0
8408333ffffffff,6.0,0.0,0.0
8408335ffffffff,2.0,0.0,0.0
8408337ffffffff,2.0,0.0,0.0
8408339ffffffff,4.0,0.0,0.0
840833bffffffff,6.0,0.0,0.0
8408361ffffffff,2.0,0.0,0.0
