cell_id,Dendrocopos major,Dendrocopos major canariensis/thanneri,Dendrocopos major numidus/mauritanus,Dendrocopos major [major Group],Dendrocopos major poelzami,Dendrocopos major japonicus,Dendrocopos major cabanisi/stresemanni
820137fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
820807fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
820817fffffffff,123.0,0.0,0.0,3.0,0.0,0.0,0.0
82081ffffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0
820837fffffffff,12.0,0.0,0.0,2.0,0.0,0.0,0.0
820887fffffffff,945.0,0.0,0.0,0.0,0.0,0.0,0.0
82088ffffffffff,167.0,0.0,0.0,33.0,0.0,0.0,0.0
820897fffffffff,110.0,0.0,0.0,0.0,0.0,0.0,0.0
82089ffffffffff,1369.0,0.0,0.0,215.0,0.0,0.0,0.0
8208a7fffffffff,164.0,0.0,0.0,27.0,0.0,0.0,0.0
8208affffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8208b7fffffffff,271.0,0.0,0.0,0.0,0.0,0.0,0.0
8208c7fffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8208cffffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8208d7fffffffff,174.0,0.0,0.0,8.0,0.0,0.0,0.0
8208dffffffffff,193.0,0.0,0.0,15.0,0.0,0.0,0.0
8208e7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8208effffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8208f7fffffffff,44.0,0.0,0.0,2.0,0.0,0.0,0.0
82094ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820987fffffffff,55.0,0.0,0.0,0.0,0.0,0.0,0.0
82098ffffffffff,46.0,0.0,0.0,0.0,0.0,0.0,0.0
820997fffffffff,118.0,0.0,0.0,0.0,0.0,0.0,0.0
82099ffffffffff,277.0,0.0,0.0,36.0,0.0,0.0,0.0
8209a7fffffffff,19.0,0.0,0.0,4.0,0.0,0.0,0.0
8209b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820a37fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
820a97fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820b9ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820bb7fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
821017fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
821027fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8210a7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8210affffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8210b7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8210c7fffffffff,208.0,0.0,0.0,0.0,0.0,0.0,0.0
8210d7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8210dffffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8210effffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
