cell_id,Rhopospina fruticeti,Rhopospina fruticeti fruticeti/peruviana,Rhopospina fruticeti coracina
838b25fffffffff,1.0,0.0,1.0
838b61fffffffff,2.0,2.0,0.0
838e66fffffffff,3.0,0.0,0.0
838e75fffffffff,1.0,0.0,0.0
838f5efffffffff,2.0,2.0,0.0
83a91bfffffffff,2.0,0.0,0.0
83b20afffffffff,4.0,0.0,0.0
83b219fffffffff,7.0,0.0,0.0
83b21bfffffffff,2.0,0.0,0.0
83b251fffffffff,2.0,0.0,0.0
83b254fffffffff,3.0,0.0,0.0
83b258fffffffff,1.0,0.0,0.0
83b25dfffffffff,7.0,0.0,0.0
83b2c1fffffffff,2.0,0.0,0.0
83b2c5fffffffff,22.0,8.0,0.0
83b2ccfffffffff,3.0,0.0,0.0
83b2d9fffffffff,2.0,0.0,0.0
83b2e1fffffffff,1.0,0.0,0.0
83b2e2fffffffff,5.0,0.0,0.0
83b2e6fffffffff,5.0,1.0,0.0
83b2e9fffffffff,1.0,0.0,0.0
83b2ebfffffffff,4.0,0.0,0.0
83b2ecfffffffff,8.0,0.0,0.0
83b2eefffffffff,1.0,0.0,0.0
83b301fffffffff,4.0,0.0,4.0
83b305fffffffff,8.0,0.0,6.0
83b30dfffffffff,3.0,0.0,0.0
83b320fffffffff,1.0,0.0,1.0
83b323fffffffff,2.0,0.0,2.0
83b335fffffffff,2.0,2.0,0.0
83b342fffffffff,6.0,0.0,0.0
83b355fffffffff,11.0,0.0,0.0
83b35efffffffff,2.0,0.0,0.0
83b373fffffffff,7.0,0.0,0.0
83c2cefffffffff,1.0,0.0,0.0
83c2e3fffffffff,5.0,0.0,0.0
83c2eafffffffff,2.0,0.0,0.0
83c2edfffffffff,1.0,0.0,0.0
83c2f1fffffffff,2.0,0.0,0.0
83c2f2fffffffff,3.0,0.0,0.0
83c2f3fffffffff,30.0,0.0,0.0
83c320fffffffff,10.0,3.0,0.0
83c321fffffffff,6.0,6.0,0.0
83c324fffffffff,5.0,0.0,0.0
83c325fffffffff,35.0,0.0,0.0
83c329fffffffff,1.0,0.0,0.0
83c32afffffffff,3.0,3.0,0.0
83c32efffffffff,10.0,2.0,0.0
83c34bfffffffff,2.0,0.0,0.0
83c350fffffffff,1.0,0.0,0.0
83c356fffffffff,2.0,0.0,0.0
83c364fffffffff,12.0,0.0,0.0
83c365fffffffff,2.0,0.0,0.0
83c376fffffffff,3.0,3.0,0.0
83ce8cfffffffff,5.0,0.0,0.0
83ce91fffffffff,5.0,0.0,0.0
83ce93fffffffff,102.0,0.0,0.0
83ce98fffffffff,2.0,0.0,0.0
83ce99fffffffff,4.0,0.0,0.0
83ce9cfffffffff,12.0,0.0,0.0
83ce9efffffffff,29.0,0.0,0.0
83cea0fffffffff,3.0,0.0,0.0
83cf12fffffffff,2.0,2.0,0.0
83cf88fffffffff,18.0,0.0,0.0
83cf8afffffffff,2.0,0.0,0.0
83cf8cfffffffff,5.0,0.0,0.0
83cf8efffffffff,6.0,0.0,0.0
83cf98fffffffff,4.0,0.0,0.0
83cf9efffffffff,6.0,0.0,0.0
83cfa0fffffffff,5.0,0.0,0.0
83cfa2fffffffff,4.0,0.0,0.0
83df45fffffffff,1.0,0.0,0.0
83df68fffffffff,11.0,0.0,0.0
83df69fffffffff,2.0,0.0,0.0
83df6afffffffff,2.0,0.0,0.0
83df6bfffffffff,13.0,0.0,0.0
83df6dfffffffff,3.0,0.0,0.0
