cell_id,Geokichla citrina,Geokichla citrina [citrina Group],Geokichla citrina cyanota,Geokichla citrina albogularis/andamanensis,Geokichla citrina [aurimacula Group]
83209afffffffff,30.0,0.0,0.0,0.0,0.0
833096fffffffff,1.0,0.0,0.0,0.0,1.0
83309afffffffff,1.0,0.0,0.0,0.0,0.0
833c02fffffffff,101.0,0.0,0.0,0.0,0.0
833c0afffffffff,26.0,0.0,0.0,0.0,0.0
833c0bfffffffff,4.0,0.0,0.0,0.0,0.0
833c14fffffffff,1.0,0.0,0.0,0.0,0.0
833c15fffffffff,26.0,0.0,0.0,0.0,0.0
833c16fffffffff,2.0,0.0,0.0,0.0,0.0
833c19fffffffff,20.0,0.0,0.0,0.0,0.0
833c1bfffffffff,3.0,0.0,0.0,0.0,0.0
833c1cfffffffff,43.0,0.0,0.0,0.0,0.0
833c1dfffffffff,21.0,0.0,0.0,0.0,0.0
833c33fffffffff,10.0,0.0,0.0,0.0,0.0
833c36fffffffff,14.0,0.0,0.0,0.0,0.0
833c53fffffffff,3.0,0.0,0.0,0.0,0.0
833c58fffffffff,37.0,0.0,0.0,0.0,0.0
833c5afffffffff,39.0,0.0,0.0,0.0,0.0
833c5bfffffffff,3.0,0.0,0.0,0.0,0.0
833c5efffffffff,1.0,0.0,0.0,0.0,0.0
833c80fffffffff,4.0,0.0,0.0,0.0,0.0
833c83fffffffff,29.0,0.0,3.0,0.0,0.0
833c88fffffffff,47.0,0.0,3.0,0.0,0.0
833c89fffffffff,11.0,0.0,0.0,0.0,0.0
833c8cfffffffff,152.0,0.0,34.0,0.0,0.0
833c8dfffffffff,24.0,2.0,0.0,0.0,0.0
833c8efffffffff,177.0,0.0,2.0,0.0,0.0
833c90fffffffff,65.0,0.0,3.0,0.0,0.0
833c92fffffffff,71.0,0.0,0.0,0.0,0.0
833c93fffffffff,29.0,0.0,0.0,0.0,0.0
833c94fffffffff,91.0,0.0,0.0,0.0,0.0
833c96fffffffff,10.0,0.0,0.0,0.0,0.0
833c9dfffffffff,2.0,0.0,0.0,0.0,0.0
833ca2fffffffff,10.0,0.0,2.0,0.0,0.0
833ca3fffffffff,2.0,0.0,0.0,0.0,0.0
833ca4fffffffff,10.0,0.0,0.0,0.0,0.0
833ca6fffffffff,2.0,0.0,0.0,0.0,0.0
833ca8fffffffff,9.0,0.0,0.0,0.0,0.0
833ca9fffffffff,7.0,0.0,0.0,0.0,0.0
833cabfffffffff,10.0,0.0,0.0,0.0,0.0
833cb0fffffffff,1.0,0.0,0.0,0.0,0.0
833cb1fffffffff,27.0,0.0,0.0,0.0,0.0
833cb3fffffffff,16.0,0.0,0.0,0.0,0.0
833cb4fffffffff,166.0,0.0,0.0,0.0,0.0
833cb5fffffffff,202.0,0.0,5.0,0.0,0.0
833cb6fffffffff,141.0,0.0,0.0,0.0,0.0
833cc0fffffffff,4.0,0.0,0.0,0.0,0.0
833cc2fffffffff,4.0,0.0,0.0,0.0,0.0
833cc4fffffffff,48.0,0.0,0.0,0.0,0.0
833cc5fffffffff,33.0,0.0,0.0,0.0,0.0
833cc6fffffffff,36.0,0.0,0.0,0.0,0.0
833cd4fffffffff,1.0,0.0,0.0,0.0,0.0
833cdbfffffffff,2.0,0.0,0.0,0.0,0.0
833cddfffffffff,1.0,0.0,0.0,0.0,0.0
833ce0fffffffff,4.0,0.0,0.0,0.0,0.0
833ce1fffffffff,33.0,0.0,0.0,0.0,0.0
833ce2fffffffff,9.0,0.0,0.0,0.0,0.0
833ce3fffffffff,13.0,0.0,0.0,0.0,0.0
833ce4fffffffff,22.0,0.0,0.0,0.0,0.0
833ce5fffffffff,43.0,0.0,0.0,0.0,0.0
