cell_id,Rhynchocyclus aequinoctialis,Rhynchocyclus aequinoctialis [aequinoctialis Group],Rhynchocyclus aequinoctialis cryptus
835f4afffffffff,7.0,0.0,0.0
836602fffffffff,8.0,0.0,0.0
836606fffffffff,3.0,0.0,0.0
836608fffffffff,15.0,0.0,0.0
83660afffffffff,64.0,0.0,0.0
83660dfffffffff,6.0,0.0,0.0
836610fffffffff,244.0,0.0,0.0
836611fffffffff,6.0,0.0,0.0
836612fffffffff,10.0,0.0,0.0
836613fffffffff,263.0,0.0,0.0
836616fffffffff,194.0,0.0,0.0
836619fffffffff,686.0,0.0,0.0
83661bfffffffff,2.0,0.0,0.0
83661cfffffffff,28.0,0.0,0.0
83661dfffffffff,16.0,0.0,0.0
836620fffffffff,44.0,0.0,0.0
836621fffffffff,11.0,0.0,0.0
836622fffffffff,24.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0
8366a0fffffffff,23.0,0.0,0.0
8366a5fffffffff,2699.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0
8366c2fffffffff,19.0,0.0,0.0
8366c6fffffffff,2.0,0.0,0.0
8366cefffffffff,9.0,0.0,0.0
8366d1fffffffff,15.0,0.0,0.0
8366d8fffffffff,6.0,0.0,0.0
8366dafffffffff,8.0,0.0,0.0
8366dbfffffffff,1.0,0.0,0.0
8366dcfffffffff,62.0,0.0,0.0
8366ddfffffffff,11.0,0.0,0.0
8366defffffffff,55.0,0.0,0.0
8366e0fffffffff,2.0,0.0,0.0
8366e4fffffffff,13.0,0.0,0.0
8366e6fffffffff,4.0,0.0,0.0
8366eafffffffff,15.0,0.0,0.0
8366eefffffffff,3.0,0.0,0.0
836741fffffffff,4.0,0.0,0.0
836742fffffffff,12.0,0.0,0.0
836743fffffffff,1.0,0.0,0.0
83674cfffffffff,25.0,0.0,0.0
83674efffffffff,4.0,0.0,0.0
836751fffffffff,2.0,0.0,0.0
836753fffffffff,7.0,0.0,0.0
83675afffffffff,4.0,0.0,0.0
83675cfffffffff,11.0,0.0,0.0
838a45fffffffff,18.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0
838a68fffffffff,1.0,0.0,0.0
838a69fffffffff,18.0,0.0,0.0
838a6dfffffffff,40.0,0.0,0.0
838b22fffffffff,4.0,0.0,0.0
838b40fffffffff,1.0,0.0,0.0
838b44fffffffff,24.0,0.0,0.0
838b48fffffffff,1.0,0.0,0.0
838b61fffffffff,25.0,0.0,0.0
838b63fffffffff,5.0,0.0,0.0
838b69fffffffff,1.0,0.0,0.0
838b6efffffffff,1.0,0.0,0.0
838b71fffffffff,30.0,0.0,0.0
838b75fffffffff,4.0,0.0,0.0
838e64fffffffff,4.0,0.0,0.0
838f40fffffffff,15.0,0.0,0.0
838f44fffffffff,2.0,0.0,0.0
838f46fffffffff,44.0,0.0,0.0
838f4afffffffff,17.0,0.0,0.0
838f4cfffffffff,1.0,0.0,0.0
838f5dfffffffff,3.0,0.0,0.0
838f61fffffffff,33.0,0.0,0.0
838f64fffffffff,1.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0
838f72fffffffff,16.0,0.0,0.0
838f74fffffffff,7.0,0.0,0.0
838f76fffffffff,2.0,0.0,0.0
