cell_id,Patagioenas maculosa,Patagioenas maculosa albipennis,Patagioenas maculosa maculosa
848b203ffffffff,1.0,0.0,0.0
848b20bffffffff,21.0,2.0,0.0
848b211ffffffff,8.0,0.0,0.0
848b213ffffffff,1.0,1.0,0.0
848b21bffffffff,11.0,0.0,0.0
848b21dffffffff,7.0,0.0,0.0
848b221ffffffff,2.0,0.0,0.0
848b22dffffffff,2.0,0.0,0.0
848b249ffffffff,2.0,0.0,0.0
848b24bffffffff,2.0,0.0,0.0
848b251ffffffff,17.0,0.0,0.0
848b259ffffffff,27.0,0.0,0.0
848b25dffffffff,6.0,0.0,0.0
848b2c9ffffffff,37.0,2.0,0.0
848b2cdffffffff,17.0,4.0,0.0
848b2d9ffffffff,1.0,0.0,0.0
848b603ffffffff,11.0,3.0,0.0
848b609ffffffff,1.0,0.0,0.0
848b60bffffffff,16.0,2.0,0.0
848b60dffffffff,1.0,0.0,0.0
848b611ffffffff,1054.0,110.0,0.0
848b615ffffffff,3.0,0.0,0.0
848b617ffffffff,39.0,4.0,0.0
848b619ffffffff,198.0,12.0,0.0
848b61bffffffff,1390.0,49.0,0.0
848b61dffffffff,497.0,23.0,0.0
848b645ffffffff,6.0,0.0,0.0
848b647ffffffff,6.0,0.0,0.0
848b651ffffffff,3.0,0.0,0.0
848b655ffffffff,2.0,0.0,0.0
848b657ffffffff,17.0,0.0,0.0
848b65dffffffff,6.0,0.0,0.0
848b665ffffffff,5.0,0.0,0.0
848b669ffffffff,8.0,0.0,0.0
848b6c5ffffffff,3.0,0.0,0.0
848b6cdffffffff,254.0,4.0,0.0
848e601ffffffff,8.0,0.0,0.0
848e603ffffffff,10.0,0.0,0.0
848e605ffffffff,11.0,0.0,0.0
848e607ffffffff,8.0,0.0,0.0
848e609ffffffff,34.0,0.0,0.0
848e60bffffffff,39.0,0.0,0.0
848e60dffffffff,16.0,0.0,0.0
848e613ffffffff,2.0,0.0,0.0
848e617ffffffff,3.0,0.0,0.0
848e61dffffffff,28.0,0.0,0.0
848e629ffffffff,28.0,0.0,0.0
848e633ffffffff,2.0,0.0,0.0
848e63bffffffff,1.0,0.0,0.0
848e643ffffffff,3.0,0.0,0.0
848e645ffffffff,4.0,0.0,0.0
848e647ffffffff,7.0,0.0,0.0
848e657ffffffff,8.0,0.0,0.0
848e661ffffffff,8.0,0.0,0.0
848e663ffffffff,175.0,0.0,0.0
848e66bffffffff,44.0,0.0,0.0
848e66dffffffff,4.0,0.0,0.0
848e681ffffffff,7.0,0.0,0.0
848e687ffffffff,1.0,0.0,0.0
848e68bffffffff,9.0,0.0,0.0
848e691ffffffff,8.0,0.0,0.0
848e699ffffffff,2.0,0.0,0.0
848e69bffffffff,4.0,0.0,0.0
848e6a1ffffffff,2.0,0.0,0.0
848e6abffffffff,1.0,0.0,0.0
848e6c1ffffffff,1.0,0.0,0.0
848e6c3ffffffff,10.0,0.0,0.0
848e6c5ffffffff,32.0,0.0,0.0
848e6c7ffffffff,3.0,0.0,0.0
848e6cdffffffff,4.0,0.0,0.0
848e6d1ffffffff,3.0,0.0,0.0
848e6d7ffffffff,2.0,0.0,0.0
848e6d9ffffffff,111.0,0.0,0.0
848e6ddffffffff,22.0,0.0,0.0
848e6e5ffffffff,11.0,0.0,0.0
848e6e9ffffffff,4.0,0.0,0.0
848f593ffffffff,4.0,0.0,0.0
848f597ffffffff,12.0,0.0,0.0
84a865bffffffff,8.0,0.0,0.0
84a9017ffffffff,1.0,0.0,0.0
84a9057ffffffff,5.0,0.0,0.0
84a90e1ffffffff,1.0,0.0,0.0
84a91d9ffffffff,1.0,0.0,0.0
84a9213ffffffff,22.0,0.0,0.0
84a9217ffffffff,8.0,0.0,0.0
84a921bffffffff,7.0,0.0,0.0
84a9283ffffffff,2.0,0.0,0.0
