cell_id,Chamaetylas poliocephala,Chamaetylas poliocephala poliocephala,Chamaetylas poliocephala hallae,Chamaetylas poliocephala compsonota,Chamaetylas poliocephala [carruthersi Group]
8354ccfffffffff,1.0,0.0,0.0,0.0,0.0
8354e9fffffffff,1.0,0.0,0.0,0.0,0.0
8358d2fffffffff,9.0,0.0,0.0,0.0,0.0
8358d3fffffffff,12.0,0.0,0.0,10.0,0.0
836a82fffffffff,1.0,0.0,0.0,0.0,0.0
836ac0fffffffff,38.0,0.0,0.0,0.0,10.0
836ac1fffffffff,78.0,0.0,0.0,0.0,14.0
836ac3fffffffff,2.0,0.0,0.0,0.0,0.0
836ac8fffffffff,1.0,0.0,0.0,0.0,1.0
836acafffffffff,2.0,0.0,0.0,0.0,0.0
836accfffffffff,1.0,0.0,0.0,0.0,0.0
836acdfffffffff,18.0,0.0,0.0,0.0,1.0
836acefffffffff,1.0,0.0,0.0,0.0,0.0
836adcfffffffff,3.0,0.0,0.0,0.0,0.0
836aeafffffffff,24.0,0.0,0.0,0.0,3.0
837508fffffffff,11.0,0.0,0.0,0.0,0.0
837529fffffffff,6.0,0.0,0.0,0.0,0.0
8375a3fffffffff,12.0,0.0,0.0,0.0,0.0
8375b0fffffffff,1.0,0.0,0.0,0.0,0.0
837a40fffffffff,1.0,0.0,0.0,0.0,0.0
837a45fffffffff,27.0,0.0,0.0,0.0,0.0
837a48fffffffff,2.0,0.0,0.0,0.0,0.0
837a4cfffffffff,351.0,0.0,0.0,0.0,0.0
837a4dfffffffff,89.0,0.0,0.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0,0.0,0.0
837a6efffffffff,60.0,0.0,0.0,0.0,0.0
838218fffffffff,3.0,0.0,0.0,0.0,0.0
838282fffffffff,1.0,0.0,0.0,0.0,0.0
83828afffffffff,1.0,0.0,0.0,0.0,0.0
83828dfffffffff,151.0,0.0,0.0,57.0,0.0
8382a8fffffffff,3.0,0.0,0.0,0.0,0.0
8382aafffffffff,2.0,0.0,0.0,0.0,0.0
8382abfffffffff,7.0,0.0,0.0,0.0,0.0
8382d0fffffffff,10.0,0.0,0.0,4.0,0.0
8382d1fffffffff,13.0,0.0,0.0,12.0,0.0
8382d2fffffffff,11.0,0.0,0.0,5.0,0.0
8382d3fffffffff,25.0,0.0,0.0,6.0,0.0
838315fffffffff,12.0,0.0,0.0,0.0,0.0
