cell_id,Turdoides atripennis,Turdoides atripennis atripennis,Turdoides atripennis rubiginosus,Turdoides atripennis bohndorffi
8354ccfffffffff,1.0,0.0,0.0,0.0
8354e0fffffffff,1.0,0.0,0.0,0.0
8354e2fffffffff,3.0,0.0,0.0,0.0
8354e8fffffffff,3.0,0.0,0.0,0.0
8354e9fffffffff,2.0,0.0,0.0,0.0
8354f0fffffffff,2.0,0.0,0.0,0.0
8354f1fffffffff,11.0,0.0,0.0,0.0
8354f4fffffffff,3.0,1.0,0.0,0.0
8354f6fffffffff,12.0,10.0,0.0,0.0
835883fffffffff,3.0,0.0,0.0,0.0
835896fffffffff,55.0,0.0,5.0,0.0
8358f4fffffffff,1.0,0.0,0.0,0.0
8358f5fffffffff,2.0,0.0,0.0,0.0
836a10fffffffff,1.0,0.0,0.0,0.0
836ac0fffffffff,18.0,0.0,0.0,0.0
837529fffffffff,1.0,0.0,0.0,0.0
83752afffffffff,12.0,0.0,1.0,0.0
83752dfffffffff,3.0,0.0,0.0,0.0
837581fffffffff,1.0,0.0,0.0,0.0
837586fffffffff,10.0,0.0,0.0,0.0
8375a0fffffffff,1.0,0.0,0.0,0.0
8375a1fffffffff,2.0,0.0,0.0,0.0
8375b0fffffffff,7.0,0.0,0.0,0.0
8375b3fffffffff,1.0,0.0,0.0,0.0
8375b5fffffffff,2.0,0.0,0.0,0.0
