cell_id,Anas flavirostris,Anas flavirostris flavirostris,Anas flavirostris oxyptera
821f87fffffffff,4.0,0.0,0.0
823947fffffffff,2.0,0.0,0.0
82396ffffffffff,1.0,0.0,0.0
828b6ffffffffff,2.0,0.0,0.0
828e67fffffffff,49.0,0.0,9.0
828f47fffffffff,4.0,0.0,0.0
828f57fffffffff,7.0,0.0,0.0
828f5ffffffffff,7.0,0.0,5.0
82a91ffffffffff,1.0,1.0,0.0
82a947fffffffff,3.0,0.0,0.0
82a94ffffffffff,1.0,0.0,0.0
82a967fffffffff,7.0,0.0,0.0
82a96ffffffffff,7.0,0.0,0.0
82a977fffffffff,3.0,0.0,0.0
82b207fffffffff,3.0,0.0,3.0
82b20ffffffffff,16.0,0.0,8.0
82b21ffffffffff,62.0,0.0,58.0
82b22ffffffffff,13.0,0.0,8.0
82b247fffffffff,2.0,2.0,0.0
82b24ffffffffff,460.0,0.0,0.0
82b25ffffffffff,52.0,50.0,0.0
82b26ffffffffff,33.0,0.0,0.0
82b277fffffffff,12.0,0.0,0.0
82b2c7fffffffff,416.0,46.0,231.0
82b2cffffffffff,12.0,0.0,3.0
82b2dffffffffff,7.0,0.0,2.0
82b2e7fffffffff,71.0,0.0,69.0
82b2effffffffff,25.0,10.0,8.0
82b307fffffffff,13.0,0.0,9.0
82b30ffffffffff,3.0,0.0,1.0
82b327fffffffff,2.0,0.0,2.0
82b32ffffffffff,3.0,0.0,3.0
82b337fffffffff,2.0,0.0,0.0
82b357fffffffff,13.0,0.0,13.0
82b35ffffffffff,3.0,0.0,1.0
82b36ffffffffff,3.0,0.0,0.0
82b377fffffffff,2.0,0.0,2.0
82c21ffffffffff,7.0,7.0,0.0
82c2c7fffffffff,8.0,5.0,0.0
82c2cffffffffff,211.0,2.0,0.0
82c2d7fffffffff,6.0,0.0,0.0
82c2e7fffffffff,4.0,0.0,0.0
82c2effffffffff,117.0,0.0,0.0
82c2f7fffffffff,29.0,0.0,0.0
82c34ffffffffff,45.0,0.0,0.0
82c377fffffffff,2.0,2.0,0.0
82ce8ffffffffff,23.0,4.0,0.0
82cea7fffffffff,3.0,2.0,0.0
82ceaffffffffff,21.0,0.0,0.0
82cf17fffffffff,10.0,0.0,0.0
82cf8ffffffffff,7.0,3.0,0.0
82cfa7fffffffff,8.0,8.0,0.0
82de77fffffffff,3.0,0.0,0.0
82de97fffffffff,2.0,0.0,0.0
82df47fffffffff,40.0,16.0,0.0
82df6ffffffffff,5.0,0.0,0.0
