cell_id,Synallaxis rutilans,Synallaxis rutilans [rutilans Group],Synallaxis rutilans omissa
845f03dffffffff,25.0,0.0,0.0
845f1cbffffffff,2.0,0.0,0.0
845f42bffffffff,2.0,0.0,0.0
845f759ffffffff,3.0,0.0,0.0
84664d5ffffffff,1.0,0.0,0.0
84665bdffffffff,42.0,0.0,0.0
84666e3ffffffff,6.0,0.0,0.0
84666ebffffffff,8.0,0.0,0.0
8466d81ffffffff,5.0,0.0,0.0
8466dc3ffffffff,17.0,0.0,0.0
8466dc7ffffffff,2.0,0.0,0.0
8466dd9ffffffff,2.0,0.0,0.0
8466ddbffffffff,1.0,0.0,0.0
8466dddffffffff,1.0,0.0,0.0
8480469ffffffff,5.0,0.0,0.0
8480655ffffffff,11.0,0.0,0.0
8480665ffffffff,2.0,0.0,0.0
84806edffffffff,1.0,0.0,0.0
8480713ffffffff,2.0,0.0,0.0
8480723ffffffff,1.0,0.0,0.0
8480745ffffffff,5.0,0.0,0.0
8480759ffffffff,3.0,0.0,0.0
848075bffffffff,2.0,0.0,0.0
8481485ffffffff,2.0,0.0,0.0
84814a9ffffffff,6.0,0.0,0.0
84814adffffffff,2.0,0.0,0.0
84814e3ffffffff,9.0,0.0,0.0
84814e7ffffffff,44.0,0.0,0.0
84814ebffffffff,1.0,0.0,0.0
8481583ffffffff,2.0,0.0,0.0
84815a1ffffffff,1.0,0.0,0.0
84815d9ffffffff,5.0,0.0,0.0
8481637ffffffff,1.0,0.0,0.0
848a003ffffffff,1.0,1.0,0.0
848a059ffffffff,11.0,0.0,0.0
848a069ffffffff,4.0,0.0,0.0
848a109ffffffff,3.0,0.0,0.0
848a155ffffffff,4.0,0.0,0.0
848a157ffffffff,4.0,0.0,0.0
848a259ffffffff,1.0,0.0,0.0
848a313ffffffff,3.0,0.0,0.0
848a317ffffffff,6.0,0.0,0.0
848a337ffffffff,7.0,0.0,0.0
848a33bffffffff,6.0,0.0,0.0
848a691ffffffff,1.0,0.0,0.0
848a699ffffffff,23.0,0.0,0.0
848a69dffffffff,1.0,0.0,0.0
848a6d9ffffffff,2.0,0.0,0.0
848a6dbffffffff,46.0,0.0,0.0
848a755ffffffff,3.0,0.0,0.0
848a809ffffffff,25.0,0.0,0.0
848a827ffffffff,2.0,0.0,0.0
848a857ffffffff,1.0,0.0,0.0
848a925ffffffff,2.0,0.0,0.0
848a927ffffffff,2.0,0.0,0.0
848a9c1ffffffff,1.0,0.0,0.0
848aa51ffffffff,1.0,0.0,0.0
848aaadffffffff,16.0,0.0,0.0
848aaddffffffff,3.0,0.0,0.0
848ab03ffffffff,1.0,0.0,0.0
848ad13ffffffff,7.0,0.0,0.0
848af09ffffffff,2.0,0.0,0.0
848af29ffffffff,18.0,1.0,0.0
848af63ffffffff,7.0,0.0,0.0
848b0a3ffffffff,1.0,0.0,0.0
848b115ffffffff,1.0,0.0,0.0
848b11dffffffff,4.0,0.0,0.0
848b29bffffffff,1.0,0.0,0.0
848b405ffffffff,1.0,0.0,0.0
848b40dffffffff,16.0,0.0,0.0
848b445ffffffff,1.0,0.0,0.0
848b447ffffffff,3.0,0.0,0.0
848b44bffffffff,40.0,0.0,0.0
848b44dffffffff,48.0,0.0,0.0
848b459ffffffff,1.0,0.0,0.0
848b463ffffffff,1.0,0.0,0.0
848b469ffffffff,22.0,0.0,0.0
848b46bffffffff,13.0,0.0,0.0
848b513ffffffff,3.0,0.0,0.0
848b529ffffffff,2.0,0.0,0.0
848b52dffffffff,1.0,0.0,0.0
848b561ffffffff,2.0,0.0,0.0
848b567ffffffff,2.0,0.0,0.0
848b617ffffffff,2.0,0.0,0.0
848b627ffffffff,14.0,0.0,0.0
848b633ffffffff,2.0,0.0,0.0
848b637ffffffff,23.0,0.0,0.0
848b63bffffffff,1.0,0.0,0.0
848b693ffffffff,3.0,0.0,0.0
848b6e1ffffffff,7.0,0.0,0.0
848b6e7ffffffff,19.0,0.0,0.0
848b6edffffffff,3.0,0.0,0.0
848b709ffffffff,11.0,0.0,0.0
848b713ffffffff,48.0,0.0,0.0
848b717ffffffff,3.0,0.0,0.0
848b71bffffffff,15.0,0.0,0.0
848b747ffffffff,1.0,0.0,0.0
848b835ffffffff,1.0,0.0,0.0
848b849ffffffff,4.0,0.0,0.0
848b891ffffffff,1.0,0.0,0.0
848b8e5ffffffff,1.0,0.0,0.0
848b999ffffffff,1.0,0.0,0.0
848b99dffffffff,4.0,0.0,0.0
848b9d1ffffffff,4.0,0.0,0.0
848b9d5ffffffff,14.0,0.0,0.0
848b9d7ffffffff,2.0,0.0,0.0
848f489ffffffff,10.0,0.0,0.0
848f48dffffffff,1.0,0.0,0.0
848f4c5ffffffff,1.0,0.0,0.0
848f4c7ffffffff,3.0,0.0,0.0
848f611ffffffff,2.0,0.0,0.0
848f61bffffffff,6.0,0.0,0.0
848f657ffffffff,2.0,0.0,0.0
848f6b3ffffffff,1.0,0.0,0.0
848f71bffffffff,12.0,0.0,0.0
848f74bffffffff,3.0,0.0,0.0
