cell_id,Geokichla crossleyi,Geokichla crossleyi crossleyi,Geokichla crossleyi pilettei
8358d0fffffffff,1.0,0.0,0.0
8358d1fffffffff,3.0,0.0,0.0
8358d3fffffffff,34.0,24.0,0.0
8382d2fffffffff,36.0,22.0,0.0
8382d3fffffffff,2.0,0.0,0.0
