cell_id,Myiarchus nuttingi,Myiarchus nuttingi nuttingi/inquietus,Myiarchus nuttingi flavidior
824527fffffffff,186.0,21.0,0.0
824807fffffffff,150.0,0.0,0.0
82480ffffffffff,1344.0,0.0,0.0
824817fffffffff,13.0,0.0,0.0
82481ffffffffff,2.0,0.0,0.0
824837fffffffff,1182.0,0.0,0.0
824857fffffffff,2.0,0.0,0.0
8248e7fffffffff,220.0,0.0,0.0
824987fffffffff,184.0,4.0,0.0
82498ffffffffff,15.0,2.0,0.0
824997fffffffff,66.0,2.0,0.0
82499ffffffffff,6.0,0.0,0.0
8249a7fffffffff,87.0,4.0,0.0
8249affffffffff,974.0,50.0,0.0
8249b7fffffffff,436.0,3.0,0.0
8266b7fffffffff,29.0,0.0,0.0
826d07fffffffff,366.0,17.0,60.0
826d17fffffffff,429.0,11.0,0.0
826d27fffffffff,224.0,12.0,0.0
826d2ffffffffff,63.0,14.0,0.0
826d37fffffffff,1526.0,40.0,0.0
826d67fffffffff,1117.0,0.0,0.0
826d6ffffffffff,2500.0,0.0,0.0
826d77fffffffff,110.0,0.0,0.0
