cell_id,Patagona gigas,Patagona gigas peruviana,Patagona gigas gigas
8366d1fffffffff,18.0,0.0,0.0
8366defffffffff,1.0,0.0,0.0
838b2cfffffffff,3.0,0.0,0.0
838e62fffffffff,1.0,0.0,0.0
838e66fffffffff,3.0,0.0,0.0
838f50fffffffff,2.0,0.0,0.0
838f5efffffffff,1.0,0.0,0.0
83b20afffffffff,3.0,0.0,0.0
83b219fffffffff,14.0,0.0,0.0
83b21dfffffffff,2.0,0.0,0.0
83b222fffffffff,9.0,0.0,0.0
83b255fffffffff,4.0,0.0,0.0
83b2c0fffffffff,3.0,0.0,0.0
83b2c3fffffffff,7.0,0.0,0.0
83b2c4fffffffff,47.0,0.0,0.0
83b2c5fffffffff,7.0,0.0,0.0
83b2cafffffffff,1.0,0.0,0.0
83b2ddfffffffff,1.0,0.0,0.0
83b2e2fffffffff,2.0,0.0,0.0
83b304fffffffff,11.0,0.0,0.0
83b305fffffffff,2.0,0.0,0.0
83b30bfffffffff,7.0,0.0,0.0
83b335fffffffff,3.0,0.0,0.0
83b342fffffffff,2.0,0.0,0.0
83b351fffffffff,2.0,0.0,0.0
83b35cfffffffff,2.0,0.0,0.0
83ce88fffffffff,8.0,0.0,0.0
83ce8bfffffffff,2.0,0.0,0.0
83ce8efffffffff,2.0,0.0,0.0
83ce98fffffffff,2.0,0.0,0.0
83ce9dfffffffff,2.0,0.0,0.0
