cell_id,Hydrobates pelagicus,Hydrobates pelagicus pelagicus,Hydrobates pelagicus melitensis
820747fffffffff,3.0,0.0,0.0
820757fffffffff,2.0,0.0,0.0
82075ffffffffff,3.0,0.0,0.0
821847fffffffff,1.0,0.0,0.0
82184ffffffffff,5.0,1.0,0.0
821857fffffffff,1.0,0.0,0.0
82185ffffffffff,19.0,0.0,0.0
821867fffffffff,1.0,0.0,0.0
82186ffffffffff,1.0,0.0,0.0
821877fffffffff,7.0,0.0,0.0
82190ffffffffff,2.0,0.0,0.0
821927fffffffff,2.0,0.0,0.0
82192ffffffffff,2.0,0.0,0.0
821947fffffffff,7.0,2.0,0.0
82194ffffffffff,11.0,2.0,0.0
821957fffffffff,1.0,0.0,0.0
82195ffffffffff,1.0,0.0,0.0
821977fffffffff,3.0,0.0,0.0
821e97fffffffff,2.0,0.0,0.0
821ecffffffffff,1.0,0.0,0.0
821edffffffffff,9.0,0.0,0.0
821f27fffffffff,4.0,0.0,0.0
821f9ffffffffff,3.0,0.0,0.0
822ac7fffffffff,68.0,0.0,0.0
822af7fffffffff,8.0,0.0,0.0
823467fffffffff,5.0,0.0,0.0
823827fffffffff,3.0,0.0,0.0
823907fffffffff,9.0,0.0,0.0
823917fffffffff,93.0,0.0,0.0
82391ffffffffff,49.0,0.0,0.0
823927fffffffff,64.0,2.0,0.0
823937fffffffff,167.0,0.0,0.0
823947fffffffff,5.0,0.0,0.0
823957fffffffff,10.0,0.0,0.0
82395ffffffffff,6.0,0.0,0.0
823977fffffffff,28.0,0.0,8.0
823997fffffffff,1.0,1.0,0.0
823f37fffffffff,2.0,0.0,0.0
823f67fffffffff,19.0,0.0,0.0
823f77fffffffff,2.0,0.0,0.0
8244a7fffffffff,2.0,0.0,0.0
82ad17fffffffff,3.0,0.0,0.0
82ad37fffffffff,15.0,0.0,0.0
82bc1ffffffffff,11.0,11.0,0.0
82bc6ffffffffff,1.0,0.0,0.0
82d167fffffffff,3.0,0.0,0.0
82d16ffffffffff,2.0,0.0,0.0
