cell_id,Paradoxornis heudei,Paradoxornis heudei polivanovi,Paradoxornis heudei heudei
8414995ffffffff,1.0,0.0,0.0
8414b27ffffffff,1.0,0.0,0.0
8415901ffffffff,2.0,0.0,0.0
8415927ffffffff,13.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0
842ec95ffffffff,1.0,0.0,0.0
842ecb9ffffffff,14.0,3.0,0.0
843016dffffffff,2.0,0.0,0.0
8430263ffffffff,1.0,0.0,0.0
8430815ffffffff,39.0,0.0,1.0
8430833ffffffff,15.0,0.0,0.0
843083bffffffff,2.0,0.0,0.0
843084bffffffff,4.0,0.0,0.0
8430855ffffffff,6.0,0.0,0.0
8430911ffffffff,2.0,0.0,0.0
8430991ffffffff,45.0,0.0,4.0
8430995ffffffff,4.0,0.0,3.0
8430997ffffffff,13.0,0.0,0.0
843099dffffffff,5.0,0.0,2.0
84309b1ffffffff,4.0,0.0,3.0
84309b5ffffffff,3.0,0.0,0.0
84309bbffffffff,5.0,0.0,0.0
84309d1ffffffff,4.0,0.0,2.0
84309d3ffffffff,6.0,0.0,0.0
84309d5ffffffff,1.0,0.0,0.0
84309d9ffffffff,77.0,0.0,5.0
84309dbffffffff,2.0,0.0,2.0
8430a31ffffffff,1.0,0.0,0.0
8430b5dffffffff,4.0,0.0,0.0
84316c1ffffffff,1.0,1.0,0.0
84316e7ffffffff,1.0,0.0,0.0
8431819ffffffff,31.0,0.0,0.0
8431889ffffffff,59.0,0.0,0.0
84318c1ffffffff,5.0,0.0,0.0
84318c3ffffffff,17.0,0.0,0.0
84318c7ffffffff,26.0,0.0,0.0
84318cbffffffff,1.0,0.0,0.0
84318d1ffffffff,213.0,0.0,0.0
84318d3ffffffff,18.0,0.0,0.0
84318d5ffffffff,1.0,0.0,0.0
84318d7ffffffff,222.0,0.0,0.0
84319c9ffffffff,1.0,0.0,0.0
84319ddffffffff,8.0,0.0,0.0
8431aa1ffffffff,7.0,0.0,0.0
8431aa5ffffffff,49.0,0.0,0.0
8431aa7ffffffff,7.0,0.0,0.0
8431aa9ffffffff,1.0,0.0,0.0
8431aadffffffff,21.0,0.0,0.0
844096bffffffff,1.0,0.0,0.0
844b26dffffffff,410.0,0.0,48.0
844b349ffffffff,3.0,0.0,0.0
