cell_id,Vireo griseus,Vireo griseus [griseus Group],Vireo griseus perquisitor
832609fffffffff,19.0,0.0,0.0
83260bfffffffff,58.0,0.0,0.0
832640fffffffff,552.0,0.0,0.0
832641fffffffff,2177.0,0.0,0.0
832642fffffffff,979.0,0.0,0.0
832643fffffffff,2082.0,0.0,0.0
832644fffffffff,28.0,0.0,0.0
832645fffffffff,53.0,0.0,0.0
832646fffffffff,2443.0,0.0,0.0
832648fffffffff,1558.0,0.0,0.0
832649fffffffff,1370.0,0.0,0.0
83264afffffffff,1336.0,0.0,0.0
83264bfffffffff,669.0,0.0,0.0
83264cfffffffff,1999.0,0.0,0.0
83264dfffffffff,2419.0,0.0,0.0
83264efffffffff,755.0,0.0,0.0
832650fffffffff,437.0,0.0,0.0
832651fffffffff,881.0,0.0,0.0
832652fffffffff,421.0,0.0,0.0
832653fffffffff,1501.0,0.0,0.0
832654fffffffff,180.0,0.0,0.0
832655fffffffff,1953.0,0.0,0.0
832656fffffffff,706.0,0.0,0.0
832658fffffffff,332.0,0.0,0.0
832659fffffffff,2489.0,0.0,0.0
83265afffffffff,460.0,0.0,0.0
83265bfffffffff,1991.0,0.0,0.0
83265cfffffffff,1008.0,0.0,0.0
83265dfffffffff,689.0,0.0,0.0
83265efffffffff,663.0,0.0,0.0
832660fffffffff,157.0,0.0,0.0
832661fffffffff,1707.0,0.0,0.0
832662fffffffff,354.0,0.0,0.0
832663fffffffff,223.0,0.0,0.0
832664fffffffff,841.0,0.0,0.0
832665fffffffff,204.0,0.0,0.0
832666fffffffff,221.0,0.0,0.0
832668fffffffff,712.0,0.0,0.0
832669fffffffff,223.0,0.0,0.0
83266afffffffff,701.0,0.0,0.0
83266bfffffffff,913.0,0.0,0.0
83266cfffffffff,1995.0,0.0,0.0
83266dfffffffff,921.0,0.0,0.0
83266efffffffff,842.0,0.0,0.0
832670fffffffff,94.0,0.0,0.0
832671fffffffff,102.0,0.0,0.0
832672fffffffff,62.0,0.0,0.0
832673fffffffff,137.0,0.0,0.0
832675fffffffff,17.0,0.0,0.0
8326c0fffffffff,12.0,0.0,0.0
8326c1fffffffff,702.0,0.0,0.0
8326c3fffffffff,472.0,0.0,0.0
8326c4fffffffff,20.0,0.0,0.0
8326c5fffffffff,105.0,0.0,0.0
8326c6fffffffff,8.0,0.0,0.0
8326c8fffffffff,3560.0,0.0,0.0
8326c9fffffffff,883.0,0.0,0.0
8326cafffffffff,1024.0,0.0,0.0
8326cbfffffffff,2480.0,0.0,0.0
8326ccfffffffff,166.0,0.0,0.0
8326cdfffffffff,310.0,0.0,0.0
8326cefffffffff,102.0,0.0,0.0
8326d8fffffffff,1.0,0.0,0.0
8326d9fffffffff,181.0,0.0,0.0
8326dbfffffffff,188.0,0.0,0.0
8326dcfffffffff,4.0,0.0,0.0
8326ddfffffffff,59.0,0.0,0.0
