cell_id,Patagioenas fasciata,Patagioenas fasciata [fasciata Group],Patagioenas fasciata vioscae,Patagioenas fasciata [albilinea Group]
8412805ffffffff,54.0,0.0,0.0,0.0
841280dffffffff,5.0,0.0,0.0,0.0
8412847ffffffff,23.0,0.0,0.0,0.0
841286dffffffff,2.0,0.0,0.0,0.0
84128e5ffffffff,3.0,0.0,0.0,0.0
8412991ffffffff,3.0,0.0,0.0,0.0
8412993ffffffff,14.0,0.0,0.0,0.0
8412995ffffffff,2.0,0.0,0.0,0.0
84129a3ffffffff,2.0,0.0,0.0,0.0
84129b3ffffffff,5.0,0.0,0.0,0.0
84129b5ffffffff,7.0,0.0,0.0,0.0
84129b7ffffffff,14.0,0.0,0.0,0.0
84129b9ffffffff,5.0,0.0,0.0,0.0
84129bbffffffff,35.0,0.0,0.0,0.0
84129bdffffffff,3.0,0.0,0.0,0.0
84129d9ffffffff,6.0,0.0,0.0,0.0
8412a25ffffffff,1.0,0.0,0.0,0.0
8412b01ffffffff,19.0,0.0,0.0,0.0
8412b03ffffffff,40.0,0.0,0.0,0.0
8412b0bffffffff,1.0,0.0,0.0,0.0
8412b4bffffffff,4.0,0.0,0.0,0.0
8412d23ffffffff,7.0,0.0,0.0,0.0
8412d25ffffffff,18.0,0.0,0.0,0.0
8412d27ffffffff,56.0,0.0,0.0,0.0
8412d2dffffffff,1.0,0.0,0.0,0.0
8412d63ffffffff,3.0,0.0,0.0,0.0
8412d67ffffffff,4.0,0.0,0.0,0.0
8426801ffffffff,5.0,0.0,0.0,0.0
8426803ffffffff,2.0,0.0,0.0,0.0
8426811ffffffff,49.0,0.0,0.0,0.0
8426813ffffffff,127.0,0.0,0.0,0.0
8426817ffffffff,64.0,0.0,0.0,0.0
8426819ffffffff,544.0,0.0,0.0,0.0
842681bffffffff,103.0,0.0,0.0,0.0
842681dffffffff,7.0,0.0,0.0,0.0
8426823ffffffff,1.0,0.0,0.0,0.0
8426831ffffffff,30.0,0.0,0.0,0.0
8426833ffffffff,1.0,0.0,0.0,0.0
8426835ffffffff,6.0,0.0,0.0,0.0
8426837ffffffff,4.0,0.0,0.0,0.0
8426839ffffffff,2.0,0.0,0.0,0.0
842683bffffffff,2.0,0.0,0.0,0.0
842683dffffffff,2.0,0.0,0.0,0.0
8426851ffffffff,1.0,0.0,0.0,0.0
8426853ffffffff,41.0,0.0,0.0,0.0
8426857ffffffff,7.0,0.0,0.0,0.0
842685bffffffff,2.0,0.0,0.0,0.0
8426885ffffffff,206.0,0.0,0.0,0.0
8426887ffffffff,6.0,0.0,0.0,0.0
8426889ffffffff,4.0,0.0,0.0,0.0
842688dffffffff,8.0,0.0,0.0,0.0
84268a3ffffffff,2.0,0.0,0.0,0.0
84268a9ffffffff,4.0,0.0,0.0,0.0
84268abffffffff,4.0,0.0,0.0,0.0
84268adffffffff,3.0,0.0,0.0,0.0
84268b1ffffffff,2.0,0.0,0.0,0.0
84268b5ffffffff,2.0,0.0,0.0,0.0
84268b7ffffffff,8.0,0.0,0.0,0.0
84268b9ffffffff,2.0,0.0,0.0,0.0
84268bbffffffff,17.0,0.0,0.0,0.0
84268bdffffffff,10.0,0.0,0.0,0.0
84268c1ffffffff,2.0,0.0,0.0,0.0
84268c5ffffffff,21.0,0.0,0.0,0.0
84268c7ffffffff,1447.0,0.0,0.0,0.0
84268cdffffffff,2.0,0.0,0.0,0.0
84268e5ffffffff,6.0,0.0,0.0,0.0
84268e7ffffffff,4.0,0.0,0.0,0.0
84268ebffffffff,38.0,0.0,0.0,0.0
8426905ffffffff,2.0,0.0,0.0,0.0
8426907ffffffff,6.0,0.0,0.0,0.0
8426963ffffffff,32.0,0.0,0.0,0.0
8426981ffffffff,4.0,0.0,0.0,0.0
8426983ffffffff,11.0,0.0,0.0,0.0
8426987ffffffff,2.0,0.0,0.0,0.0
8426989ffffffff,12.0,0.0,0.0,0.0
