cell_id,Empidonax difficilis,Empidonax difficilis [difficilis Group],Empidonax difficilis occidentalis/hellmayri,Empidonax difficilis difficilis x hellmayri
820d07fffffffff,3.0,1.0,0.0,0.0
820d4ffffffffff,4.0,4.0,0.0,0.0
821287fffffffff,2.0,2.0,0.0,0.0
82128ffffffffff,12.0,12.0,0.0,0.0
8212b7fffffffff,13.0,13.0,0.0,0.0
8212c7fffffffff,6.0,4.0,2.0,0.0
8212cffffffffff,45.0,25.0,5.0,0.0
8212d7fffffffff,8.0,8.0,0.0,0.0
8212dffffffffff,18.0,13.0,2.0,0.0
8212effffffffff,2.0,0.0,0.0,0.0
8212f7fffffffff,1.0,0.0,0.0,0.0
821387fffffffff,25.0,23.0,0.0,0.0
821d37fffffffff,2.0,2.0,0.0,0.0
822617fffffffff,8.0,0.0,8.0,0.0
822637fffffffff,1.0,0.0,0.0,0.0
82264ffffffffff,1.0,1.0,0.0,0.0
822687fffffffff,89.0,0.0,89.0,0.0
82268ffffffffff,236.0,0.0,222.0,0.0
822697fffffffff,108.0,0.0,90.0,0.0
82269ffffffffff,94.0,0.0,82.0,0.0
8226a7fffffffff,16.0,0.0,16.0,0.0
8226affffffffff,98.0,0.0,90.0,0.0
8226b7fffffffff,7.0,0.0,7.0,0.0
8226d7fffffffff,26.0,0.0,4.0,0.0
8226dffffffffff,4.0,0.0,2.0,0.0
8226f7fffffffff,44.0,0.0,38.0,0.0
822787fffffffff,3.0,0.0,3.0,0.0
82278ffffffffff,7.0,0.0,7.0,0.0
822797fffffffff,20.0,0.0,20.0,0.0
82279ffffffffff,3.0,0.0,3.0,0.0
8227b7fffffffff,33.0,0.0,31.0,0.0
822807fffffffff,80.0,71.0,0.0,0.0
822817fffffffff,108.0,95.0,6.0,0.0
82281ffffffffff,152.0,118.0,1.0,0.0
822837fffffffff,1222.0,1149.0,0.0,0.0
822887fffffffff,176.0,11.0,82.0,3.0
82288ffffffffff,74.0,66.0,4.0,0.0
822897fffffffff,22.0,0.0,15.0,0.0
82289ffffffffff,13.0,0.0,9.0,2.0
8228a7fffffffff,20.0,2.0,14.0,0.0
8228affffffffff,36.0,23.0,0.0,0.0
8228b7fffffffff,37.0,0.0,31.0,0.0
8228c7fffffffff,46.0,46.0,0.0,0.0
8228d7fffffffff,234.0,231.0,0.0,0.0
8228dffffffffff,94.0,94.0,0.0,0.0
8228f7fffffffff,101.0,81.0,0.0,0.0
822917fffffffff,55.0,44.0,0.0,0.0
82291ffffffffff,23.0,18.0,0.0,0.0
822987fffffffff,55.0,8.0,2.0,0.0
82298ffffffffff,173.0,40.0,109.0,0.0
822997fffffffff,15.0,0.0,8.0,0.0
82299ffffffffff,375.0,0.0,375.0,0.0
8229a7fffffffff,905.0,747.0,2.0,0.0
8229affffffffff,326.0,306.0,0.0,0.0
8229b7fffffffff,132.0,58.0,3.0,0.0
822a17fffffffff,87.0,70.0,0.0,0.0
822a37fffffffff,132.0,124.0,0.0,0.0
822a87fffffffff,4.0,0.0,0.0,0.0
822a8ffffffffff,18.0,4.0,0.0,0.0
822a97fffffffff,8.0,0.0,0.0,0.0
822aa7fffffffff,13.0,13.0,0.0,0.0
822aaffffffffff,117.0,71.0,0.0,0.0
822ab7fffffffff,1.0,0.0,0.0,0.0
822ad7fffffffff,49.0,0.0,0.0,0.0
822b1ffffffffff,2.0,0.0,0.0,0.0
822b2ffffffffff,4.0,0.0,0.0,0.0
82441ffffffffff,13.0,1.0,0.0,0.0
824447fffffffff,41.0,15.0,0.0,0.0
824457fffffffff,2.0,0.0,0.0,0.0
82446ffffffffff,37.0,29.0,8.0,0.0
824477fffffffff,19.0,4.0,2.0,0.0
8244affffffffff,4.0,0.0,0.0,0.0
8244cffffffffff,43.0,41.0,0.0,0.0
8244f7fffffffff,51.0,37.0,3.0,0.0
824807fffffffff,4.0,0.0,4.0,0.0
82480ffffffffff,22.0,14.0,0.0,0.0
824817fffffffff,28.0,3.0,12.0,0.0
824827fffffffff,2.0,1.0,0.0,0.0
82482ffffffffff,5.0,4.0,0.0,0.0
824837fffffffff,51.0,13.0,0.0,0.0
824847fffffffff,1.0,0.0,0.0,0.0
82484ffffffffff,22.0,17.0,0.0,0.0
824857fffffffff,2.0,0.0,0.0,0.0
82485ffffffffff,195.0,154.0,0.0,0.0
824877fffffffff,11.0,0.0,0.0,0.0
824887fffffffff,12.0,0.0,11.0,0.0
824897fffffffff,69.0,67.0,1.0,0.0
82489ffffffffff,30.0,20.0,0.0,0.0
8248affffffffff,2.0,2.0,0.0,0.0
8248b7fffffffff,217.0,171.0,0.0,0.0
8248c7fffffffff,76.0,4.0,36.0,0.0
8248cffffffffff,83.0,51.0,29.0,0.0
8248d7fffffffff,37.0,0.0,10.0,0.0
8248dffffffffff,85.0,0.0,37.0,0.0
8248e7fffffffff,10.0,3.0,0.0,0.0
8248effffffffff,871.0,347.0,204.0,0.0
8248f7fffffffff,109.0,0.0,109.0,0.0
824987fffffffff,4.0,0.0,2.0,0.0
824997fffffffff,35.0,0.0,35.0,0.0
82499ffffffffff,5.0,0.0,0.0,0.0
8249a7fffffffff,3.0,0.0,0.0,0.0
8249affffffffff,17.0,7.0,0.0,0.0
8249b7fffffffff,25.0,3.0,16.0,0.0
826d17fffffffff,381.0,200.0,181.0,0.0
826d37fffffffff,995.0,3.0,960.0,0.0
