cell_id,Stigmatura budytoides,Stigmatura budytoides [budytoides Group],Stigmatura budytoides gracilis
828017fffffffff,1.0,0.0,1.0
828027fffffffff,4.0,0.0,0.0
828037fffffffff,177.0,0.0,83.0
828107fffffffff,17.0,0.0,12.0
82810ffffffffff,3.0,0.0,3.0
828117fffffffff,3.0,0.0,0.0
82811ffffffffff,31.0,0.0,22.0
828127fffffffff,28.0,0.0,8.0
82812ffffffffff,1.0,0.0,1.0
828137fffffffff,2.0,0.0,0.0
8281affffffffff,74.0,0.0,32.0
828b27fffffffff,404.0,0.0,0.0
828b2ffffffffff,14.0,0.0,0.0
828b37fffffffff,1.0,0.0,0.0
82a84ffffffffff,1.0,0.0,0.0
82a867fffffffff,2.0,0.0,0.0
82a86ffffffffff,5.0,0.0,0.0
82a94ffffffffff,30.0,0.0,0.0
82b20ffffffffff,57.0,0.0,0.0
82b22ffffffffff,12.0,0.0,0.0
82b247fffffffff,683.0,0.0,0.0
82b24ffffffffff,227.0,0.0,0.0
82b257fffffffff,139.0,0.0,0.0
82b25ffffffffff,1241.0,0.0,0.0
82b267fffffffff,362.0,0.0,0.0
82b26ffffffffff,50.0,0.0,0.0
82b277fffffffff,258.0,0.0,0.0
82b2cffffffffff,12.0,0.0,0.0
82b2e7fffffffff,63.0,0.0,0.0
82b2effffffffff,590.0,0.0,0.0
82b32ffffffffff,21.0,0.0,0.0
82b347fffffffff,262.0,0.0,0.0
82b34ffffffffff,288.0,0.0,0.0
82b357fffffffff,13.0,0.0,0.0
82b35ffffffffff,1060.0,0.0,0.0
82b367fffffffff,179.0,0.0,0.0
82b36ffffffffff,297.0,0.0,0.0
82c22ffffffffff,2.0,0.0,0.0
82c2cffffffffff,2.0,0.0,0.0
82c2e7fffffffff,2.0,0.0,0.0
82c30ffffffffff,20.0,0.0,0.0
82c32ffffffffff,191.0,0.0,0.0
82c347fffffffff,247.0,0.0,0.0
82c34ffffffffff,1.0,0.0,0.0
82c357fffffffff,148.0,0.0,0.0
82c367fffffffff,47.0,0.0,0.0
82c36ffffffffff,59.0,0.0,0.0
82c377fffffffff,159.0,0.0,0.0
82ce97fffffffff,114.0,0.0,0.0
