cell_id,Ammospiza maritima,Ammospiza maritima maritima/macgillivraii,Ammospiza maritima nigrescens,Ammospiza maritima [sennetti Group],Ammospiza maritima mirabilis
832a10fffffffff,168.0,12.0,0.0,0.0,0.0
832a13fffffffff,16.0,2.0,0.0,0.0,0.0
832a14fffffffff,1.0,0.0,0.0,0.0,0.0
832a15fffffffff,79.0,8.0,0.0,0.0,0.0
832a1bfffffffff,1.0,0.0,0.0,0.0,0.0
832a30fffffffff,192.0,0.0,0.0,0.0,0.0
832a31fffffffff,138.0,3.0,0.0,0.0,0.0
832a33fffffffff,109.0,58.0,0.0,0.0,0.0
832a34fffffffff,34.0,0.0,0.0,0.0,0.0
832aa8fffffffff,359.0,32.0,0.0,0.0,0.0
832aa9fffffffff,49.0,10.0,0.0,0.0,0.0
832aabfffffffff,1.0,0.0,0.0,0.0,0.0
832aacfffffffff,13.0,0.0,0.0,0.0,0.0
832aadfffffffff,349.0,60.0,0.0,0.0,0.0
832aaefffffffff,8.0,0.0,0.0,0.0,0.0
832ad1fffffffff,3.0,0.0,0.0,0.0,0.0
832ad3fffffffff,10.0,3.0,0.0,0.0,0.0
832ad5fffffffff,55.0,0.0,0.0,0.0,0.0
832ad6fffffffff,3.0,0.0,0.0,0.0,0.0
832af1fffffffff,5.0,1.0,0.0,0.0,0.0
832af3fffffffff,33.0,0.0,0.0,0.0,0.0
832af4fffffffff,2.0,0.0,0.0,0.0,0.0
832af6fffffffff,123.0,17.0,0.0,0.0,0.0
832b01fffffffff,21.0,0.0,0.0,0.0,0.0
832b03fffffffff,9.0,0.0,0.0,0.0,0.0
832b0afffffffff,3.0,0.0,0.0,0.0,0.0
832b0cfffffffff,4.0,0.0,0.0,0.0,0.0
832b1bfffffffff,7.0,0.0,0.0,0.0,0.0
832b33fffffffff,5.0,0.0,0.0,0.0,0.0
834412fffffffff,43.0,0.0,0.0,0.0,20.0
83441afffffffff,6.0,0.0,0.0,2.0,0.0
83441bfffffffff,11.0,0.0,0.0,7.0,0.0
83441efffffffff,5.0,0.0,0.0,2.0,0.0
834446fffffffff,5.0,0.0,0.0,0.0,0.0
834450fffffffff,6.0,0.0,0.0,6.0,0.0
834455fffffffff,10.0,0.0,0.0,0.0,0.0
834456fffffffff,1.0,0.0,0.0,0.0,0.0
83446cfffffffff,24.0,0.0,0.0,7.0,0.0
83446efffffffff,11.0,0.0,0.0,4.0,0.0
834471fffffffff,2.0,0.0,0.0,0.0,0.0
834473fffffffff,11.0,0.0,0.0,0.0,0.0
8344a1fffffffff,4.0,0.0,0.0,0.0,0.0
8344a5fffffffff,2.0,0.0,0.0,0.0,0.0
8344a8fffffffff,6.0,0.0,0.0,0.0,0.0
8344aefffffffff,14.0,4.0,0.0,0.0,0.0
8344d0fffffffff,15.0,2.0,0.0,0.0,0.0
8344d2fffffffff,2.0,0.0,0.0,0.0,0.0
8344d5fffffffff,10.0,0.0,0.0,0.0,0.0
8344e4fffffffff,2.0,0.0,0.0,0.0,0.0
8344e6fffffffff,2.0,0.0,0.0,0.0,0.0
8344f0fffffffff,15.0,4.0,0.0,0.0,0.0
8344f3fffffffff,49.0,2.0,0.0,0.0,0.0
8344f5fffffffff,4.0,0.0,0.0,2.0,0.0
834890fffffffff,6.0,0.0,0.0,3.0,0.0
834893fffffffff,9.0,0.0,0.0,0.0,0.0
834895fffffffff,37.0,0.0,0.0,0.0,0.0
8348b2fffffffff,48.0,0.0,0.0,10.0,0.0
8348b3fffffffff,87.0,0.0,0.0,0.0,0.0
