cell_id,Catamenia homochroa,Catamenia homochroa oreophila,Catamenia homochroa homochroa,Catamenia homochroa duncani
825f77fffffffff,13.0,0.0,0.0,0.0
82660ffffffffff,29.0,0.0,0.0,0.0
82661ffffffffff,61.0,0.0,0.0,0.0
826627fffffffff,894.0,0.0,0.0,0.0
82662ffffffffff,15.0,0.0,0.0,0.0
8266c7fffffffff,23.0,0.0,0.0,0.0
8266d7fffffffff,235.0,0.0,0.0,0.0
8266dffffffffff,110.0,0.0,0.0,0.0
8266e7fffffffff,2247.0,0.0,0.0,0.0
8266f7fffffffff,12.0,0.0,0.0,0.0
828b2ffffffffff,11.0,0.0,0.0,0.0
828b67fffffffff,38.0,0.0,0.0,0.0
828b6ffffffffff,50.0,0.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0,0.0
828e67fffffffff,26.0,0.0,0.0,0.0
828e6ffffffffff,4.0,0.0,0.0,0.0
828f2ffffffffff,28.0,0.0,0.0,0.0
828f47fffffffff,4.0,0.0,0.0,0.0
828f4ffffffffff,1.0,0.0,0.0,0.0
828f57fffffffff,41.0,0.0,0.0,0.0
828f5ffffffffff,28.0,0.0,0.0,0.0
828f77fffffffff,77.0,0.0,0.0,0.0
82b327fffffffff,9.0,0.0,0.0,0.0
