cell_id,Thamnophilus punctatus,Thamnophilus punctatus punctatus/interpositus,Thamnophilus punctatus leucogaster/huallagae
825f07fffffffff,24.0,0.0,0.0
825f0ffffffffff,15.0,0.0,0.0
825f17fffffffff,69.0,0.0,0.0
825f1ffffffffff,62.0,0.0,0.0
825f27fffffffff,9.0,0.0,0.0
825f2ffffffffff,250.0,0.0,0.0
825f47fffffffff,27.0,1.0,0.0
825f4ffffffffff,8.0,0.0,0.0
825f57fffffffff,8.0,0.0,0.0
825f67fffffffff,1.0,0.0,0.0
825f6ffffffffff,34.0,7.0,0.0
825f77fffffffff,70.0,2.0,0.0
82660ffffffffff,45.0,0.0,0.0
826647fffffffff,20.0,0.0,0.0
826657fffffffff,71.0,0.0,0.0
826667fffffffff,30.0,3.0,0.0
82666ffffffffff,4.0,0.0,0.0
826677fffffffff,7.0,0.0,0.0
8266e7fffffffff,1079.0,0.0,0.0
82804ffffffffff,14.0,0.0,0.0
82806ffffffffff,11.0,0.0,0.0
828a5ffffffffff,1.0,1.0,0.0
828a8ffffffffff,2.0,0.0,0.0
828a9ffffffffff,1.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0
828ad7fffffffff,1.0,0.0,0.0
828adffffffffff,74.0,3.0,0.0
828af7fffffffff,268.0,18.0,0.0
828f47fffffffff,265.0,0.0,66.0
828f57fffffffff,267.0,0.0,154.0
828f77fffffffff,13.0,0.0,6.0
