cell_id,Larus glaucoides,Larus glaucoides thayeri,Larus glaucoides kumlieni,Larus glaucoides glaucoides,Larus glaucoides thayeri/kumlieni,Larus glaucoides kumlieni/glaucoides,Larus glaucoides thayeri x glaucoides/kumlieni
83002cfffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
830130fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
830153fffffffff,6.0,0.0,0.0,3.0,0.0,3.0,0.0
83025cfffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
830688fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830689fffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0
8306d0fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8306d1fffffffff,4.0,0.0,0.0,1.0,0.0,3.0,0.0
8306d4fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8306d6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8306dcfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8306ddfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8306f2fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
830742fffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
830745fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
830746fffffffff,5.0,0.0,0.0,3.0,0.0,2.0,0.0
83074efffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
830758fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
83075dfffffffff,12.0,0.0,4.0,1.0,1.0,2.0,0.0
83075efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830763fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
830773fffffffff,4.0,0.0,0.0,0.0,0.0,4.0,0.0
830882fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830885fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
830886fffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0
830993fffffffff,8.0,0.0,0.0,2.0,0.0,4.0,0.0
830999fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8309a0fffffffff,5.0,0.0,0.0,2.0,0.0,2.0,0.0
830c14fffffffff,26.0,23.0,0.0,0.0,0.0,0.0,0.0
830c30fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
830c41fffffffff,8.0,8.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,16.0,11.0,3.0,0.0,0.0,2.0,0.0
830c45fffffffff,5.0,2.0,0.0,3.0,0.0,0.0,0.0
830c50fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,14.0,14.0,0.0,0.0,0.0,0.0,0.0
830c55fffffffff,12.0,4.0,0.0,3.0,0.0,1.0,0.0
830c5afffffffff,99.0,94.0,0.0,0.0,0.0,0.0,0.0
830c68fffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
830c69fffffffff,5.0,4.0,0.0,0.0,0.0,0.0,0.0
830c73fffffffff,28.0,24.0,0.0,0.0,0.0,0.0,0.0
830ca4fffffffff,76.0,75.0,0.0,0.0,0.0,0.0,0.0
830d03fffffffff,46.0,39.0,0.0,0.0,0.0,5.0,0.0
830e03fffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
830e49fffffffff,110.0,2.0,0.0,0.0,0.0,104.0,0.0
830e4dfffffffff,35.0,0.0,0.0,0.0,0.0,7.0,0.0
830e5bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
830e80fffffffff,19.0,9.0,7.0,0.0,0.0,2.0,0.0
830ecafffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
830eccfffffffff,8.0,5.0,0.0,0.0,0.0,0.0,0.0
830eeafffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0
830eebfffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
83106dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
831106fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83121efffffffff,1.0,1.0,0.0,0.0,0.0,0.0,0.0
831251fffffffff,8.0,6.0,1.0,0.0,0.0,1.0,0.0
831254fffffffff,3.0,2.0,0.0,0.0,1.0,0.0,0.0
831259fffffffff,18.0,13.0,0.0,0.0,0.0,1.0,0.0
83125dfffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
83129bfffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
83129cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8312b0fffffffff,26.0,11.0,2.0,0.0,0.0,1.0,0.0
8312c8fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8312ccfffffffff,229.0,138.0,24.0,0.0,0.0,4.0,0.0
8312d1fffffffff,49.0,10.0,26.0,0.0,0.0,11.0,0.0
8312d3fffffffff,3.0,0.0,2.0,0.0,0.0,1.0,0.0
8312d8fffffffff,4.0,2.0,0.0,0.0,0.0,0.0,0.0
8312dafffffffff,23.0,21.0,0.0,0.0,0.0,0.0,0.0
8312dbfffffffff,26.0,22.0,2.0,0.0,0.0,2.0,0.0
