cell_id,Alaemon alaudipes,Alaemon alaudipes boavistae,Alaemon alaudipes [alaudipes Group]
832c90fffffffff,127.0,0.0,0.0
832c91fffffffff,273.0,0.0,5.0
832c93fffffffff,533.0,0.0,2.0
832c98fffffffff,5.0,0.0,0.0
832c9efffffffff,1.0,0.0,0.0
832cd4fffffffff,56.0,0.0,0.0
832cd5fffffffff,3.0,0.0,0.0
832cd8fffffffff,2.0,0.0,0.0
832cdbfffffffff,1.0,0.0,0.0
832cddfffffffff,2.0,0.0,0.0
832d82fffffffff,2.0,0.0,0.0
832d91fffffffff,3.0,0.0,0.0
832d94fffffffff,5.0,0.0,0.0
832d95fffffffff,1.0,0.0,0.0
832daefffffffff,2.0,0.0,0.0
832db2fffffffff,1.0,0.0,0.0
832db3fffffffff,8.0,0.0,0.0
833815fffffffff,1.0,0.0,0.0
833816fffffffff,648.0,0.0,78.0
833842fffffffff,4.0,0.0,0.0
833843fffffffff,4.0,0.0,0.0
83384afffffffff,7.0,0.0,0.0
83384cfffffffff,1.0,0.0,0.0
833854fffffffff,3.0,0.0,0.0
83385cfffffffff,6.0,0.0,0.0
83385dfffffffff,7.0,0.0,0.0
8338a4fffffffff,15.0,0.0,0.0
8338dbfffffffff,2.0,0.0,0.0
833980fffffffff,1.0,0.0,0.0
833988fffffffff,225.0,0.0,22.0
833989fffffffff,76.0,0.0,1.0
83398afffffffff,6.0,0.0,0.0
83398bfffffffff,7.0,0.0,2.0
83398efffffffff,2.0,0.0,0.0
833992fffffffff,8.0,0.0,0.0
833993fffffffff,40.0,0.0,3.0
833998fffffffff,4.0,0.0,0.0
833999fffffffff,4.0,0.0,0.0
83399dfffffffff,1.0,0.0,0.0
83399efffffffff,8.0,0.0,0.0
833e28fffffffff,1.0,0.0,0.0
833e34fffffffff,1.0,0.0,0.0
833e45fffffffff,3.0,0.0,0.0
833e4dfffffffff,1.0,0.0,0.0
833e58fffffffff,1.0,0.0,0.0
833e5bfffffffff,1.0,0.0,0.0
833e62fffffffff,1.0,0.0,0.0
833e68fffffffff,4.0,0.0,0.0
833e6afffffffff,1.0,0.0,0.0
833e6cfffffffff,11.0,0.0,0.0
833e6dfffffffff,3.0,0.0,0.0
833e70fffffffff,3.0,0.0,0.0
833e71fffffffff,4.0,0.0,0.0
833ee9fffffffff,2.0,0.0,0.0
834225fffffffff,2.0,0.0,0.0
834230fffffffff,4.0,0.0,0.0
834233fffffffff,3.0,0.0,0.0
834251fffffffff,59.0,0.0,0.0
834253fffffffff,55.0,0.0,0.0
8342c1fffffffff,9.0,0.0,0.0
8342c4fffffffff,8.0,0.0,0.0
8342c5fffffffff,74.0,0.0,0.0
8342e3fffffffff,19.0,0.0,0.0
834310fffffffff,5.0,0.0,0.0
834311fffffffff,2.0,0.0,0.0
834313fffffffff,2.0,0.0,0.0
83431efffffffff,5.0,0.0,0.0
834325fffffffff,2.0,0.0,0.0
834334fffffffff,2.0,0.0,0.0
834336fffffffff,1.0,0.0,0.0
834350fffffffff,3.0,0.0,0.0
83438afffffffff,2.0,0.0,0.0
83438bfffffffff,2.0,0.0,0.0
83438cfffffffff,2.0,0.0,0.0
83438efffffffff,1.0,0.0,0.0
834392fffffffff,2.0,0.0,0.0
834393fffffffff,7.0,0.0,0.0
834396fffffffff,6.0,0.0,0.0
834398fffffffff,36.0,0.0,0.0
834399fffffffff,3.0,0.0,0.0
83439cfffffffff,1.0,0.0,0.0
8343a0fffffffff,10.0,0.0,0.0
8343a1fffffffff,248.0,0.0,1.0
8343a2fffffffff,5.0,0.0,1.0
8343a3fffffffff,15.0,0.0,1.0
8343a6fffffffff,16.0,0.0,1.0
8343a9fffffffff,19.0,0.0,0.0
8343acfffffffff,16.0,0.0,3.0
8343adfffffffff,6.0,0.0,0.0
8343aefffffffff,46.0,0.0,3.0
835203fffffffff,2.0,0.0,0.0
835211fffffffff,10.0,0.0,0.0
835213fffffffff,3.0,0.0,0.0
835215fffffffff,15.0,0.0,0.0
83521efffffffff,8.0,0.0,0.0
83522bfffffffff,2.0,0.0,0.0
835232fffffffff,4.0,0.0,0.0
835233fffffffff,2.0,0.0,0.0
83524dfffffffff,9.0,0.0,0.0
835269fffffffff,18.0,0.0,0.0
83526bfffffffff,10.0,0.0,0.0
83528bfffffffff,4.0,0.0,0.0
8352d0fffffffff,1.0,0.0,0.0
8352d4fffffffff,3.0,0.0,0.0
8352d6fffffffff,8.0,0.0,0.0
8352f3fffffffff,4.0,0.0,0.0
83530cfffffffff,2.0,0.0,0.0
83530dfffffffff,3.0,0.0,0.0
835312fffffffff,4.0,0.0,0.0
835316fffffffff,3.0,0.0,0.0
835324fffffffff,4.0,0.0,0.0
835329fffffffff,14.0,0.0,0.0
835332fffffffff,4.0,0.0,0.0
835336fffffffff,4.0,0.0,0.0
835343fffffffff,5.0,0.0,0.0
835344fffffffff,7.0,0.0,0.0
835345fffffffff,9.0,0.0,0.0
83534cfffffffff,5.0,0.0,0.0
83534dfffffffff,17.0,0.0,0.0
835354fffffffff,2.0,0.0,0.0
835362fffffffff,2.0,0.0,0.0
835363fffffffff,3.0,0.0,0.0
835364fffffffff,4.0,0.0,1.0
835366fffffffff,1.0,0.0,0.0
835368fffffffff,26.0,0.0,0.0
83536afffffffff,64.0,0.0,0.0
83536bfffffffff,4.0,0.0,0.0
83536efffffffff,9.0,0.0,0.0
835372fffffffff,27.0,0.0,0.0
835373fffffffff,3.0,0.0,0.0
835376fffffffff,3.0,0.0,0.0
8353a0fffffffff,4.0,0.0,0.0
8353a4fffffffff,3.0,0.0,0.0
8353a9fffffffff,5.0,0.0,0.0
8353abfffffffff,2.0,0.0,0.0
8353adfffffffff,5.0,0.0,0.0
835432fffffffff,6.0,0.0,0.0
835436fffffffff,6.0,0.0,0.0
835494fffffffff,22.0,12.0,0.0
8354b0fffffffff,68.0,37.0,0.0
8354b3fffffffff,6.0,4.0,0.0
8354b6fffffffff,9.0,3.0,0.0
835510fffffffff,48.0,0.0,0.0
835512fffffffff,65.0,0.0,0.0
835513fffffffff,93.0,0.0,5.0
835518fffffffff,7.0,0.0,0.0
835519fffffffff,3.0,0.0,0.0
83551afffffffff,2.0,0.0,0.0
83551efffffffff,23.0,0.0,5.0
835524fffffffff,1.0,0.0,0.0
835530fffffffff,6.0,0.0,1.0
835532fffffffff,2.0,0.0,0.0
835534fffffffff,18.0,0.0,2.0
835535fffffffff,3.0,0.0,0.0
8355a9fffffffff,1.0,0.0,0.0
8355abfffffffff,4.0,0.0,0.0
8355acfffffffff,2.0,0.0,0.0
835901fffffffff,2.0,0.0,0.0
83590efffffffff,1.0,0.0,0.0
836324fffffffff,9.0,0.0,0.0
836326fffffffff,12.0,0.0,0.0
836330fffffffff,3.0,0.0,0.0
836335fffffffff,3.0,0.0,0.0
836336fffffffff,58.0,0.0,0.0
