cell_id,Mimus gilvus,Mimus gilvus gracilis/leucophaeus,Mimus gilvus [gilvus Group],Mimus gilvus magnirostris
845f49bffffffff,12.0,0.0,0.0,0.0
845f4a3ffffffff,8.0,0.0,0.0,0.0
845f4a7ffffffff,2.0,0.0,0.0,0.0
845f4a9ffffffff,18.0,0.0,0.0,0.0
845f4abffffffff,8.0,0.0,0.0,0.0
845f4b1ffffffff,1.0,0.0,0.0,0.0
845f4b3ffffffff,696.0,0.0,4.0,0.0
845f4b5ffffffff,1.0,0.0,0.0,0.0
845f4b9ffffffff,4.0,0.0,0.0,0.0
845f4bbffffffff,1.0,0.0,0.0,0.0
845f4bdffffffff,21.0,0.0,0.0,0.0
845f4cdffffffff,1.0,0.0,0.0,0.0
845f4d5ffffffff,2.0,0.0,0.0,0.0
845f4ddffffffff,2.0,0.0,0.0,0.0
845f4e1ffffffff,9.0,0.0,0.0,0.0
845f4e3ffffffff,1.0,0.0,0.0,0.0
845f4e5ffffffff,9.0,0.0,0.0,0.0
845f4e7ffffffff,12.0,0.0,0.0,0.0
845f4edffffffff,6.0,0.0,0.0,0.0
845f50bffffffff,2.0,0.0,0.0,0.0
845f549ffffffff,4.0,0.0,0.0,0.0
845f569ffffffff,7.0,0.0,0.0,0.0
845f581ffffffff,258.0,0.0,0.0,0.0
845f583ffffffff,3248.0,0.0,0.0,0.0
845f587ffffffff,82.0,0.0,0.0,0.0
845f58bffffffff,149.0,0.0,0.0,0.0
845f591ffffffff,3.0,0.0,0.0,0.0
845f595ffffffff,101.0,0.0,0.0,0.0
845f5abffffffff,1.0,0.0,0.0,0.0
845f5b5ffffffff,1343.0,0.0,0.0,0.0
845f5b9ffffffff,211.0,0.0,0.0,0.0
845f5bdffffffff,571.0,0.0,0.0,0.0
845f5d7ffffffff,13.0,0.0,0.0,0.0
845f635ffffffff,2.0,0.0,0.0,0.0
845f665ffffffff,1.0,0.0,0.0,0.0
845f683ffffffff,12.0,0.0,0.0,0.0
845f689ffffffff,3.0,0.0,0.0,0.0
845f68bffffffff,2.0,0.0,0.0,0.0
845f711ffffffff,46.0,0.0,2.0,0.0
845f713ffffffff,8.0,0.0,0.0,0.0
845f719ffffffff,19.0,0.0,2.0,0.0
845f71bffffffff,1.0,0.0,0.0,0.0
845f74dffffffff,1.0,0.0,0.0,0.0
845f755ffffffff,33.0,0.0,0.0,0.0
845f757ffffffff,3.0,0.0,2.0,0.0
845f759ffffffff,44.0,0.0,0.0,0.0
845f75dffffffff,17.0,0.0,0.0,0.0
845f767ffffffff,2.0,0.0,0.0,0.0
8466017ffffffff,2.0,0.0,0.0,0.0
