cell_id,Willisornis vidua,Willisornis vidua nigrigula,Willisornis vidua vidua
8480445ffffffff,3.0,0.0,0.0
848044dffffffff,4.0,0.0,0.0
8480469ffffffff,97.0,0.0,0.0
848046bffffffff,1.0,0.0,0.0
8480625ffffffff,4.0,0.0,0.0
8480643ffffffff,2.0,0.0,0.0
848064bffffffff,2.0,0.0,0.0
8480655ffffffff,12.0,0.0,0.0
8480665ffffffff,5.0,0.0,0.0
848066bffffffff,2.0,0.0,0.0
84806e9ffffffff,1.0,0.0,0.0
8480701ffffffff,1.0,0.0,0.0
8480705ffffffff,1.0,0.0,0.0
8480713ffffffff,3.0,0.0,0.0
8480717ffffffff,1.0,0.0,0.0
8480723ffffffff,2.0,0.0,0.0
8480745ffffffff,6.0,0.0,0.0
8480747ffffffff,1.0,0.0,0.0
8480759ffffffff,12.0,0.0,0.0
848075bffffffff,5.0,0.0,0.0
8481401ffffffff,10.0,0.0,0.0
8481403ffffffff,5.0,0.0,0.0
8481407ffffffff,1.0,0.0,0.0
8481423ffffffff,4.0,0.0,0.0
8481431ffffffff,6.0,0.0,0.0
8481485ffffffff,1.0,0.0,0.0
84814a1ffffffff,5.0,0.0,0.0
84814a9ffffffff,17.0,0.0,0.0
84814adffffffff,29.0,0.0,0.0
84814d5ffffffff,8.0,0.0,0.0
84814dbffffffff,2.0,0.0,0.0
84814e3ffffffff,19.0,0.0,0.0
84814e7ffffffff,62.0,0.0,0.0
8481581ffffffff,1.0,0.0,0.0
8481583ffffffff,10.0,0.0,0.0
84815abffffffff,2.0,0.0,0.0
84815c1ffffffff,1.0,0.0,0.0
84815c9ffffffff,10.0,0.0,0.0
84815d9ffffffff,2.0,0.0,0.0
84815e9ffffffff,2.0,0.0,2.0
8481633ffffffff,1.0,0.0,0.0
8481635ffffffff,4.0,0.0,2.0
8481637ffffffff,4.0,0.0,0.0
848a809ffffffff,13.0,0.0,0.0
848a827ffffffff,9.0,0.0,0.0
848a927ffffffff,6.0,0.0,0.0
848a929ffffffff,2.0,0.0,0.0
848a92dffffffff,2.0,0.0,0.0
848a9c5ffffffff,1.0,0.0,0.0
848a9c9ffffffff,1.0,0.0,0.0
848a9cdffffffff,26.0,0.0,0.0
848aa29ffffffff,1.0,0.0,0.0
848ab03ffffffff,1.0,0.0,0.0
848b82bffffffff,1.0,0.0,0.0
848b881ffffffff,1.0,0.0,0.0
848b8a5ffffffff,1.0,0.0,0.0
848b98bffffffff,5.0,0.0,0.0
848b98dffffffff,1.0,0.0,0.0
848b999ffffffff,15.0,0.0,0.0
848b99dffffffff,37.0,0.0,0.0
848b9d5ffffffff,279.0,0.0,0.0
