cell_id,Anarhynchus obscurus,Anarhynchus obscurus aquilonius,Anarhynchus obscurus obscurus
83ba24fffffffff,7.0,0.0,0.0
83bb08fffffffff,79.0,0.0,0.0
83bb0afffffffff,31.0,0.0,0.0
83bb0bfffffffff,35.0,0.0,0.0
83bb0cfffffffff,39.0,0.0,0.0
83bb29fffffffff,2.0,0.0,0.0
83bb2bfffffffff,254.0,0.0,0.0
83bb50fffffffff,1757.0,0.0,0.0
83bb51fffffffff,122.0,0.0,0.0
83bb52fffffffff,134.0,0.0,0.0
83bb53fffffffff,578.0,25.0,0.0
83bb54fffffffff,14.0,0.0,0.0
83bb56fffffffff,170.0,0.0,0.0
83bb58fffffffff,31.0,0.0,0.0
83bb5efffffffff,78.0,0.0,0.0
83bb70fffffffff,3.0,0.0,0.0
83bb72fffffffff,9.0,0.0,0.0
83bb76fffffffff,2.0,0.0,0.0
83daaafffffffff,109.0,0.0,43.0
83daabfffffffff,2.0,0.0,2.0
