cell_id,Treron calvus,Treron calvus [calvus Group],Treron calvus delalandii/granti
825287fffffffff,1.0,0.0,0.0
82541ffffffffff,20.0,0.0,0.0
8254affffffffff,81.0,5.0,0.0
8254c7fffffffff,3.0,0.0,0.0
8254cffffffffff,1.0,0.0,0.0
8254e7fffffffff,31.0,2.0,0.0
8254effffffffff,1.0,0.0,0.0
8254f7fffffffff,214.0,14.0,0.0
825887fffffffff,4.0,0.0,0.0
82588ffffffffff,2.0,0.0,0.0
825897fffffffff,97.0,3.0,0.0
8258a7fffffffff,2.0,0.0,0.0
8258b7fffffffff,8.0,0.0,0.0
8258c7fffffffff,3.0,0.0,0.0
8258cffffffffff,5.0,0.0,0.0
8258d7fffffffff,57.0,0.0,0.0
8258dffffffffff,23.0,0.0,0.0
8258f7fffffffff,2.0,0.0,0.0
825997fffffffff,2.0,0.0,0.0
82599ffffffffff,2.0,0.0,0.0
826a17fffffffff,1.0,0.0,0.0
826a57fffffffff,2.0,0.0,0.0
826a5ffffffffff,2.0,0.0,0.0
826a9ffffffffff,12.0,0.0,0.0
826ac7fffffffff,703.0,37.0,0.0
826acffffffffff,827.0,50.0,0.0
826adffffffffff,472.0,11.0,0.0
826ae7fffffffff,4.0,0.0,0.0
826aeffffffffff,239.0,2.0,0.0
827507fffffffff,5.0,2.0,0.0
82750ffffffffff,979.0,93.0,0.0
827517fffffffff,1.0,0.0,0.0
82751ffffffffff,10.0,0.0,0.0
827527fffffffff,108.0,11.0,0.0
82752ffffffffff,508.0,64.0,0.0
827537fffffffff,9.0,0.0,0.0
827577fffffffff,2.0,1.0,0.0
8275a7fffffffff,2.0,0.0,0.0
8275affffffffff,5.0,0.0,0.0
8275b7fffffffff,2.0,0.0,0.0
827a47fffffffff,121.0,0.0,0.0
827a4ffffffffff,329.0,0.0,0.0
827a67fffffffff,98.0,0.0,0.0
827a6ffffffffff,562.0,6.0,0.0
827a77fffffffff,1.0,0.0,0.0
827acffffffffff,2.0,0.0,0.0
827b4ffffffffff,95.0,7.0,0.0
827b5ffffffffff,27.0,0.0,0.0
827b6ffffffffff,15.0,0.0,0.0
82821ffffffffff,11.0,1.0,0.0
828287fffffffff,16.0,0.0,0.0
82828ffffffffff,327.0,0.0,0.0
828297fffffffff,4.0,0.0,0.0
8282a7fffffffff,35.0,0.0,0.0
8282affffffffff,71.0,0.0,0.0
8282b7fffffffff,1.0,0.0,0.0
8282c7fffffffff,59.0,0.0,0.0
8282d7fffffffff,115.0,0.0,0.0
8282f7fffffffff,40.0,0.0,0.0
828317fffffffff,18.0,5.0,0.0
82831ffffffffff,5.0,0.0,0.0
828327fffffffff,5.0,0.0,0.0
828337fffffffff,9.0,3.0,0.0
82838ffffffffff,4.0,4.0,0.0
82839ffffffffff,22.0,0.0,0.0
8283a7fffffffff,5.0,3.0,0.0
8283affffffffff,26.0,7.0,0.0
829607fffffffff,50.0,16.0,0.0
82960ffffffffff,30.0,9.0,0.0
829617fffffffff,27.0,12.0,0.0
829627fffffffff,50.0,2.0,0.0
82962ffffffffff,65.0,9.0,0.0
829637fffffffff,41.0,3.0,0.0
829657fffffffff,7.0,2.0,0.0
82966ffffffffff,1.0,0.0,0.0
829687fffffffff,1.0,0.0,0.0
82968ffffffffff,4.0,0.0,0.0
829697fffffffff,332.0,0.0,0.0
82969ffffffffff,2.0,0.0,0.0
8296a7fffffffff,26.0,0.0,0.0
8296b7fffffffff,90.0,0.0,0.0
8296effffffffff,2.0,0.0,0.0
829707fffffffff,51.0,0.0,0.0
82970ffffffffff,4.0,0.0,0.0
829717fffffffff,93.0,0.0,0.0
82971ffffffffff,19.0,0.0,0.0
82972ffffffffff,315.0,0.0,0.0
829737fffffffff,12.0,0.0,0.0
829747fffffffff,221.0,9.0,0.0
82974ffffffffff,457.0,50.0,0.0
829757fffffffff,109.0,23.0,0.0
82975ffffffffff,171.0,12.0,0.0
82978ffffffffff,22.0,0.0,0.0
829797fffffffff,6.0,0.0,0.0
82979ffffffffff,8.0,0.0,0.0
8297affffffffff,17.0,0.0,0.0
82ac87fffffffff,6.0,0.0,0.0
82ac8ffffffffff,10.0,0.0,0.0
82ac97fffffffff,3.0,0.0,0.0
82acb7fffffffff,5.0,0.0,0.0
82bc0ffffffffff,36.0,0.0,0.0
82bc1ffffffffff,15.0,0.0,0.0
82bc47fffffffff,1.0,0.0,0.0
82bc77fffffffff,4.0,0.0,0.0
82bc8ffffffffff,51.0,0.0,2.0
82bc9ffffffffff,1.0,0.0,0.0
82bcc7fffffffff,32.0,0.0,4.0
82bcd7fffffffff,1490.0,0.0,39.0
82bcdffffffffff,60.0,0.0,0.0
82bce7fffffffff,10.0,0.0,4.0
82bcf7fffffffff,521.0,0.0,57.0
