cell_id,Turdus albicollis,Turdus albicollis [phaeopygus Group],Turdus albicollis [albicollis Group]
835f00fffffffff,10.0,0.0,0.0
835f01fffffffff,9.0,0.0,0.0
835f03fffffffff,97.0,0.0,0.0
835f08fffffffff,2.0,0.0,0.0
835f0dfffffffff,3.0,0.0,0.0
835f10fffffffff,19.0,0.0,0.0
835f11fffffffff,3.0,0.0,0.0
835f12fffffffff,9.0,0.0,0.0
835f13fffffffff,3.0,0.0,0.0
835f14fffffffff,27.0,0.0,0.0
835f16fffffffff,5.0,0.0,0.0
835f22fffffffff,1.0,0.0,0.0
835f2bfffffffff,26.0,0.0,0.0
835f2dfffffffff,4.0,0.0,0.0
835f42fffffffff,15.0,0.0,0.0
835f4afffffffff,13.0,0.0,0.0
835f4bfffffffff,7.0,0.0,0.0
835f54fffffffff,11.0,0.0,0.0
835f58fffffffff,1058.0,0.0,0.0
835f59fffffffff,2.0,0.0,0.0
835f5bfffffffff,421.0,0.0,0.0
835f68fffffffff,1.0,0.0,0.0
835f71fffffffff,24.0,0.0,0.0
835f75fffffffff,14.0,0.0,0.0
835f76fffffffff,1.0,0.0,0.0
836601fffffffff,4.0,0.0,0.0
836606fffffffff,3.0,0.0,0.0
836609fffffffff,5.0,0.0,0.0
83660bfffffffff,6.0,0.0,0.0
83660dfffffffff,33.0,0.0,0.0
836620fffffffff,295.0,0.0,0.0
836621fffffffff,1.0,0.0,0.0
836622fffffffff,34.0,0.0,0.0
836623fffffffff,3.0,0.0,0.0
836629fffffffff,6.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0
83662dfffffffff,26.0,0.0,0.0
83662efffffffff,12.0,0.0,0.0
836641fffffffff,19.0,0.0,0.0
836645fffffffff,1.0,0.0,0.0
836648fffffffff,6.0,0.0,0.0
83664efffffffff,8.0,0.0,0.0
836652fffffffff,35.0,0.0,0.0
836654fffffffff,4.0,0.0,0.0
836656fffffffff,62.0,0.0,0.0
83665afffffffff,122.0,0.0,0.0
83665bfffffffff,28.0,0.0,0.0
83665efffffffff,2.0,0.0,0.0
836663fffffffff,4.0,0.0,0.0
83666afffffffff,4.0,0.0,0.0
836670fffffffff,2.0,0.0,0.0
836672fffffffff,2.0,0.0,0.0
