cell_id,Lampornis castaneoventris,Lampornis castaneoventris cinereicauda,Lampornis castaneoventris castaneoventris
8366b4fffffffff,360.0,197.0,0.0
8366b5fffffffff,19.0,2.0,0.0
836d69fffffffff,2.0,0.0,0.0
