cell_id,Tringa semipalmata,Tringa semipalmata semipalmata,Tringa semipalmata inornata
820c57fffffffff,11.0,0.0,6.0
820e4ffffffffff,7.0,0.0,0.0
820eeffffffffff,2.0,0.0,0.0
821257fffffffff,4.0,0.0,4.0
82125ffffffffff,1.0,0.0,0.0
8212c7fffffffff,2.0,0.0,0.0
8212cffffffffff,25.0,0.0,4.0
8212d7fffffffff,4.0,0.0,0.0
8212dffffffffff,8.0,0.0,0.0
8212e7fffffffff,3.0,0.0,0.0
8212effffffffff,8.0,0.0,5.0
8212f7fffffffff,2.0,0.0,0.0
821387fffffffff,5.0,0.0,0.0
821aa7fffffffff,85.0,6.0,3.0
821b87fffffffff,1.0,0.0,0.0
821b9ffffffffff,2.0,2.0,0.0
822607fffffffff,10.0,0.0,6.0
82260ffffffffff,31.0,0.0,8.0
822617fffffffff,2.0,0.0,0.0
82261ffffffffff,2.0,0.0,0.0
822627fffffffff,11.0,0.0,0.0
82262ffffffffff,4.0,0.0,2.0
822637fffffffff,1.0,0.0,0.0
822647fffffffff,32.0,0.0,12.0
82264ffffffffff,155.0,0.0,36.0
822657fffffffff,85.0,0.0,2.0
82265ffffffffff,43.0,0.0,5.0
822667fffffffff,203.0,0.0,35.0
82266ffffffffff,58.0,0.0,13.0
822677fffffffff,63.0,0.0,10.0
822687fffffffff,190.0,0.0,51.0
82268ffffffffff,298.0,0.0,38.0
822697fffffffff,288.0,0.0,162.0
82269ffffffffff,113.0,0.0,26.0
8226a7fffffffff,8.0,0.0,6.0
8226affffffffff,169.0,0.0,21.0
8226b7fffffffff,18.0,0.0,4.0
8226c7fffffffff,16.0,0.0,1.0
8226cffffffffff,143.0,0.0,20.0
8226d7fffffffff,9.0,0.0,3.0
8226dffffffffff,50.0,0.0,10.0
8226e7fffffffff,45.0,0.0,5.0
8226effffffffff,13.0,0.0,0.0
8226f7fffffffff,93.0,0.0,23.0
822707fffffffff,17.0,0.0,0.0
82270ffffffffff,3.0,0.0,0.0
822717fffffffff,47.0,0.0,6.0
82271ffffffffff,7.0,0.0,0.0
822747fffffffff,46.0,0.0,0.0
82274ffffffffff,146.0,0.0,4.0
822757fffffffff,36.0,0.0,5.0
82275ffffffffff,95.0,0.0,7.0
822767fffffffff,20.0,0.0,0.0
82276ffffffffff,65.0,0.0,0.0
822777fffffffff,26.0,0.0,1.0
822787fffffffff,7.0,0.0,0.0
82278ffffffffff,4.0,0.0,4.0
822797fffffffff,14.0,0.0,7.0
82279ffffffffff,31.0,0.0,26.0
8227a7fffffffff,5.0,0.0,0.0
8227affffffffff,6.0,0.0,2.0
8227b7fffffffff,14.0,0.0,8.0
822807fffffffff,29.0,0.0,27.0
822817fffffffff,107.0,0.0,53.0
82281ffffffffff,116.0,0.0,11.0
822837fffffffff,2373.0,0.0,1245.0
822887fffffffff,42.0,0.0,11.0
82288ffffffffff,24.0,0.0,2.0
822897fffffffff,100.0,0.0,31.0
82289ffffffffff,7.0,0.0,2.0
8228a7fffffffff,14.0,0.0,8.0
8228affffffffff,65.0,0.0,33.0
8228b7fffffffff,18.0,0.0,11.0
8228c7fffffffff,567.0,0.0,101.0
8228d7fffffffff,259.0,0.0,24.0
8228dffffffffff,254.0,0.0,6.0
8228e7fffffffff,2.0,0.0,0.0
8228f7fffffffff,77.0,0.0,4.0
822917fffffffff,243.0,0.0,236.0
82291ffffffffff,2.0,0.0,0.0
822987fffffffff,13.0,0.0,4.0
82298ffffffffff,51.0,0.0,7.0
822997fffffffff,19.0,0.0,4.0
8229a7fffffffff,590.0,0.0,141.0
8229affffffffff,131.0,0.0,8.0
8229b7fffffffff,69.0,0.0,18.0
822a07fffffffff,32.0,2.0,7.0
822a17fffffffff,759.0,247.0,255.0
822a37fffffffff,786.0,125.0,241.0
822a4ffffffffff,8.0,0.0,3.0
822a87fffffffff,65.0,0.0,13.0
822a8ffffffffff,73.0,2.0,40.0
822a97fffffffff,117.0,0.0,6.0
822a9ffffffffff,24.0,0.0,0.0
822aa7fffffffff,116.0,0.0,61.0
822aaffffffffff,1906.0,386.0,737.0
822ab7fffffffff,1138.0,0.0,214.0
822ac7fffffffff,15.0,0.0,0.0
822ad7fffffffff,140.0,9.0,5.0
822af7fffffffff,261.0,34.0,107.0
822b07fffffffff,20.0,3.0,13.0
822b0ffffffffff,165.0,25.0,107.0
822b17fffffffff,77.0,0.0,12.0
822b1ffffffffff,145.0,47.0,12.0
822b27fffffffff,84.0,2.0,0.0
822b2ffffffffff,4.0,0.0,4.0
822b37fffffffff,11.0,4.0,0.0
822b87fffffffff,27.0,0.0,15.0
822b8ffffffffff,37.0,0.0,16.0
822b97fffffffff,9.0,0.0,2.0
822b9ffffffffff,358.0,0.0,55.0
822ba7fffffffff,18.0,0.0,8.0
822baffffffffff,49.0,2.0,8.0
822bb7fffffffff,2.0,0.0,0.0
823427fffffffff,4.0,0.0,0.0
824417fffffffff,280.0,20.0,33.0
82441ffffffffff,132.0,39.0,36.0
824437fffffffff,10.0,7.0,0.0
824447fffffffff,214.0,0.0,49.0
82444ffffffffff,20.0,0.0,0.0
824457fffffffff,106.0,13.0,31.0
82445ffffffffff,35.0,0.0,20.0
824467fffffffff,74.0,23.0,36.0
82446ffffffffff,224.0,49.0,82.0
824477fffffffff,89.0,16.0,51.0
824487fffffffff,6.0,4.0,0.0
8244a7fffffffff,6.0,0.0,0.0
8244affffffffff,53.0,5.0,0.0
8244b7fffffffff,13.0,1.0,4.0
8244c7fffffffff,30.0,0.0,2.0
8244cffffffffff,34.0,0.0,3.0
8244d7fffffffff,600.0,3.0,13.0
8244dffffffffff,46.0,0.0,13.0
8244e7fffffffff,338.0,9.0,89.0
8244effffffffff,7.0,0.0,4.0
8244f7fffffffff,343.0,43.0,46.0
824507fffffffff,17.0,9.0,2.0
82450ffffffffff,11.0,9.0,0.0
824527fffffffff,11.0,0.0,0.0
82452ffffffffff,11.0,0.0,1.0
824537fffffffff,4.0,0.0,0.0
824557fffffffff,13.0,0.0,13.0
824577fffffffff,9.0,6.0,1.0
824587fffffffff,8.0,4.0,0.0
82458ffffffffff,28.0,24.0,4.0
82459ffffffffff,90.0,78.0,12.0
8245a7fffffffff,29.0,0.0,0.0
824807fffffffff,20.0,0.0,11.0
82480ffffffffff,1.0,0.0,0.0
824817fffffffff,15.0,0.0,0.0
82481ffffffffff,11.0,0.0,0.0
82482ffffffffff,24.0,0.0,24.0
824837fffffffff,4.0,0.0,4.0
824847fffffffff,5.0,0.0,1.0
82484ffffffffff,24.0,0.0,2.0
824857fffffffff,8.0,0.0,6.0
82485ffffffffff,111.0,0.0,60.0
824877fffffffff,12.0,0.0,6.0
82488ffffffffff,27.0,0.0,3.0
824897fffffffff,243.0,29.0,141.0
82489ffffffffff,109.0,0.0,3.0
8248affffffffff,3.0,0.0,0.0
8248b7fffffffff,95.0,2.0,37.0
8248c7fffffffff,61.0,0.0,18.0
8248cffffffffff,32.0,0.0,8.0
8248d7fffffffff,24.0,0.0,7.0
8248dffffffffff,46.0,0.0,0.0
8248e7fffffffff,6.0,0.0,2.0
8248effffffffff,254.0,0.0,71.0
824987fffffffff,5.0,0.0,0.0
824997fffffffff,96.0,0.0,14.0
8249a7fffffffff,2.0,0.0,2.0
8249affffffffff,1.0,0.0,1.0
824c87fffffffff,7.0,0.0,0.0
824c8ffffffffff,11.0,0.0,0.0
824caffffffffff,8.0,0.0,0.0
824cc7fffffffff,37.0,3.0,4.0
824cd7fffffffff,8.0,0.0,0.0
824ceffffffffff,126.0,0.0,1.0
824cf7fffffffff,2.0,0.0,0.0
824d4ffffffffff,9.0,1.0,2.0
825e5ffffffffff,16.0,0.0,6.0
825e67fffffffff,49.0,0.0,0.0
825e77fffffffff,9.0,0.0,0.0
825f1ffffffffff,6.0,0.0,2.0
825f4ffffffffff,9.0,3.0,1.0
825f5ffffffffff,29.0,0.0,5.0
826607fffffffff,3.0,0.0,0.0
826617fffffffff,13.0,0.0,0.0
826627fffffffff,11.0,0.0,0.0
826637fffffffff,2.0,0.0,0.0
8266a7fffffffff,29.0,1.0,7.0
8266b7fffffffff,64.0,0.0,56.0
8266d7fffffffff,3.0,0.0,0.0
8266f7fffffffff,4.0,0.0,0.0
826727fffffffff,4.0,1.0,0.0
826747fffffffff,122.0,2.0,0.0
82674ffffffffff,4.0,0.0,0.0
826757fffffffff,77.0,13.0,15.0
826777fffffffff,2.0,0.0,0.0
826787fffffffff,4.0,0.0,0.0
82679ffffffffff,7.0,0.0,4.0
826c5ffffffffff,1.0,0.0,0.0
826d07fffffffff,29.0,0.0,1.0
826d27fffffffff,7.0,0.0,0.0
826d2ffffffffff,55.0,6.0,7.0
826d37fffffffff,15.0,0.0,1.0
826d67fffffffff,88.0,11.0,7.0
826d6ffffffffff,119.0,1.0,102.0
826d77fffffffff,31.0,0.0,1.0
828057fffffffff,28.0,28.0,0.0
82818ffffffffff,12.0,0.0,0.0
828e47fffffffff,8.0,0.0,4.0
828e67fffffffff,109.0,0.0,13.0
828e77fffffffff,2.0,0.0,0.0
828f0ffffffffff,10.0,0.0,0.0
828f57fffffffff,18.0,0.0,0.0
828fa7fffffffff,3.0,0.0,0.0
82a817fffffffff,2.0,0.0,0.0
82a837fffffffff,9.0,0.0,0.0
82a8a7fffffffff,5.0,3.0,0.0
82a907fffffffff,3.0,1.0,2.0
82a91ffffffffff,5.0,0.0,0.0
82a927fffffffff,2.0,0.0,0.0
82b207fffffffff,15.0,0.0,0.0
82b21ffffffffff,9.0,0.0,9.0
82b2c7fffffffff,29.0,6.0,2.0
82b2dffffffffff,31.0,0.0,0.0
82b307fffffffff,6.0,1.0,0.0
82b337fffffffff,8.0,0.0,0.0
82c21ffffffffff,8.0,0.0,0.0
82c2f7fffffffff,3.0,0.0,0.0
82ce8ffffffffff,24.0,0.0,0.0
