cell_id,Anisognathus igniventris,Anisognathus igniventris [lunulatus Group],Anisognathus igniventris igniventris
8466083ffffffff,59.0,0.0,0.0
8466089ffffffff,68.0,0.0,0.0
846608bffffffff,13.0,0.0,0.0
8466095ffffffff,27.0,0.0,0.0
846609dffffffff,103.0,0.0,0.0
84660b1ffffffff,59.0,0.0,0.0
84660b3ffffffff,6.0,0.0,0.0
84660b5ffffffff,137.0,0.0,0.0
84660b7ffffffff,55.0,0.0,0.0
84660b9ffffffff,257.0,7.0,0.0
84660bbffffffff,219.0,0.0,0.0
84660bdffffffff,138.0,0.0,0.0
84660c1ffffffff,9.0,0.0,0.0
84660c3ffffffff,262.0,3.0,0.0
84660d5ffffffff,24.0,2.0,0.0
84660d7ffffffff,4.0,0.0,0.0
84660ddffffffff,29.0,0.0,0.0
8466189ffffffff,3.0,0.0,0.0
8466197ffffffff,43.0,0.0,0.0
84661b9ffffffff,3.0,0.0,0.0
84661bbffffffff,10.0,2.0,0.0
84661c3ffffffff,2.0,0.0,0.0
8466c21ffffffff,3.0,0.0,0.0
8466c25ffffffff,126.0,4.0,0.0
8466c61ffffffff,50.0,0.0,0.0
8466c67ffffffff,2.0,0.0,0.0
8466c69ffffffff,233.0,0.0,0.0
8466c6dffffffff,10.0,0.0,0.0
8466d11ffffffff,21.0,0.0,0.0
8466d15ffffffff,25.0,0.0,0.0
8466d17ffffffff,16.0,0.0,0.0
8466d19ffffffff,21.0,0.0,0.0
8466d1bffffffff,1.0,0.0,0.0
8466d1dffffffff,48.0,0.0,0.0
8466d31ffffffff,2259.0,185.0,0.0
8466d33ffffffff,581.0,42.0,0.0
8466d35ffffffff,1.0,0.0,0.0
8466d37ffffffff,55.0,2.0,0.0
8466d39ffffffff,57.0,0.0,0.0
8466d3bffffffff,53.0,0.0,0.0
8466d53ffffffff,41.0,0.0,0.0
8466d57ffffffff,14.0,0.0,0.0
8466da5ffffffff,2.0,0.0,0.0
8466dadffffffff,1.0,0.0,0.0
8466de1ffffffff,56.0,0.0,0.0
8466de5ffffffff,146.0,20.0,0.0
8466de9ffffffff,1.0,0.0,0.0
8466dedffffffff,990.0,90.0,0.0
8466e01ffffffff,46.0,1.0,0.0
8466e07ffffffff,15.0,1.0,0.0
8466e09ffffffff,1691.0,26.0,0.0
8466e0bffffffff,32.0,2.0,0.0
8466e0dffffffff,34.0,0.0,0.0
8466e2dffffffff,241.0,0.0,0.0
8466e41ffffffff,143.0,0.0,0.0
8466e43ffffffff,3169.0,47.0,0.0
8466e47ffffffff,526.0,5.0,0.0
8466e49ffffffff,34.0,0.0,0.0
8466e4bffffffff,106.0,9.0,0.0
8466e55ffffffff,336.0,0.0,0.0
8466e5dffffffff,36.0,2.0,0.0
8466e61ffffffff,220.0,2.0,0.0
8466e65ffffffff,637.0,29.0,0.0
8466e67ffffffff,408.0,0.0,0.0
8466e69ffffffff,1.0,0.0,0.0
8466e6dffffffff,3366.0,133.0,0.0
8466f19ffffffff,115.0,0.0,0.0
8466f1dffffffff,2.0,0.0,0.0
8466f53ffffffff,36.0,0.0,0.0
8466f5bffffffff,48.0,0.0,0.0
848b203ffffffff,16.0,0.0,0.0
848b211ffffffff,2.0,0.0,0.0
