cell_id,Cisticola ayresii,Cisticola ayresii gabun,Cisticola ayresii [ayresii Group]
846a5a9ffffffff,8.0,0.0,0.0
846ac31ffffffff,8.0,0.0,0.0
846ac35ffffffff,2.0,0.0,0.0
846ac3dffffffff,64.0,0.0,0.0
846acadffffffff,2.0,0.0,0.0
846ace5ffffffff,11.0,0.0,0.0
846ad8bffffffff,3.0,0.0,0.0
846adc1ffffffff,7.0,0.0,0.0
846adc9ffffffff,2.0,0.0,0.0
846add7ffffffff,3.0,0.0,0.0
846adebffffffff,1.0,0.0,0.0
846ae85ffffffff,4.0,0.0,0.0
846aea9ffffffff,2.0,0.0,0.0
846aeabffffffff,1.0,0.0,0.0
846aee3ffffffff,14.0,0.0,0.0
847a45bffffffff,34.0,0.0,0.0
847a483ffffffff,4.0,0.0,0.0
847a4b1ffffffff,7.0,0.0,0.0
847a6a3ffffffff,4.0,0.0,0.0
847a6a5ffffffff,1.0,0.0,0.0
847a6adffffffff,46.0,0.0,0.0
8483263ffffffff,5.0,0.0,5.0
848333dffffffff,4.0,0.0,2.0
8496095ffffffff,2.0,0.0,0.0
8496097ffffffff,19.0,0.0,0.0
8496149ffffffff,1.0,0.0,0.0
849654dffffffff,1.0,0.0,0.0
8496569ffffffff,13.0,0.0,4.0
8496a05ffffffff,3.0,0.0,0.0
8496a2dffffffff,4.0,0.0,0.0
8496a5dffffffff,31.0,0.0,0.0
8496b63ffffffff,10.0,0.0,0.0
849702bffffffff,14.0,0.0,0.0
8497035ffffffff,2.0,0.0,0.0
849703dffffffff,1.0,0.0,0.0
849719bffffffff,2.0,0.0,0.0
84971c3ffffffff,1.0,0.0,0.0
84bc097ffffffff,1.0,0.0,0.0
84bc0b5ffffffff,1.0,0.0,0.0
84bc197ffffffff,3.0,0.0,3.0
84bc19bffffffff,1.0,0.0,0.0
84bc545ffffffff,1.0,0.0,0.0
84bcc05ffffffff,4.0,0.0,0.0
84bcc07ffffffff,1.0,0.0,0.0
84bcc21ffffffff,3.0,0.0,0.0
84bcc23ffffffff,7.0,0.0,3.0
84bcc27ffffffff,4.0,0.0,0.0
84bcc29ffffffff,1.0,0.0,1.0
84bcc2bffffffff,8.0,0.0,3.0
84bcc31ffffffff,2.0,0.0,0.0
84bcc33ffffffff,2.0,0.0,0.0
84bcc35ffffffff,13.0,0.0,0.0
84bcc37ffffffff,1.0,0.0,1.0
84bcc3dffffffff,48.0,0.0,8.0
84bcc45ffffffff,1.0,0.0,0.0
84bcc47ffffffff,1.0,0.0,0.0
84bcc49ffffffff,2.0,0.0,0.0
84bcc4bffffffff,11.0,0.0,0.0
84bcc4dffffffff,6.0,0.0,0.0
84bcc51ffffffff,1.0,0.0,0.0
84bcc5bffffffff,3.0,0.0,3.0
84bcc65ffffffff,103.0,0.0,19.0
84bcc69ffffffff,17.0,0.0,2.0
84bcc6bffffffff,1.0,0.0,1.0
84bcc6dffffffff,160.0,0.0,70.0
84bcd01ffffffff,22.0,0.0,6.0
84bcd03ffffffff,3.0,0.0,0.0
84bcd07ffffffff,23.0,0.0,0.0
84bcd09ffffffff,3.0,0.0,2.0
84bcd0bffffffff,6.0,0.0,6.0
84bcd11ffffffff,2.0,0.0,0.0
84bcd13ffffffff,5.0,0.0,3.0
84bcd15ffffffff,69.0,0.0,27.0
84bcd19ffffffff,13.0,0.0,3.0
84bcd1bffffffff,1.0,0.0,0.0
84bcd1dffffffff,31.0,0.0,10.0
84bcd29ffffffff,2.0,0.0,0.0
84bcd43ffffffff,26.0,0.0,0.0
84bcd51ffffffff,4.0,0.0,0.0
84bcd53ffffffff,1.0,0.0,0.0
84bcd57ffffffff,6.0,0.0,0.0
84bcd59ffffffff,3.0,0.0,0.0
84bcd5bffffffff,3.0,0.0,0.0
84bcdc9ffffffff,36.0,0.0,6.0
84bcdcdffffffff,28.0,0.0,8.0
84bcdd1ffffffff,9.0,0.0,2.0
84bcdd9ffffffff,2.0,0.0,0.0
84bce05ffffffff,3.0,0.0,1.0
84bce09ffffffff,3.0,0.0,0.0
84bce21ffffffff,4.0,0.0,0.0
84bce27ffffffff,7.0,0.0,4.0
84bce29ffffffff,34.0,0.0,12.0
84bce2dffffffff,16.0,0.0,5.0
84bce4dffffffff,1.0,0.0,0.0
84bce51ffffffff,1.0,0.0,0.0
84bce55ffffffff,1.0,0.0,0.0
84bce61ffffffff,7.0,0.0,0.0
84bce63ffffffff,30.0,0.0,9.0
84bce65ffffffff,10.0,0.0,0.0
84bce67ffffffff,29.0,0.0,6.0
84bce6bffffffff,5.0,0.0,0.0
84bce6dffffffff,3.0,0.0,3.0
84bce85ffffffff,2.0,0.0,0.0
84bce89ffffffff,2.0,0.0,0.0
84bcf13ffffffff,2.0,0.0,0.0
84bcf17ffffffff,2.0,0.0,0.0
84bcf1bffffffff,3.0,0.0,0.0
84bcf25ffffffff,2.0,0.0,0.0
84bcf29ffffffff,6.0,0.0,0.0
84bcf33ffffffff,169.0,0.0,44.0
84bcf37ffffffff,3.0,0.0,3.0
84bcf3bffffffff,32.0,0.0,17.0
84bcf3dffffffff,5.0,0.0,0.0
84bcf51ffffffff,5.0,0.0,1.0
84bcf53ffffffff,23.0,0.0,9.0
84bcf5bffffffff,154.0,0.0,72.0
84bcf61ffffffff,3.0,0.0,3.0
84bcf63ffffffff,2.0,0.0,2.0
84bcf67ffffffff,9.0,0.0,0.0
