cell_id,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos affinis,Cymbirhynchus macrorhynchos [macrorhynchos Group]
826417fffffffff,318.0,0.0,85.0
826437fffffffff,144.0,0.0,53.0
826507fffffffff,547.0,0.0,12.0
82651ffffffffff,177.0,0.0,51.0
826527fffffffff,51.0,0.0,0.0
826587fffffffff,5.0,0.0,0.0
82658ffffffffff,6.0,0.0,2.0
826597fffffffff,1.0,0.0,0.0
8265b7fffffffff,378.0,0.0,46.0
826807fffffffff,51.0,0.0,0.0
826817fffffffff,56.0,0.0,0.0
82681ffffffffff,1399.0,0.0,140.0
82688ffffffffff,4.0,0.0,0.0
826897fffffffff,26.0,0.0,0.0
8268a7fffffffff,3.0,0.0,0.0
8268affffffffff,7.0,0.0,0.0
8268b7fffffffff,5.0,0.0,0.0
828c97fffffffff,9.0,0.0,0.0
828caffffffffff,39.0,0.0,0.0
828cd7fffffffff,1.0,0.0,0.0
