cell_id,Megarynchus pitangua,Megarynchus pitangua [mexicanus Group],Megarynchus pitangua pitangua,Megarynchus pitangua chrysogaster
834501fffffffff,5.0,0.0,0.0,0.0
834505fffffffff,1.0,0.0,0.0,0.0
83450afffffffff,2.0,0.0,0.0,0.0
834520fffffffff,11.0,0.0,0.0,0.0
834521fffffffff,1.0,0.0,0.0,0.0
834526fffffffff,4.0,1.0,0.0,0.0
834528fffffffff,2.0,0.0,0.0,0.0
83452bfffffffff,1.0,1.0,0.0,0.0
83452dfffffffff,4.0,3.0,0.0,0.0
83452efffffffff,2.0,2.0,0.0,0.0
834564fffffffff,2.0,0.0,0.0,0.0
834990fffffffff,6.0,4.0,0.0,0.0
834994fffffffff,4.0,0.0,0.0,0.0
834996fffffffff,26.0,4.0,0.0,0.0
834998fffffffff,13.0,9.0,0.0,0.0
83499cfffffffff,1.0,0.0,0.0,0.0
8349a8fffffffff,1.0,0.0,0.0,0.0
835f1cfffffffff,1.0,0.0,1.0,0.0
835f58fffffffff,5.0,0.0,5.0,0.0
835f5bfffffffff,4.0,0.0,4.0,0.0
836602fffffffff,6.0,0.0,0.0,0.0
836608fffffffff,2.0,0.0,2.0,0.0
836610fffffffff,2.0,0.0,0.0,0.0
836611fffffffff,23.0,0.0,0.0,0.0
836618fffffffff,1.0,0.0,0.0,0.0
836619fffffffff,3.0,0.0,0.0,0.0
83661cfffffffff,19.0,0.0,0.0,0.0
83661efffffffff,4.0,0.0,0.0,0.0
836621fffffffff,3.0,0.0,0.0,0.0
836641fffffffff,2.0,0.0,2.0,0.0
8366b0fffffffff,3.0,2.0,0.0,0.0
8366b4fffffffff,14.0,5.0,0.0,0.0
8366b5fffffffff,5.0,0.0,0.0,0.0
8366b6fffffffff,1.0,0.0,0.0,0.0
8366d0fffffffff,3.0,0.0,0.0,0.0
8366d3fffffffff,2.0,0.0,0.0,0.0
8366ddfffffffff,1.0,0.0,0.0,0.0
8366defffffffff,5.0,0.0,0.0,0.0
8366e6fffffffff,1.0,0.0,0.0,0.0
836741fffffffff,8.0,0.0,1.0,0.0
836751fffffffff,1.0,0.0,0.0,0.0
83675cfffffffff,4.0,0.0,0.0,0.0
83679afffffffff,15.0,6.0,0.0,0.0
83679bfffffffff,4.0,2.0,0.0,0.0
836d20fffffffff,7.0,7.0,0.0,0.0
836d21fffffffff,6.0,0.0,0.0,0.0
836d22fffffffff,4.0,4.0,0.0,0.0
836d23fffffffff,15.0,0.0,0.0,0.0
836d25fffffffff,2.0,2.0,0.0,0.0
836d29fffffffff,1.0,0.0,0.0,0.0
836d2bfffffffff,2.0,0.0,0.0,0.0
836d2efffffffff,2.0,0.0,0.0,0.0
836d30fffffffff,2.0,0.0,0.0,0.0
836d33fffffffff,4.0,0.0,0.0,0.0
836d34fffffffff,3.0,0.0,0.0,0.0
836d64fffffffff,1.0,0.0,0.0,0.0
836d68fffffffff,12.0,4.0,0.0,0.0
836d69fffffffff,36.0,26.0,0.0,0.0
836d6dfffffffff,1.0,0.0,0.0,0.0
838a25fffffffff,1.0,0.0,1.0,0.0
838a45fffffffff,1.0,0.0,0.0,0.0
838b44fffffffff,1.0,0.0,1.0,0.0
838b56fffffffff,1.0,0.0,1.0,0.0
838b61fffffffff,19.0,0.0,19.0,0.0
838b63fffffffff,2.0,0.0,2.0,0.0
838e6cfffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,1.0,0.0,0.0,0.0
838f2dfffffffff,1.0,0.0,0.0,1.0
83a806fffffffff,1.0,0.0,1.0,0.0
83a812fffffffff,2.0,0.0,2.0,0.0
83a881fffffffff,2.0,0.0,2.0,0.0
83a941fffffffff,4.0,0.0,0.0,0.0
83a944fffffffff,2.0,0.0,0.0,0.0
83a945fffffffff,2.0,0.0,0.0,0.0
83a946fffffffff,2.0,0.0,0.0,0.0
83a94dfffffffff,8.0,0.0,0.0,0.0
83a950fffffffff,2.0,0.0,0.0,0.0
83a953fffffffff,49.0,0.0,1.0,0.0
83a955fffffffff,3.0,0.0,0.0,0.0
83a961fffffffff,39.0,0.0,0.0,0.0
83a962fffffffff,3.0,0.0,3.0,0.0
83a964fffffffff,11.0,0.0,0.0,0.0
83a96cfffffffff,6.0,0.0,0.0,0.0
83a96efffffffff,3.0,0.0,0.0,0.0
83a975fffffffff,2.0,0.0,0.0,0.0
83b261fffffffff,3.0,0.0,0.0,0.0
83b2c4fffffffff,4.0,0.0,0.0,0.0
83b304fffffffff,4.0,0.0,2.0,0.0
83b343fffffffff,2.0,0.0,0.0,0.0
83b344fffffffff,3.0,0.0,0.0,0.0
83b34bfffffffff,8.0,0.0,0.0,0.0
83b35dfffffffff,2.0,0.0,0.0,0.0
83c2d9fffffffff,4.0,0.0,0.0,0.0
