cell_id,Perisoreus canadensis,Perisoreus canadensis [canadensis Group],Perisoreus canadensis capitalis/bicolor,Perisoreus canadensis obscurus/griseus
840d461ffffffff,2.0,0.0,0.0,0.0
840d463ffffffff,18.0,0.0,0.0,0.0
840d483ffffffff,19.0,0.0,0.0,0.0
840d485ffffffff,2.0,0.0,0.0,0.0
840d487ffffffff,7.0,0.0,0.0,0.0
840d48bffffffff,21.0,0.0,0.0,0.0
840d495ffffffff,3.0,0.0,0.0,0.0
840d499ffffffff,7.0,0.0,0.0,0.0
840d49bffffffff,3.0,0.0,0.0,0.0
840d49dffffffff,18.0,0.0,0.0,0.0
840d4a1ffffffff,29.0,2.0,0.0,0.0
840d4a7ffffffff,14.0,1.0,0.0,0.0
840d4a9ffffffff,11.0,0.0,0.0,0.0
840d4abffffffff,6.0,0.0,0.0,0.0
840d4c1ffffffff,13.0,0.0,0.0,0.0
840d4c3ffffffff,17.0,0.0,0.0,0.0
840d4c9ffffffff,5.0,0.0,0.0,0.0
840d4d5ffffffff,47.0,0.0,0.0,0.0
840d4d9ffffffff,2.0,0.0,0.0,0.0
840d4e7ffffffff,15.0,0.0,0.0,0.0
840d521ffffffff,6.0,2.0,0.0,0.0
840d523ffffffff,15.0,0.0,0.0,0.0
840d525ffffffff,2.0,0.0,0.0,0.0
840d527ffffffff,41.0,0.0,0.0,0.0
840d529ffffffff,23.0,1.0,0.0,0.0
840d52bffffffff,2.0,0.0,0.0,0.0
840d52dffffffff,2.0,0.0,0.0,0.0
840d533ffffffff,11.0,0.0,0.0,0.0
840d535ffffffff,9.0,1.0,0.0,0.0
840d537ffffffff,12.0,2.0,0.0,0.0
840d563ffffffff,27.0,5.0,0.0,0.0
840d569ffffffff,6.0,0.0,0.0,0.0
840d56bffffffff,2.0,0.0,0.0,0.0
840d56dffffffff,1.0,0.0,0.0,0.0
840d583ffffffff,2.0,0.0,0.0,0.0
840d585ffffffff,456.0,4.0,0.0,0.0
840d587ffffffff,6.0,1.0,0.0,0.0
840d58dffffffff,40.0,0.0,0.0,0.0
840d593ffffffff,11.0,2.0,0.0,0.0
840d595ffffffff,87.0,3.0,0.0,0.0
840d597ffffffff,2.0,0.0,0.0,0.0
840d5a5ffffffff,8.0,0.0,0.0,0.0
840d5a9ffffffff,363.0,47.0,0.0,0.0
840d5abffffffff,5.0,4.0,0.0,0.0
840d5adffffffff,11.0,0.0,0.0,0.0
840d5b9ffffffff,36.0,2.0,0.0,0.0
840d5bbffffffff,13.0,0.0,0.0,0.0
840d5c1ffffffff,2.0,0.0,0.0,0.0
840d5c7ffffffff,17.0,0.0,0.0,0.0
840d5cbffffffff,2.0,0.0,0.0,0.0
840d5e3ffffffff,33.0,6.0,0.0,0.0
840d5e5ffffffff,16.0,1.0,0.0,0.0
840d5e7ffffffff,121.0,8.0,0.0,0.0
840d5ebffffffff,11.0,0.0,0.0,0.0
840d619ffffffff,6.0,0.0,0.0,0.0
840d61bffffffff,16.0,0.0,0.0,0.0
840d6a1ffffffff,2.0,0.0,0.0,0.0
840d6a3ffffffff,4.0,0.0,0.0,0.0
840d6a9ffffffff,7.0,0.0,0.0,0.0
840d6abffffffff,2.0,0.0,0.0,0.0
840d6b9ffffffff,4.0,0.0,0.0,0.0
