cell_id,Dicaeum celebicum,Dicaeum celebicum [celebicum Group],Dicaeum celebicum kuehni
8368c2fffffffff,10.0,2.0,0.0
8368c3fffffffff,18.0,10.0,0.0
8368c8fffffffff,245.0,42.0,0.0
8368cafffffffff,33.0,6.0,0.0
8368cdfffffffff,9.0,0.0,0.0
8368cefffffffff,78.0,26.0,0.0
8368d0fffffffff,6.0,0.0,0.0
8368d1fffffffff,2.0,0.0,0.0
8368d2fffffffff,186.0,49.0,0.0
8368d3fffffffff,6.0,6.0,0.0
8368d8fffffffff,62.0,11.0,0.0
8368ddfffffffff,41.0,9.0,0.0
8373b0fffffffff,31.0,0.0,0.0
8373b6fffffffff,24.0,4.0,0.0
839500fffffffff,59.0,18.0,0.0
839505fffffffff,1.0,0.0,0.0
839509fffffffff,1.0,0.0,0.0
83950dfffffffff,5.0,1.0,0.0
839523fffffffff,1.0,0.0,0.0
83952bfffffffff,2.0,2.0,0.0
83952dfffffffff,2.0,0.0,0.0
839560fffffffff,3.0,0.0,0.0
839566fffffffff,11.0,2.0,0.0
839572fffffffff,17.0,0.0,15.0
839576fffffffff,2.0,0.0,0.0
