cell_id,Tangara gyrola,Tangara gyrola [albertinae Group],Tangara gyrola viridissima/toddi,Tangara gyrola gyrola
845f00bffffffff,15.0,0.0,0.0,0.0
845f013ffffffff,1.0,0.0,0.0,0.0
845f035ffffffff,36.0,0.0,0.0,0.0
845f03dffffffff,3.0,0.0,0.0,0.0
845f0d7ffffffff,2.0,0.0,0.0,0.0
845f0d9ffffffff,1.0,0.0,0.0,0.0
845f105ffffffff,1.0,0.0,0.0,0.0
845f117ffffffff,2.0,0.0,0.0,0.0
845f129ffffffff,2.0,0.0,0.0,0.0
845f12bffffffff,1.0,0.0,0.0,0.0
845f143ffffffff,5.0,0.0,0.0,0.0
845f1cbffffffff,2.0,0.0,0.0,0.0
845f295ffffffff,6.0,0.0,0.0,0.0
845f2b1ffffffff,32.0,0.0,0.0,0.0
845f2b3ffffffff,27.0,0.0,0.0,0.0
845f2b7ffffffff,1.0,0.0,0.0,0.0
845f2bbffffffff,123.0,0.0,0.0,0.0
845f407ffffffff,4.0,0.0,0.0,0.0
845f42bffffffff,17.0,0.0,0.0,0.0
845f483ffffffff,3.0,0.0,0.0,0.0
845f487ffffffff,47.0,0.0,0.0,0.0
845f4a7ffffffff,14.0,0.0,0.0,0.0
845f4abffffffff,44.0,0.0,0.0,0.0
845f4b9ffffffff,8.0,0.0,0.0,0.0
845f4bdffffffff,86.0,0.0,0.0,0.0
845f549ffffffff,2.0,0.0,0.0,0.0
845f581ffffffff,7.0,0.0,0.0,0.0
845f583ffffffff,1619.0,0.0,0.0,0.0
845f587ffffffff,8.0,0.0,0.0,0.0
845f595ffffffff,4.0,0.0,0.0,0.0
845f59bffffffff,1.0,0.0,1.0,0.0
845f5b9ffffffff,49.0,0.0,0.0,0.0
845f683ffffffff,2.0,0.0,0.0,0.0
845f689ffffffff,2.0,0.0,0.0,0.0
845f711ffffffff,93.0,0.0,0.0,2.0
845f713ffffffff,7.0,0.0,0.0,0.0
845f759ffffffff,9.0,0.0,0.0,0.0
845f75dffffffff,1.0,0.0,0.0,0.0
846601bffffffff,4.0,0.0,0.0,0.0
8466021ffffffff,1.0,0.0,0.0,0.0
8466027ffffffff,3.0,0.0,0.0,0.0
8466081ffffffff,8.0,0.0,0.0,0.0
8466085ffffffff,25.0,0.0,0.0,0.0
8466087ffffffff,4.0,0.0,0.0,0.0
8466089ffffffff,411.0,8.0,0.0,0.0
846608dffffffff,1470.0,26.0,0.0,0.0
8466091ffffffff,3.0,0.0,0.0,0.0
8466097ffffffff,11.0,0.0,0.0,0.0
8466099ffffffff,26.0,0.0,0.0,0.0
84660a3ffffffff,9.0,0.0,0.0,0.0
84660a7ffffffff,30.0,0.0,0.0,0.0
84660b3ffffffff,24.0,0.0,0.0,0.0
84660b5ffffffff,1.0,0.0,0.0,0.0
84660bbffffffff,18.0,0.0,0.0,0.0
84660bdffffffff,3.0,0.0,0.0,0.0
84660c1ffffffff,33.0,0.0,0.0,0.0
84660c3ffffffff,1.0,0.0,0.0,0.0
84660c7ffffffff,78.0,6.0,0.0,0.0
84660c9ffffffff,7.0,0.0,0.0,0.0
84660cbffffffff,131.0,0.0,0.0,0.0
84660d3ffffffff,6.0,0.0,0.0,0.0
84660d9ffffffff,8.0,0.0,0.0,0.0
84660ddffffffff,28.0,0.0,0.0,0.0
8466105ffffffff,1.0,0.0,0.0,0.0
8466107ffffffff,8.0,1.0,0.0,0.0
8466113ffffffff,31.0,0.0,0.0,0.0
8466129ffffffff,61.0,0.0,0.0,0.0
8466131ffffffff,46.0,6.0,0.0,0.0
8466135ffffffff,15.0,4.0,0.0,0.0
8466139ffffffff,118.0,6.0,0.0,0.0
846613bffffffff,3.0,0.0,0.0,0.0
8466163ffffffff,9.0,0.0,0.0,0.0
8466165ffffffff,144.0,16.0,0.0,0.0
8466167ffffffff,8.0,0.0,0.0,0.0
8466181ffffffff,10.0,0.0,0.0,0.0
8466183ffffffff,452.0,13.0,0.0,0.0
8466185ffffffff,3.0,0.0,0.0,0.0
8466187ffffffff,11.0,0.0,0.0,0.0
8466189ffffffff,37.0,0.0,0.0,0.0
846618bffffffff,17.0,0.0,0.0,0.0
846618dffffffff,2.0,0.0,0.0,0.0
8466191ffffffff,308.0,5.0,0.0,0.0
8466193ffffffff,794.0,23.0,0.0,0.0
8466195ffffffff,184.0,1.0,0.0,0.0
8466197ffffffff,207.0,0.0,0.0,0.0
8466199ffffffff,195.0,3.0,0.0,0.0
846619bffffffff,129.0,11.0,0.0,0.0
846619dffffffff,209.0,0.0,0.0,0.0
84661a5ffffffff,6.0,0.0,0.0,0.0
84661b1ffffffff,719.0,92.0,0.0,0.0
84661b3ffffffff,691.0,18.0,0.0,0.0
84661b7ffffffff,2.0,0.0,0.0,0.0
84661b9ffffffff,1329.0,23.0,0.0,0.0
84661bbffffffff,1204.0,45.0,0.0,0.0
84661bdffffffff,27.0,0.0,0.0,0.0
