cell_id,Junco phaeonotus,Junco phaeonotus phaeonotus/palliatus,Junco phaeonotus fulvescens,Junco phaeonotus alticola
8448109ffffffff,3.0,0.0,0.0,0.0
844811bffffffff,2.0,0.0,0.0,0.0
8448141ffffffff,43.0,0.0,0.0,0.0
8448143ffffffff,63.0,0.0,0.0,0.0
8448147ffffffff,28.0,0.0,0.0,0.0
844814bffffffff,137.0,0.0,0.0,0.0
844815dffffffff,2.0,0.0,0.0,0.0
8448189ffffffff,2.0,0.0,0.0,0.0
844818bffffffff,3.0,0.0,0.0,0.0
8448191ffffffff,7.0,1.0,0.0,0.0
8448193ffffffff,28.0,9.0,0.0,0.0
8448195ffffffff,8.0,0.0,0.0,0.0
8448197ffffffff,9.0,0.0,0.0,0.0
8448199ffffffff,4.0,2.0,0.0,0.0
844819dffffffff,89.0,18.0,0.0,0.0
84481b7ffffffff,3.0,0.0,0.0,0.0
84481c1ffffffff,8.0,0.0,0.0,0.0
84481c5ffffffff,1.0,0.0,0.0,0.0
84481d7ffffffff,20.0,2.0,0.0,0.0
8448321ffffffff,5.0,0.0,0.0,0.0
8448325ffffffff,18.0,0.0,0.0,0.0
8448331ffffffff,2.0,0.0,0.0,0.0
8448337ffffffff,783.0,94.0,0.0,0.0
8448361ffffffff,5.0,0.0,0.0,0.0
8448365ffffffff,3.0,0.0,0.0,0.0
844836dffffffff,99.0,38.0,0.0,0.0
8448a05ffffffff,50.0,0.0,0.0,0.0
8448a21ffffffff,15.0,0.0,0.0,0.0
8448a29ffffffff,345.0,0.0,0.0,0.0
8448a2bffffffff,127.0,0.0,0.0,0.0
8448a2dffffffff,3.0,0.0,0.0,0.0
8448a65ffffffff,8.0,0.0,0.0,0.0
8448a67ffffffff,100.0,0.0,0.0,0.0
8448a6dffffffff,19.0,0.0,0.0,0.0
8448c0bffffffff,2.0,0.0,0.0,0.0
8448c59ffffffff,9120.0,0.0,0.0,0.0
8448c5bffffffff,2581.0,0.0,0.0,0.0
8448e01ffffffff,9.0,0.0,0.0,0.0
8448e07ffffffff,10.0,0.0,0.0,0.0
8448e15ffffffff,2.0,0.0,0.0,0.0
8448e29ffffffff,2.0,0.0,0.0,0.0
8448e2bffffffff,7.0,0.0,0.0,0.0
8448e45ffffffff,1.0,0.0,0.0,0.0
8448e4dffffffff,134.0,0.0,0.0,0.0
8448e61ffffffff,42.0,7.0,0.0,0.0
8448e63ffffffff,136.0,6.0,0.0,0.0
8448e67ffffffff,22.0,4.0,0.0,0.0
8448e69ffffffff,7.0,0.0,0.0,0.0
8448e6bffffffff,6.0,0.0,0.0,0.0
8448e85ffffffff,14012.0,0.0,0.0,0.0
8448e8dffffffff,7897.0,0.0,0.0,0.0
8448ea1ffffffff,404.0,125.0,0.0,0.0
8448ea9ffffffff,8.0,0.0,0.0,0.0
8448eabffffffff,2.0,0.0,0.0,0.0
8448eadffffffff,274.0,67.0,0.0,0.0
8448eb3ffffffff,3.0,0.0,0.0,0.0
8448eb5ffffffff,452.0,0.0,0.0,0.0
8448eb7ffffffff,5.0,0.0,0.0,0.0
8448ee1ffffffff,73.0,0.0,0.0,0.0
8448ee3ffffffff,2.0,0.0,0.0,0.0
8448ee7ffffffff,5.0,0.0,0.0,0.0
8448ee9ffffffff,5198.0,0.0,0.0,0.0
8448eebffffffff,356.0,0.0,0.0,0.0
8448eedffffffff,4.0,0.0,0.0,0.0
8448f6dffffffff,2.0,0.0,0.0,0.0
8449801ffffffff,149.0,80.0,0.0,0.0
8449805ffffffff,12.0,0.0,0.0,0.0
8449807ffffffff,8.0,0.0,0.0,0.0
8449809ffffffff,73.0,13.0,0.0,0.0
844980dffffffff,2.0,0.0,0.0,0.0
8449823ffffffff,2.0,0.0,0.0,0.0
8449825ffffffff,4.0,0.0,0.0,0.0
8449827ffffffff,13.0,0.0,0.0,0.0
8449829ffffffff,43.0,0.0,0.0,0.0
844982bffffffff,69.0,0.0,0.0,0.0
844982dffffffff,41.0,0.0,0.0,0.0
8449831ffffffff,3.0,0.0,0.0,0.0
8449833ffffffff,20.0,2.0,0.0,0.0
8449835ffffffff,32.0,0.0,0.0,0.0
8449837ffffffff,3.0,0.0,0.0,0.0
844983bffffffff,47.0,2.0,0.0,0.0
8449853ffffffff,6.0,0.0,0.0,0.0
8449855ffffffff,61.0,0.0,0.0,0.0
8449857ffffffff,9.0,0.0,0.0,0.0
8449861ffffffff,367.0,48.0,0.0,0.0
8449863ffffffff,256.0,23.0,0.0,0.0
8449865ffffffff,526.0,29.0,0.0,0.0
8449867ffffffff,34.0,9.0,0.0,0.0
8449869ffffffff,2.0,2.0,0.0,0.0
8449881ffffffff,28.0,0.0,0.0,0.0
8449885ffffffff,3.0,0.0,0.0,0.0
844988dffffffff,110.0,0.0,0.0,0.0
8449893ffffffff,28.0,0.0,0.0,0.0
84498c7ffffffff,25.0,0.0,0.0,0.0
84498dbffffffff,6.0,0.0,0.0,0.0
84498edffffffff,4.0,0.0,0.0,0.0
8449909ffffffff,12.0,0.0,0.0,0.0
844990bffffffff,64.0,0.0,0.0,0.0
844990dffffffff,86.0,31.0,0.0,0.0
8449911ffffffff,12.0,0.0,0.0,0.0
8449919ffffffff,56.0,1.0,0.0,0.0
844991bffffffff,2.0,0.0,0.0,0.0
844991dffffffff,26.0,5.0,0.0,0.0
8449941ffffffff,3.0,0.0,0.0,0.0
8449943ffffffff,35.0,2.0,0.0,0.0
8449945ffffffff,51.0,0.0,0.0,0.0
8449947ffffffff,7.0,0.0,0.0,0.0
844994bffffffff,5.0,0.0,0.0,0.0
8449951ffffffff,55.0,6.0,0.0,0.0
8449953ffffffff,7.0,0.0,0.0,0.0
8449955ffffffff,5.0,0.0,0.0,0.0
8449957ffffffff,39.0,0.0,0.0,0.0
8449959ffffffff,2788.0,477.0,0.0,0.0
844995bffffffff,230.0,47.0,0.0,0.0
844995dffffffff,261.0,39.0,0.0,0.0
8449963ffffffff,709.0,140.0,0.0,0.0
8449967ffffffff,2.0,0.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0,0.0
844996bffffffff,218.0,73.0,0.0,0.0
8449993ffffffff,2.0,0.0,0.0,0.0
84499b3ffffffff,2.0,0.0,0.0,0.0
84499bbffffffff,22.0,0.0,0.0,0.0
84499c1ffffffff,8.0,0.0,0.0,0.0
84499c5ffffffff,33.0,5.0,0.0,0.0
84499c9ffffffff,42.0,0.0,0.0,0.0
84499cbffffffff,3.0,0.0,0.0,0.0
84499cdffffffff,34.0,0.0,0.0,0.0
84499d1ffffffff,48.0,2.0,0.0,0.0
84499dbffffffff,7.0,0.0,0.0,0.0
84499ddffffffff,6.0,0.0,0.0,0.0
8449a81ffffffff,3.0,1.0,0.0,0.0
8449a83ffffffff,7.0,0.0,0.0,0.0
8449a85ffffffff,204.0,45.0,0.0,0.0
8449a87ffffffff,2.0,0.0,0.0,0.0
8449a93ffffffff,2.0,0.0,0.0,0.0
8449a97ffffffff,6.0,4.0,0.0,0.0
8449aa1ffffffff,35.0,0.0,0.0,0.0
8449aabffffffff,9.0,0.0,0.0,0.0
8449abbffffffff,2.0,2.0,0.0,0.0
8449b0bffffffff,2.0,0.0,0.0,0.0
8449b19ffffffff,67.0,0.0,0.0,0.0
8449b1dffffffff,34.0,0.0,0.0,0.0
8449b29ffffffff,3.0,0.0,0.0,0.0
8449b2dffffffff,54.0,4.0,0.0,0.0
8449b33ffffffff,195.0,0.0,0.0,0.0
8449b37ffffffff,7.0,0.0,0.0,0.0
8449b63ffffffff,1.0,0.0,0.0,0.0
8449b67ffffffff,5.0,0.0,0.0,0.0
846d05bffffffff,2.0,0.0,0.0,0.0
846d217ffffffff,3.0,0.0,2.0,0.0
846d23bffffffff,430.0,0.0,209.0,0.0
846d281ffffffff,26.0,0.0,0.0,23.0
846d283ffffffff,499.0,0.0,0.0,294.0
846d285ffffffff,7.0,0.0,0.0,4.0
846d287ffffffff,75.0,0.0,0.0,29.0
846d28dffffffff,813.0,0.0,0.0,556.0
846d295ffffffff,26.0,0.0,0.0,11.0
846d2a9ffffffff,120.0,0.0,0.0,77.0
846d2abffffffff,67.0,0.0,0.0,24.0
846d2b9ffffffff,15.0,0.0,0.0,5.0
846d2c7ffffffff,8.0,0.0,0.0,0.0
846d2e3ffffffff,35.0,0.0,0.0,0.0
846d2e7ffffffff,1.0,0.0,0.0,1.0
846d2ebffffffff,3.0,0.0,0.0,0.0
846d305ffffffff,261.0,56.0,0.0,0.0
846d307ffffffff,29.0,0.0,0.0,0.0
846d321ffffffff,3.0,0.0,0.0,0.0
846d325ffffffff,25.0,18.0,0.0,0.0
846d32bffffffff,1456.0,397.0,0.0,0.0
846d32dffffffff,1.0,0.0,0.0,0.0
846d335ffffffff,471.0,161.0,0.0,0.0
846d337ffffffff,159.0,60.0,0.0,0.0
846d361ffffffff,4.0,0.0,0.0,0.0
846d363ffffffff,1.0,0.0,0.0,0.0
846d36dffffffff,78.0,4.0,0.0,0.0
