cell_id,Atlapetes latinuchus,Atlapetes latinuchus nigrifrons,Atlapetes latinuchus [latinuchus Group]
846601bffffffff,4.0,0.0,1.0
8466083ffffffff,2.0,0.0,0.0
8466087ffffffff,1.0,0.0,0.0
846608dffffffff,15.0,0.0,0.0
846609dffffffff,4.0,0.0,0.0
84660a3ffffffff,4.0,0.0,0.0
84660b1ffffffff,4.0,0.0,0.0
84660b5ffffffff,8.0,0.0,0.0
84660b7ffffffff,2.0,0.0,0.0
84660b9ffffffff,30.0,0.0,0.0
84660bbffffffff,2.0,0.0,0.0
84660bdffffffff,145.0,0.0,0.0
84660c3ffffffff,8.0,0.0,0.0
8466181ffffffff,1.0,0.0,0.0
8466183ffffffff,102.0,0.0,0.0
8466189ffffffff,8.0,0.0,0.0
846618bffffffff,375.0,0.0,0.0
8466191ffffffff,25.0,0.0,0.0
8466195ffffffff,11.0,0.0,0.0
8466197ffffffff,2.0,0.0,0.0
846619dffffffff,332.0,0.0,0.0
84661b1ffffffff,5.0,0.0,0.0
84661b9ffffffff,5.0,0.0,0.0
84661bbffffffff,19.0,0.0,0.0
84661d1ffffffff,2.0,0.0,0.0
84661d5ffffffff,170.0,0.0,0.0
8466211ffffffff,15.0,5.0,0.0
8466213ffffffff,1.0,0.0,0.0
8466217ffffffff,1245.0,670.0,0.0
84662e1ffffffff,2.0,0.0,0.0
84662e9ffffffff,6.0,0.0,0.0
84662edffffffff,4.0,1.0,0.0
8466c21ffffffff,29.0,0.0,0.0
8466c25ffffffff,34.0,0.0,2.0
8466c2dffffffff,59.0,0.0,4.0
8466c61ffffffff,30.0,0.0,0.0
8466c65ffffffff,17.0,0.0,0.0
8466c67ffffffff,41.0,0.0,0.0
8466c69ffffffff,206.0,0.0,0.0
8466c6bffffffff,3.0,0.0,0.0
8466c6dffffffff,346.0,0.0,1.0
8466d03ffffffff,1.0,0.0,0.0
8466d0bffffffff,6.0,0.0,0.0
8466d11ffffffff,11.0,0.0,0.0
8466d15ffffffff,35.0,0.0,0.0
8466d19ffffffff,43.0,0.0,0.0
8466d1dffffffff,28.0,0.0,0.0
8466d31ffffffff,2339.0,0.0,298.0
8466d33ffffffff,1116.0,0.0,116.0
8466d35ffffffff,13.0,0.0,0.0
8466d37ffffffff,64.0,0.0,3.0
8466d39ffffffff,51.0,0.0,0.0
8466d3bffffffff,75.0,0.0,0.0
8466d53ffffffff,174.0,0.0,0.0
8466d57ffffffff,8.0,0.0,0.0
8466d59ffffffff,10.0,0.0,0.0
8466d5bffffffff,16.0,0.0,0.0
8466da5ffffffff,2.0,0.0,0.0
8466da7ffffffff,1.0,0.0,0.0
8466de5ffffffff,127.0,0.0,18.0
8466dedffffffff,68.0,0.0,9.0
8466e09ffffffff,41.0,0.0,2.0
8466e0bffffffff,2.0,0.0,2.0
8466e0dffffffff,4.0,0.0,0.0
8466e2dffffffff,6.0,0.0,0.0
8466e43ffffffff,12.0,0.0,0.0
8466e47ffffffff,22.0,0.0,0.0
8466e49ffffffff,34.0,0.0,0.0
8466e55ffffffff,6.0,0.0,0.0
8466e61ffffffff,7.0,0.0,0.0
8466e65ffffffff,27.0,0.0,1.0
8466e67ffffffff,61.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0
8466e6dffffffff,31.0,0.0,0.0
8466f0bffffffff,2.0,0.0,0.0
8466f13ffffffff,1.0,0.0,0.0
8466f15ffffffff,4.0,0.0,0.0
8466f17ffffffff,23.0,0.0,0.0
8466f19ffffffff,221.0,0.0,0.0
8466f1dffffffff,243.0,0.0,1.0
8466f33ffffffff,3.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f3bffffffff,12.0,0.0,0.0
8466f53ffffffff,73.0,0.0,0.0
8466f57ffffffff,2.0,0.0,0.0
8466f59ffffffff,2.0,0.0,0.0
8466f5bffffffff,66.0,0.0,0.0
8466f5dffffffff,3.0,0.0,0.0
848f0d1ffffffff,1.0,0.0,0.0
848f0d3ffffffff,8.0,0.0,0.0
848f0d9ffffffff,3.0,0.0,0.0
848f0dbffffffff,31.0,0.0,0.0
848f291ffffffff,22.0,0.0,0.0
848f293ffffffff,3.0,0.0,0.0
848f297ffffffff,48.0,0.0,0.0
848f2bbffffffff,21.0,0.0,0.0
848f2d3ffffffff,9.0,0.0,0.0
848f2d5ffffffff,3.0,0.0,0.0
848f2d7ffffffff,2.0,0.0,0.0
848f2d9ffffffff,29.0,0.0,4.0
848f2ddffffffff,7.0,0.0,0.0
848f425ffffffff,22.0,0.0,0.0
848f42dffffffff,51.0,0.0,8.0
848f461ffffffff,2.0,0.0,0.0
848f465ffffffff,24.0,0.0,0.0
848f467ffffffff,10.0,0.0,0.0
848f4a5ffffffff,9.0,0.0,0.0
848f505ffffffff,3.0,0.0,0.0
848f509ffffffff,41.0,0.0,0.0
848f50bffffffff,5.0,0.0,0.0
848f513ffffffff,6.0,0.0,0.0
848f515ffffffff,12.0,0.0,0.0
848f519ffffffff,207.0,0.0,0.0
848f51bffffffff,13.0,0.0,0.0
848f51dffffffff,46.0,0.0,0.0
848f541ffffffff,16.0,0.0,0.0
848f545ffffffff,5.0,0.0,0.0
848f547ffffffff,9.0,0.0,0.0
848f549ffffffff,19.0,0.0,0.0
848f54bffffffff,25.0,0.0,0.0
848f54dffffffff,103.0,0.0,0.0
848f551ffffffff,4.0,0.0,0.0
848f553ffffffff,341.0,0.0,22.0
848f555ffffffff,5.0,0.0,0.0
848f557ffffffff,2.0,0.0,0.0
848f559ffffffff,409.0,0.0,57.0
848f55bffffffff,106.0,0.0,11.0
848f55dffffffff,14.0,0.0,0.0
848f589ffffffff,7.0,0.0,0.0
848f591ffffffff,1.0,0.0,0.0
848f5c1ffffffff,5.0,0.0,0.0
848f5cdffffffff,30.0,0.0,0.0
848f5d5ffffffff,4.0,0.0,0.0
848f5d7ffffffff,2.0,0.0,0.0
848f5ddffffffff,8.0,0.0,0.0
848f721ffffffff,835.0,0.0,115.0
848f725ffffffff,16.0,0.0,7.0
848f727ffffffff,21.0,0.0,3.0
848f729ffffffff,30.0,0.0,2.0
848f72dffffffff,100.0,0.0,9.0
848f733ffffffff,570.0,0.0,50.0
848f737ffffffff,2.0,0.0,0.0
848f745ffffffff,28.0,0.0,0.0
848f761ffffffff,27.0,0.0,7.0
848f765ffffffff,52.0,0.0,0.0
848f767ffffffff,229.0,0.0,36.0
848f769ffffffff,94.0,0.0,0.0
848f76bffffffff,22.0,0.0,0.0
848f76dffffffff,282.0,0.0,17.0
