cell_id,Puffinus bailloni,Puffinus bailloni bailloni,Puffinus bailloni [dichrous Group]
83615cfffffffff,1.0,0.0,1.0
83616cfffffffff,2.0,0.0,0.0
83616efffffffff,1.0,0.0,0.0
83731bfffffffff,27.0,0.0,1.0
837731fffffffff,5.0,0.0,0.0
837772fffffffff,2.0,0.0,0.0
837899fffffffff,1.0,0.0,1.0
837b32fffffffff,1.0,0.0,0.0
837b36fffffffff,1.0,0.0,0.0
83844efffffffff,1.0,0.0,0.0
838451fffffffff,1.0,0.0,0.0
83845afffffffff,1.0,0.0,0.0
83845efffffffff,2.0,0.0,0.0
83846dfffffffff,1.0,0.0,0.0
8385a0fffffffff,17.0,0.0,0.0
8385a1fffffffff,1.0,0.0,0.0
8385a2fffffffff,24.0,0.0,0.0
8385a3fffffffff,3.0,0.0,0.0
8385b0fffffffff,3.0,0.0,0.0
8385b2fffffffff,1.0,0.0,0.0
8388c8fffffffff,4.0,0.0,2.0
838904fffffffff,1.0,0.0,0.0
838922fffffffff,5.0,0.0,0.0
838930fffffffff,12.0,0.0,0.0
838931fffffffff,4.0,0.0,0.0
838932fffffffff,4.0,0.0,0.0
838934fffffffff,20.0,0.0,0.0
838935fffffffff,6.0,0.0,0.0
8389acfffffffff,1.0,0.0,0.0
839b0afffffffff,3.0,0.0,0.0
839b41fffffffff,2.0,0.0,0.0
839b43fffffffff,1.0,0.0,0.0
839b50fffffffff,1.0,0.0,0.0
839b63fffffffff,1.0,0.0,0.0
839b73fffffffff,2.0,0.0,0.0
839e05fffffffff,2.0,0.0,0.0
839e22fffffffff,1.0,0.0,1.0
839e24fffffffff,10.0,0.0,0.0
839e25fffffffff,1.0,0.0,0.0
839f12fffffffff,1.0,0.0,0.0
83a025fffffffff,1.0,0.0,0.0
83a049fffffffff,5.0,0.0,0.0
83a04dfffffffff,2.0,0.0,0.0
83a069fffffffff,2.0,0.0,0.0
83a06dfffffffff,1.0,0.0,0.0
83a0cafffffffff,1.0,0.0,0.0
83a0d9fffffffff,2.0,0.0,0.0
83a0dcfffffffff,2.0,0.0,0.0
83a0edfffffffff,1.0,0.0,0.0
83a118fffffffff,1.0,0.0,0.0
83a242fffffffff,1.0,0.0,0.0
83a250fffffffff,18.0,3.0,0.0
83a254fffffffff,5.0,2.0,0.0
83a255fffffffff,2.0,0.0,0.0
83b49afffffffff,1.0,0.0,0.0
