cell_id,Harpactes oreskios,Harpactes oreskios [dulitensis Group],Harpactes oreskios oreskios
8440619ffffffff,9.0,0.0,0.0
844061bffffffff,1.0,0.0,0.0
8440653ffffffff,5.0,0.0,0.0
84416a3ffffffff,1.0,0.0,0.0
84416bdffffffff,2.0,0.0,0.0
84416e1ffffffff,1.0,0.0,0.0
846414dffffffff,4.0,0.0,0.0
8464161ffffffff,10.0,0.0,0.0
8464165ffffffff,4.0,0.0,0.0
8464169ffffffff,1.0,0.0,0.0
846416dffffffff,844.0,169.0,0.0
846426dffffffff,1.0,0.0,0.0
8464319ffffffff,11.0,0.0,0.0
8464323ffffffff,7.0,7.0,0.0
8464331ffffffff,1.0,0.0,0.0
846433dffffffff,8.0,2.0,0.0
8464343ffffffff,68.0,22.0,0.0
846434bffffffff,5.0,0.0,0.0
8464357ffffffff,9.0,3.0,0.0
8464359ffffffff,27.0,7.0,0.0
846435bffffffff,2.0,2.0,0.0
846480dffffffff,8.0,0.0,0.0
8464825ffffffff,21.0,5.0,0.0
8464827ffffffff,7.0,1.0,0.0
8464829ffffffff,3.0,2.0,0.0
846482bffffffff,13.0,2.0,0.0
846482dffffffff,14.0,5.0,0.0
8464835ffffffff,7.0,0.0,0.0
8464839ffffffff,6.0,0.0,0.0
8464911ffffffff,4.0,2.0,0.0
8464959ffffffff,3.0,0.0,0.0
846495dffffffff,6.0,0.0,0.0
84649c9ffffffff,1.0,0.0,0.0
84649cdffffffff,2.0,2.0,0.0
8464a03ffffffff,4.0,0.0,0.0
8464a11ffffffff,5.0,3.0,0.0
8464a15ffffffff,11.0,0.0,0.0
8464a1bffffffff,2.0,0.0,0.0
8464a1dffffffff,4.0,0.0,0.0
8464a35ffffffff,20.0,2.0,0.0
8464a39ffffffff,5.0,0.0,0.0
8464a3dffffffff,12.0,0.0,0.0
8464b03ffffffff,2.0,0.0,0.0
8464b29ffffffff,11.0,0.0,0.0
8464b43ffffffff,2.0,0.0,0.0
8464b55ffffffff,16.0,2.0,0.0
8464b5dffffffff,24.0,7.0,0.0
846500bffffffff,60.0,0.0,0.0
8465033ffffffff,9.0,0.0,0.0
8465037ffffffff,2.0,0.0,0.0
8465055ffffffff,72.0,0.0,0.0
846505dffffffff,7.0,0.0,0.0
8465063ffffffff,1.0,0.0,0.0
846511bffffffff,1.0,0.0,0.0
8465183ffffffff,20.0,2.0,0.0
8465189ffffffff,23.0,1.0,0.0
846518bffffffff,3.0,0.0,0.0
8465191ffffffff,1.0,0.0,0.0
84651b3ffffffff,5.0,2.0,0.0
84651c1ffffffff,12.0,8.0,0.0
84651c9ffffffff,25.0,3.0,0.0
84651cbffffffff,3.0,0.0,0.0
84651cdffffffff,59.0,22.0,0.0
84652d9ffffffff,2.0,0.0,0.0
8465545ffffffff,2.0,0.0,0.0
846556bffffffff,2.0,0.0,0.0
8465801ffffffff,4.0,0.0,0.0
8465803ffffffff,25.0,0.0,0.0
8465811ffffffff,1.0,0.0,0.0
8465815ffffffff,2.0,0.0,0.0
8465817ffffffff,3.0,0.0,0.0
8465819ffffffff,2.0,0.0,0.0
8465851ffffffff,10.0,0.0,0.0
8465859ffffffff,2.0,0.0,0.0
8465867ffffffff,1.0,0.0,0.0
8465897ffffffff,4.0,0.0,0.0
846589bffffffff,5.0,0.0,0.0
84658a3ffffffff,5.0,0.0,0.0
