cell_id,Spatula cyanoptera,Spatula cyanoptera septentrionalium,Spatula cyanoptera [orinoma Group],Spatula cyanoptera cyanoptera
820c57fffffffff,1.0,0.0,0.0,0.0
820c5ffffffffff,2.0,0.0,0.0,0.0
820c77fffffffff,4.0,0.0,0.0,0.0
821257fffffffff,1.0,0.0,0.0,0.0
82125ffffffffff,19.0,0.0,0.0,0.0
821277fffffffff,6.0,0.0,0.0,0.0
821287fffffffff,8.0,0.0,0.0,0.0
8212b7fffffffff,2.0,0.0,0.0,0.0
8212c7fffffffff,7.0,0.0,0.0,0.0
8212cffffffffff,54.0,0.0,0.0,0.0
8212d7fffffffff,11.0,0.0,0.0,0.0
8212dffffffffff,28.0,0.0,0.0,0.0
8212e7fffffffff,5.0,0.0,0.0,0.0
8212effffffffff,16.0,0.0,0.0,0.0
821387fffffffff,37.0,0.0,0.0,0.0
82138ffffffffff,1.0,0.0,0.0,0.0
82139ffffffffff,3.0,0.0,0.0,0.0
821947fffffffff,1.0,0.0,0.0,0.0
82194ffffffffff,2.0,0.0,0.0,0.0
821faffffffffff,2.0,0.0,0.0,0.0
822607fffffffff,18.0,0.0,0.0,0.0
82260ffffffffff,67.0,0.0,0.0,0.0
822617fffffffff,5.0,0.0,0.0,0.0
82261ffffffffff,14.0,0.0,0.0,0.0
822627fffffffff,40.0,0.0,0.0,0.0
82262ffffffffff,13.0,0.0,0.0,0.0
822637fffffffff,51.0,0.0,0.0,0.0
822647fffffffff,25.0,0.0,0.0,0.0
82264ffffffffff,63.0,0.0,0.0,0.0
822657fffffffff,201.0,0.0,0.0,0.0
82265ffffffffff,27.0,0.0,0.0,0.0
822667fffffffff,59.0,0.0,0.0,0.0
82266ffffffffff,25.0,0.0,0.0,0.0
822677fffffffff,11.0,0.0,0.0,0.0
822687fffffffff,205.0,0.0,0.0,0.0
82268ffffffffff,352.0,0.0,0.0,0.0
822697fffffffff,482.0,0.0,0.0,0.0
82269ffffffffff,295.0,0.0,0.0,0.0
8226a7fffffffff,2.0,0.0,0.0,0.0
8226affffffffff,151.0,0.0,0.0,0.0
8226b7fffffffff,13.0,0.0,0.0,0.0
8226c7fffffffff,6.0,0.0,0.0,0.0
8226cffffffffff,153.0,0.0,0.0,0.0
8226d7fffffffff,26.0,0.0,0.0,0.0
8226dffffffffff,50.0,0.0,0.0,0.0
8226e7fffffffff,138.0,0.0,0.0,0.0
8226effffffffff,18.0,0.0,0.0,0.0
8226f7fffffffff,112.0,0.0,0.0,0.0
822707fffffffff,18.0,0.0,0.0,0.0
82270ffffffffff,5.0,0.0,0.0,0.0
822717fffffffff,9.0,0.0,0.0,0.0
82271ffffffffff,8.0,0.0,0.0,0.0
822747fffffffff,3.0,0.0,0.0,0.0
82274ffffffffff,114.0,0.0,0.0,0.0
822757fffffffff,11.0,0.0,0.0,0.0
82275ffffffffff,141.0,0.0,0.0,0.0
82276ffffffffff,9.0,0.0,0.0,0.0
822787fffffffff,10.0,0.0,0.0,0.0
82278ffffffffff,17.0,0.0,0.0,0.0
822797fffffffff,30.0,0.0,0.0,0.0
82279ffffffffff,5.0,0.0,0.0,0.0
8227a7fffffffff,12.0,0.0,0.0,0.0
8227affffffffff,21.0,0.0,0.0,0.0
8227b7fffffffff,34.0,0.0,0.0,0.0
822807fffffffff,29.0,0.0,0.0,0.0
822817fffffffff,97.0,0.0,0.0,0.0
82281ffffffffff,160.0,0.0,0.0,0.0
822837fffffffff,865.0,0.0,0.0,0.0
822887fffffffff,43.0,0.0,0.0,0.0
82288ffffffffff,49.0,0.0,0.0,0.0
822897fffffffff,55.0,0.0,0.0,0.0
82289ffffffffff,15.0,0.0,0.0,0.0
8228a7fffffffff,2.0,0.0,0.0,0.0
8228affffffffff,38.0,0.0,0.0,0.0
8228b7fffffffff,56.0,0.0,0.0,0.0
8228c7fffffffff,8.0,0.0,0.0,0.0
8228d7fffffffff,186.0,0.0,0.0,0.0
8228dffffffffff,30.0,0.0,0.0,0.0
8228f7fffffffff,146.0,0.0,0.0,0.0
822917fffffffff,23.0,0.0,0.0,0.0
82291ffffffffff,1.0,0.0,0.0,0.0
822987fffffffff,56.0,0.0,0.0,0.0
82298ffffffffff,84.0,0.0,0.0,0.0
822997fffffffff,54.0,0.0,0.0,0.0
82299ffffffffff,12.0,0.0,0.0,0.0
8229a7fffffffff,395.0,0.0,0.0,0.0
8229affffffffff,111.0,0.0,0.0,0.0
8229b7fffffffff,132.0,0.0,0.0,0.0
822a17fffffffff,6.0,0.0,0.0,0.0
822a87fffffffff,4.0,0.0,0.0,0.0
822a97fffffffff,100.0,0.0,0.0,0.0
822a9ffffffffff,5.0,0.0,0.0,0.0
822aa7fffffffff,85.0,0.0,0.0,0.0
