cell_id,Anthus bogotensis,Anthus bogotensis meridae,Anthus bogotensis [bogotensis Group]
83660bfffffffff,3.0,0.0,0.0
8366d1fffffffff,4.0,0.0,0.0
8366e0fffffffff,7.0,0.0,0.0
8366e5fffffffff,6.0,0.0,0.0
838b29fffffffff,1.0,0.0,0.0
838b61fffffffff,5.0,0.0,5.0
838b6cfffffffff,2.0,0.0,2.0
838f54fffffffff,3.0,0.0,0.0
838f72fffffffff,3.0,0.0,0.0
838f76fffffffff,1.0,0.0,0.0
83b342fffffffff,5.0,0.0,0.0
83b351fffffffff,4.0,0.0,0.0
83b35afffffffff,33.0,0.0,0.0
83b35efffffffff,4.0,0.0,0.0
83b373fffffffff,2.0,0.0,0.0
