cell_id,Rhipidura albiscapa,Rhipidura albiscapa [pelzelni Group],Rhipidura albiscapa keasti,Rhipidura albiscapa alisteri,Rhipidura albiscapa albiscapa,Rhipidura albiscapa preissi,Rhipidura albiscapa albicauda
839451fffffffff,9.0,0.0,0.0,2.0,0.0,0.0,0.0
839480fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,4.0
83948dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8394f2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,2.0
8394f6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
839c01fffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
839c05fffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
839c0efffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
839c19fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
839c23fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
839c41fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
839c74fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
839c75fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
839d0bfffffffff,6.0,0.0,0.0,6.0,0.0,0.0,0.0
839d0cfffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
839d24fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
839e11fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
839e26fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
839ed5fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83a726fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83be08fffffffff,15.0,0.0,0.0,2.0,0.0,0.0,0.0
83be09fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83be0cfffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
83be0efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83be1afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83be40fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83be45fffffffff,3.0,0.0,0.0,0.0,2.0,0.0,0.0
83be46fffffffff,3.0,0.0,0.0,3.0,0.0,0.0,0.0
83be51fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83be53fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83be60fffffffff,8.0,0.0,0.0,0.0,6.0,0.0,0.0
83be61fffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
83be62fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
83be63fffffffff,73.0,0.0,0.0,0.0,28.0,0.0,0.0
83be66fffffffff,3.0,0.0,0.0,0.0,2.0,0.0,0.0
83be68fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83be6efffffffff,6.0,0.0,0.0,0.0,6.0,0.0,0.0
83be71fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
83be72fffffffff,436.0,0.0,0.0,0.0,2.0,0.0,0.0
83be74fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83be75fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83be8dfffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
83bea9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
83bef3fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
83bef4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83bef5fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
83bef6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83bf49fffffffff,4.0,0.0,0.0,0.0,4.0,0.0,0.0
83bf4bfffffffff,6.0,0.0,0.0,0.0,6.0,0.0,0.0
83bf4cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83bf6bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83c993fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83d896fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0
